,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvADP,ESPNvFP,Round,Pick
,Christian McCaffrey,SF,9,RB,1,1,1,0.00,0.00,1,1
,Bijan Robinson,ATL,12,RB,5,7,2,-0.60,-0.71,,2
,Breece Hall,NYJ,12,RB,6,6,3,-0.50,-0.50,,3
,CeeDee Lamb,DAL,7,WR,3,2,4,0.33,1.00,,4
,Tyreek Hill,MIA,6,WR,2,3,5,1.50,0.67,,5
,Ja'Marr Chase,CIN,12,WR,7,4,6,-0.14,0.50,,6
,Amon-Ra St. Brown,DET,5,WR,8,8,7,-0.13,-0.13,,7
,Justin Jefferson,MIN,6,WR,4,5,8,1.00,0.60,,8
,Jonathan Taylor,IND,14,RB,10,11,9,-0.10,-0.18,,9
,Saquon Barkley,PHI,14,RB,10,14,10,0.00,-0.29,,10
,A.J. Brown,PHI,5,WR,9,9,11,0.22,0.22,,11
,Puka Nacua,LAR,6,WR,14,12,12,-0.14,0.00,,12
,Garrett Wilson,NYJ,12,WR,13,10,13,0.00,0.30,2,13
,Kyren Williams,LAR,9,RB,17,17,14,-0.18,-0.18,,14
,Jahmyr Gibbs,DET,5,RB,12,15,15,0.25,0.00,,15
,Travis Etienne,JAC,12,RB,15,26,16,0.07,-0.38,,16
,Isiah Pacheco,KC,6,RB,24,27,17,-0.29,-0.37,,17
,Chris Olave,NO,12,WR,26,24,18,-0.31,-0.25,,18
,Deebo Samuel,SF,6,WR,24,16,19,-0.21,0.19,,19
,Mike Evans,TB,11,WR,35,19,20,-0.43,0.05,,20
,Davante Adams,LV,10,WR,18,29,21,0.17,-0.28,,21
,Nico Collins,HOU,14,WR,28,22,22,-0.21,0.00,,22
,Marvin Harrison,ARI,11,WR,16,20,23,0.44,0.15,,23
,Derrick Henry,BAL,5,RB,18,13,24,0.33,0.85,,24
,Rachaad White,TB,14,RB,32,50,25,-0.22,-0.50,3,25
,Drake London,ATL,12,WR,21,23,26,0.24,0.13,,26
,DK Metcalf,SEA,10,WR,41,30,27,-0.34,-0.10,,27
,Joe Mixon,HOU,14,RB,45,45,28,-0.38,-0.38,,28
,Kenneth Walker,SEA,10,RB,43,40,29,-0.33,-0.28,,29
,James Cook,BUF,12,RB,33,44,30,-0.09,-0.32,,30
,Brandon Aiyuk,SF,9,WR,35,21,31,-0.11,0.48,,31
,Malik Nabers,NYG,11,WR,46,42,32,-0.30,-0.24,,32
,DJ Moore,CHI,7,WR,41,34,33,-0.20,-0.03,,33
,Calvin Ridley,TEN,9,WR,76,68,34,-0.55,-0.50,,34
,Josh Allen,BUF,12,QB,22,18,35,0.59,0.94,,35
,Sam LaPorta,DET,5,TE,28,28,36,0.29,0.29,,36
,Travis Kelce,KC,6,TE,27,35,37,0.37,0.06,4,37
,Jalen Hurts,PHI,5,QB,30,25,38,0.27,0.52,,38
,Josh Jacobs,GB,10,RB,23,41,39,0.70,-0.05,,39
,Alvin Kamara,NO,11,RB,44,60,40,-0.09,-0.33,,40
,De'Von Achane,MIA,6,RB,20,36,41,1.05,0.14,,41
,Michael Pittman,IND,14,WR,34,51,42,0.24,-0.18,,42
,Tee Higgins,CIN,14,WR,59,43,43,-0.27,0.00,,43
,Cooper Kupp,LAR,6,WR,35,37,44,0.26,0.19,,44
,DeVonta Smith,PHI,5,WR,47,39,45,-0.04,0.15,,45
,Jaylen Waddle,MIA,6,WR,39,33,46,0.18,0.39,,46
,Stefon Diggs,HOU,11,WR,38,55,47,0.24,-0.15,,47
,George Pickens,PIT,9,WR,55,46,48,-0.13,0.04,,48
,Lamar Jackson,BAL,6,QB,40,31,49,0.23,0.58,5,49
,Patrick Mahomes,KC,14,QB,31,32,50,0.61,0.56,,50
,Mark Andrews,BAL,12,TE,49,47,51,0.04,0.09,,51
,Tank Dell,HOU,14,WR,67,49,52,-0.22,0.06,,52
,Zay Flowers,BAL,12,WR,56,56,53,-0.05,-0.05,,53
,Diontae Johnson,CAR,11,WR,90,74,54,-0.40,-0.27,,54
,Amari Cooper,CLE,10,WR,53,38,55,0.04,0.45,,55
,George Kittle,SF,6,TE,63,71,56,-0.11,-0.21,,56
,Trey McBride,ARI,12,TE,48,62,57,0.19,-0.08,,57
,Anthony Richardson,IND,11,QB,52,48,58,0.12,0.21,,58
,C.J. Stroud,HOU,14,QB,49,52,59,0.20,0.13,,59
,Joe Burrow,CIN,14,QB,61,57,60,-0.02,0.05,,60
,Dak Prescott,DAL,7,QB,75,59,61,-0.19,0.03,6,61
