"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","","1","1","1.0"
"2","Bijan Robinson","ATL","5","RB1","","3","2","2.5"
"3","Saquon Barkley","PHI","9","RB2","","2","4","3.0"
"4","Jahmyr Gibbs","DET","8","RB3","","5","3","4.0"
"5","Justin Jefferson","MIN","6","WR2","","4","6","5.0"
"6","CeeDee Lamb","DAL","10","WR3","","6","5","5.5"
"7","Puka Nacua","LAR","8","WR4","","7","10","8.5"
"8","Malik Nabers","NYG","14","WR5","","9","9","9.0"
"9","Amon-Ra St. Brown","DET","8","WR6","","8","11","9.5"
"10","Ashton Jeanty","LV","8","RB4","","11","8","9.5"
"11","Christian McCaffrey","SF","14","RB5","","14","7","10.5"
"12","Derrick Henry","BAL","7","RB6","","10","13","11.5"
"13","Nico Collins","HOU","6","WR7","","12","15","13.5"
"14","Brian Thomas Jr.","JAC","8","WR8","","13","14","13.5"
"15","De'Von Achane","MIA","12","RB7","","16","12","14.0"
"16","Bucky Irving","TB","9","RB8","","17","17","17.0"
"17","Brock Bowers","LV","8","TE1","","15","20","17.5"
"18","Josh Jacobs","GB","5","RB9","","20","16","18.0"
"19","Drake London","ATL","5","WR9","","18","19","18.5"
"20","A.J. Brown","PHI","9","WR10","","19","24","21.5"
"21","Jonathan Taylor","IND","11","RB10","","23","21","22.0"
"22","Josh Allen","BUF","7","QB1","","22","23","22.5"
"23","Chase Brown","CIN","10","RB11","","28","18","23.0"
"24","Lamar Jackson","BAL","7","QB2","","25","22","23.5"
"25","Ladd McConkey","LAC","12","WR11","","21","28","24.5"
"26","Kyren Williams","LAR","8","RB12","","27","25","26.0"
"27","Trey McBride","ARI","8","TE2","","24","29","26.5"
"28","Tyreek Hill","MIA","12","WR12","","29","26","27.5"
"29","Breece Hall","NYJ","9","RB13","","33","27","30.0"
"30","Jayden Daniels","WAS","12","QB3","","30","30","30.0"
"31","Jaxon Smith-Njigba","SEA","8","WR13","","26","35","30.5"
"32","Garrett Wilson","NYJ","9","WR14","","32","34","33.0"
"33","James Cook","BUF","7","RB14","","35","32","33.5"
"34","Tee Higgins","CIN","10","WR15","","31","38","34.5"
"35","Joe Burrow","CIN","10","QB4","","43","31","37.0"
"36","Omarion Hampton","LAC","12","RB15","","39","36","37.5"
"37","Alvin Kamara","NO","11","RB16","","44","33","38.5"
"38","Marvin Harrison Jr.","ARI","8","WR16","","36","41","38.5"
"39","Terry McLaurin","WAS","12","WR17","","34","44","39.0"
"40","Davante Adams","LAR","8","WR18","","42","37","39.5"
"41","Jalen Hurts","PHI","9","QB5","","40","40","40.0"
"42","George Kittle","SF","14","TE3","","38","43","40.5"
"43","Mike Evans","TB","9","WR19","","37","47","42.0"
"44","Kenneth Walker III","SEA","8","RB17","","45","39","42.0"
"45","Chuba Hubbard","CAR","14","RB18","","47","42","44.5"
"46","Rashee Rice","KC","10","WR20","","41","53","47.0"
"47","DJ Moore","CHI","5","WR21","","48","46","47.0"
"48","James Conner","ARI","8","RB19","","51","48","49.5"
"49","Courtland Sutton","DEN","12","WR22","","50","49","49.5"
"50","DK Metcalf","PIT","5","WR23","","49","52","50.5"
"51","Joe Mixon","HOU","6","RB20","","46","58","52.0"
"52","RJ Harvey","DEN","12","RB21","","58","51","54.5"
"53","DeVonta Smith","PHI","9","WR24","","54","56","55.0"
"54","Sam LaPorta","DET","8","TE4","","52","60","56.0"
