,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Ja'Marr Chase,CIN,10,WR,1,1,1,0.00,6.0,1,1
,Saquon Barkley,PHI,9,RB,3,4,2,-0.50,6.1,,2
,Bijan Robinson,ATL,5,RB,2,2,3,0.50,5.9,,3
,Jahmyr Gibbs,DET,8,RB,4,3,4,0.33,6.0,,4
,Justin Jefferson,MIN,6,WR,5,6,5,-0.17,6.0,,5
,CeeDee Lamb,DAL,10,WR,6,5,6,0.20,6.0,,6
,Derrick Henry,BAL,7,RB,8,11,7,-0.36,6.2,,7
,Amon-Ra St. Brown,DET,8,WR,9,10,8,-0.20,6.1,,8
,Christian McCaffrey,SF,14,RB,7,9,9,0.00,5.9,,9
,Ashton Jeanty,LV,8,RB,11,13,10,-0.23,6.2,,10
,Malik Nabers,NYG,14,WR,12,7,11,0.57,5.9,,11
,Puka Nacua,LAR,8,WR,14,12,12,0.00,6.1,,12
,Nico Collins,HOU,6,WR,10,8,13,0.63,5.7,2,13
,Josh Jacobs,GB,5,RB,13,20,14,-0.30,6.2,,14
,De'Von Achane,MIA,12,RB,17,16,15,-0.06,6.1,,15
,Drake London,ATL,5,WR,15,15,16,0.07,5.9,,16
,Jonathan Taylor,IND,11,RB,18,19,17,-0.11,6.1,,17
,A.J. Brown,PHI,9,WR,22,17,18,0.06,6.1,,18
,Josh Allen,BUF,7,QB,23,25,19,-0.24,6.4,,19
,Brian Thomas,JAC,8,WR,16,14,20,0.43,5.6,,20
,Brock Bowers,LV,8,TE,21,18,21,0.17,5.9,,21
,Lamar Jackson,BAL,7,QB,24,27,22,-0.19,6.3,,22
,Bucky Irving,TB,9,RB,19,21,23,0.10,5.8,,23
,Kyren Williams,LAR,8,RB,25,26,24,-0.08,6.1,,24
,Ladd McConkey,LAC,12,WR,26,23,25,0.09,6.0,3,25
,James Cook,BUF,7,RB,30,35,26,-0.26,6.5,,26
,Chase Brown,CIN,10,RB,20,22,27,0.23,5.5,,27
,Tyreek Hill,MIA,12,WR,39,31,28,-0.10,6.6,,28
,Trey McBride,ARI,8,TE,27,24,29,0.21,5.7,,29
,Tee Higgins,CIN,10,WR,31,28,30,0.07,6.0,,30
,Jaxon Smith-Njigba,SEA,8,WR,34,29,31,0.07,6.0,,31
,Omarion Hampton,LAC,12,RB,29,37,32,-0.14,6.1,,32
,Breece Hall,NYJ,9,RB,44,43,33,-0.23,6.8,,33
,Jayden Daniels,WAS,12,QB,33,33,34,0.03,5.9,,34
,Jalen Hurts,PHI,9,QB,32,38,35,-0.08,6.0,,35
,Marvin Harrison,ARI,8,WR,37,40,36,-0.10,6.2,,36
,George Kittle,SF,14,TE,28,30,37,0.23,5.4,4,37
,Mike Evans,TB,9,WR,35,32,38,0.19,5.6,,38
,Alvin Kamara,NO,11,RB,38,42,39,-0.07,6.1,,39
,Garrett Wilson,NYJ,9,WR,41,34,40,0.18,5.8,,40
,Joe Burrow,CIN,10,QB,43,46,41,-0.11,6.3,,41
,Kenneth Walker,SEA,8,RB,36,39,42,0.08,5.6,,42
,Terry McLaurin,WAS,12,WR,40,41,43,0.05,5.8,,43
,Davante Adams,LAR,8,WR,46,36,44,0.22,5.8,,44
,Chuba Hubbard,CAR,14,RB,42,49,45,-0.08,6.0,,45
,DK Metcalf,PIT,5,WR,48,47,46,-0.02,6.1,,46
,James Conner,ARI,8,RB,45,50,47,-0.06,6.0,,47
,TreVeyon Henderson,NE,14,RB,47,48,48,0.00,6.0,,48
,DJ Moore,CHI,5,WR,57,44,49,0.11,6.1,5,49
,Sam LaPorta,DET,8,TE,50,64,50,-0.22,6.6,,50
,Courtland Sutton,DEN,12,WR,56,45,51,0.13,6.0,,51
,David Montgomery,DET,8,RB,59,61,52,-0.15,6.6,,52
,Patrick Mahomes,KC,10,QB,55,66,53,-0.20,6.6,,53
,Rashee Rice,KC,10,WR,81,72,54,-0.25,7.8,,54
,RJ Harvey,DEN,12,RB,52,60,55,-0.08,6.1,,55
,DeVonta Smith,PHI,9,WR,54,51,56,0.10,5.7,,56
,Isiah Pacheco,KC,10,RB,60,63,57,-0.10,6.4,,57
,Xavier Worthy,KC,10,WR,53,54,58,0.07,5.6,,58
,Tetairoa McMillan,CAR,14,WR,58,52,59,0.13,5.7,,59
,Zay Flowers,BAL,7,WR,63,58,60,0.03,6.0,,60
,Jameson Williams,DET,8,WR,65,53,61,0.15,5.8,6,61
,T.J. Hockenson,MIN,6,TE,64,68,62,-0.09,6.3,,62
,George Pickens,DAL,10,WR,51,56,63,0.13,5.2,,63
,Travis Kelce,KC,10,TE,67,80,64,-0.20,6.8,,64
,D'Andre Swift,CHI,5,RB,61,59,65,0.10,5.6,,65
,Aaron Jones,MIN,6,RB,68,65,66,0.02,6.0,,66
,Tony Pollard,TEN,10,RB,49,57,67,0.18,4.9,,67
,Travis Hunter,JAC,8,WR,73,67,68,0.01,6.2,,68
,Baker Mayfield,TB,9,QB,78,70,69,-0.01,6.4,,69
,Jaylen Waddle,MIA,12,WR,62,62,70,0.13,5.4,,70
,Joe Mixon,HOU,6,RB,103,129,71,-0.45,9.6,,71
,Calvin Ridley,TEN,10,WR,66,55,72,0.31,5.1,,72
