,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Ja'Marr Chase,CIN,10,WR,1,1,1,0.00,6.0,1,1
,Bijan Robinson,ATL,5,RB,3,2,2,0.00,6.0,,2
,Jahmyr Gibbs,DET,8,RB,4,5,3,-0.40,6.1,,3
,Saquon Barkley,PHI,9,RB,2,3,4,0.33,5.9,,4
,CeeDee Lamb,DAL,10,WR,6,4,5,0.25,6.0,,5
,Justin Jefferson,MIN,6,WR,5,6,6,0.00,6.0,,6
,Christian McCaffrey,SF,14,RB,7,14,7,-0.50,6.3,,7
,Ashton Jeanty,LV,8,RB,9,13,8,-0.38,6.2,,8
,Malik Nabers,NYG,14,WR,12,10,9,-0.10,6.2,,9
,Amon-Ra St. Brown,DET,8,WR,10,12,10,-0.17,6.1,,10
,Nico Collins,HOU,6,WR,11,8,11,0.38,5.9,,11
,Derrick Henry,BAL,7,RB,8,7,12,0.71,5.6,,12
,Brian Thomas,JAC,8,WR,15,9,13,0.44,5.9,2,13
,Chase Brown,CIN,10,RB,20,27,14,-0.48,6.8,,14
,Josh Jacobs,GB,5,RB,13,18,15,-0.17,6.0,,15
,Bucky Irving,TB,9,RB,19,21,16,-0.24,6.3,,16
,Puka Nacua,LAR,8,WR,16,11,17,0.55,5.7,,17
,De'Von Achane,MIA,12,RB,17,23,18,-0.22,6.2,,18
,Drake London,ATL,5,WR,18,15,19,0.27,5.8,,19
,Jonathan Taylor,IND,11,RB,14,16,20,0.25,5.6,,20
,Brock Bowers,LV,8,TE,25,20,21,0.05,6.1,,21
,Kyren Williams,LAR,8,RB,24,24,22,-0.08,6.2,,22
,Lamar Jackson,BAL,7,QB,23,26,23,-0.12,6.1,,23
,Josh Allen,BUF,7,QB,22,25,24,-0.04,6.0,,24
,A.J. Brown,PHI,9,WR,21,17,25,0.47,5.5,3,25
,Trey McBride,ARI,8,TE,28,30,26,-0.13,6.2,,26
,Omarion Hampton,LAC,12,RB,30,37,27,-0.27,6.5,,27
,James Cook,BUF,7,RB,27,32,28,-0.13,6.1,,28
,Ladd McConkey,LAC,12,WR,26,22,29,0.32,5.6,,29
,Jayden Daniels,WAS,12,QB,32,31,30,-0.03,6.1,,30
,Tyreek Hill,MIA,12,WR,37,34,31,-0.09,6.4,,31
,Alvin Kamara,NO,11,RB,39,50,32,-0.36,7.0,,32
,Jaxon Smith-Njigba,SEA,8,WR,33,33,33,0.00,6.0,,33
,Joe Burrow,CIN,10,QB,40,45,34,-0.24,6.7,,34
,TreVeyon Henderson,NE,14,RB,47,48,35,-0.27,7.0,,35
,Tee Higgins,CIN,10,WR,29,28,36,0.29,5.4,,36
,Breece Hall,NYJ,9,RB,43,42,37,-0.12,6.4,4,37
,Kenneth Walker,SEA,8,RB,36,39,38,-0.03,6.0,,38
