Player,Team,POS,Average_ADP,Depth,Depth_Rank
Ja'Marr Chase,CIN,WR1,1.0,WR1,1
Bijan Robinson,ATL,RB1,2.5,RB1,1
Saquon Barkley,PHI,RB2,3.0,RB1,1
Jahmyr Gibbs,DET,RB3,4.0,RB1,1
Justin Jefferson,MIN,WR2,5.0,WR1,1
CeeDee Lamb,DAL,WR3,5.5,WR1,1
Puka Nacua,LAR,WR4,8.5,WR1,1
Malik Nabers,NYG,WR5,9.0,WR1,1
Amon-Ra St. Brown,DET,WR6,9.5,WR1,1
Ashton Jeanty,LV,RB4,9.5,RB1,1
Christian McCaffrey,SF,RB5,10.5,RB1,1
Derrick Henry,BAL,RB6,11.5,RB1,1
Nico Collins,HOU,WR7,13.5,WR1,1
Brian Thomas,JAC,WR8,13.5,WR1,1
De'Von Achane,MIA,RB7,14.0,RB1,1
Bucky Irving,TB,RB8,17.0,RB1,1
Brock Bowers,LV,TE1,17.5,TE1,1
Josh Jacobs,GB,RB9,18.0,RB1,1
Drake London,ATL,WR9,18.5,WR1,1
A.J. Brown,PHI,WR10,21.5,WR1,1
Jonathan Taylor,IND,RB10,22.0,RB1,1
Josh Allen,BUF,QB1,22.5,QB1,1
Chase Brown,CIN,RB11,23.0,RB1,1
Lamar Jackson,BAL,QB2,23.5,QB1,1
Ladd McConkey,LAC,WR11,24.5,WR1,1
Kyren Williams,LAR,RB12,26.0,RB1,1
Trey McBride,ARI,TE2,26.5,TE1,1
Tyreek Hill,MIA,WR12,27.5,WR1,1
Breece Hall,NYJ,RB13,30.0,RB1,1
Jayden Daniels,WAS,QB3,30.0,QB1,1
Jaxon Smith-Njigba,SEA,WR13,30.5,WR1,1
Garrett Wilson,NYJ,WR14,33.0,WR1,1
James Cook,BUF,RB14,33.5,RB1,1
Tee Higgins,CIN,WR15,34.5,WR2,2
Joe Burrow,CIN,QB4,37.0,QB1,1
Omarion Hampton,LAC,RB15,37.5,RB1,1
Alvin Kamara,NO,RB16,38.5,RB1,1
Marvin Harrison,ARI,WR16,38.5,WR1,1
Terry McLaurin,WAS,WR17,39.0,WR1,1
Davante Adams,LAR,WR18,39.5,WR2,2
Jalen Hurts,PHI,QB5,40.0,QB1,1
George Kittle,SF,TE3,40.5,TE1,1
Mike Evans,TB,WR19,42.0,WR1,1
Kenneth Walker,SEA,RB17,42.0,RB1,1
Chuba Hubbard,CAR,RB18,44.5,RB1,1
Rashee Rice,KC,WR20,47.0,WR1,1
DJ Moore,CHI,WR21,47.0,WR1,1
James Conner,ARI,RB19,49.5,RB1,1
Courtland Sutton,DEN,WR22,49.5,WR1,1
DK Metcalf,PIT,WR23,50.5,WR1,1
Joe Mixon,HOU,RB20,52.0,RB1,1
RJ Harvey,DEN,RB21,54.5,RB1,1
DeVonta Smith,PHI,WR24,55.0,WR2,2
Sam LaPorta,DET,TE4,56.0,TE1,1
TreVeyon Henderson,NE,RB22,56.5,RB1,1
David Montgomery,DET,RB23,57.0,RB2,2
Tetairoa McMillan,CAR,WR25,57.5,WR1,1
Patrick Mahomes,KC,QB6,59.0,QB1,1
Xavier Worthy,KC,WR26,59.0,WR2,2
D'Andre Swift,CHI,RB24,60.0,RB1,1
Jameson Williams,DET,WR27,60.0,WR2,2
Zay Flowers,BAL,WR28,60.5,WR1,1
Isiah Pacheco,KC,RB25,63.5,RB1,1
Aaron Jones,MIN,RB26,64.0,RB1,1
T.J. Hockenson,MIN,TE5,66.0,TE1,1
George Pickens,DAL,WR29,66.0,WR2,2
Kaleb Johnson,PIT,RB27,68.0,RB1,1
Travis Hunter,JAC,WR30,68.5,WR2,2
Tony Pollard,TEN,RB28,69.5,RB1,1
Travis Kelce,KC,TE6,70.0,TE1,1
Jerry Jeudy,CLE,WR31,70.0,WR1,1
Calvin Ridley,TEN,WR32,72.0,WR1,1
Chris Olave,NO,WR33,72.0,WR1,1
Baker Mayfield,TB,QB7,72.0,QB1,1
Jaylen Waddle,MIA,WR34,72.5,WR2,2
Chris Godwin,TB,WR35,75.0,WR2,2
Jordan Addison,MIN,WR36,76.0,WR2,2
Tyrone Tracy,NYG,RB29,77.0,RB1,1
Quinshon Judkins,CLE,RB30,78.5,RB1,1
Bo Nix,DEN,QB8,80.5,QB1,1
Brian Robinson,WAS,RB31,80.5,RB1,1
Rome Odunze,CHI,WR37,82.0,WR2,2
Deebo Samuel,WAS,WR38,83.5,WR2,2
Jaylen Warren,PIT,RB32,84.0,RB2,2
Travis Etienne,JAC,RB33,87.0,RB1,1
Cooper Kupp,SEA,WR39,87.5,WR2,2
Mark Andrews,BAL,TE7,89.0,TE1,1
Evan Engram,DEN,TE8,89.0,TE1,1
Khalil Shakir,BUF,WR40,91.5,WR1,1
Kyler Murray,ARI,QB9,92.0,QB1,1
Jakobi Meyers,LV,WR41,93.0,WR1,1
Stefon Diggs,NE,WR42,93.0,WR1,1
Cam Skattebo,NYG,RB34,95.5,RB2,2
