,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,2,2,1,-0.5,5.6,1,1
,Bijan Robinson,ATL,11,RB,1,1,2,1,5.4,,2
,Puka Nacua,LAR,11,WR,4,4,3,-0.25,5.6,,3
,Ja'Marr Chase,CIN,6,WR,3,3,4,0.33,5.4,,4
,Jaxon Smith-Njigba,SEA,11,WR,7,5,5,0,5.5,,5
,Christian McCaffrey,SF,8,RB,6,6,6,0,5.5,,6
,Jonathan Taylor,IND,13,RB,5,9,7,-0.22,5.5,,7
,Amon-Ra St. Brown,DET,6,WR,9,7,8,0.14,5.5,,8
,CeeDee Lamb,DAL,14,WR,11,8,9,0.13,5.5,,9
,Derrick Henry,BAL,13,RB,10,13,10,-0.23,5.6,,10
,Justin Jefferson,MIN,6,WR,12,10,11,0.1,5.5,,11
,James Cook,BUF,7,RB,8,11,12,0.09,5.3,,12
,De'Von Achane,MIA,6,RB,15,19,13,-0.32,5.8,2,13
,Drake London,ATL,11,WR,14,12,14,0.17,5.5,,14
,Saquon Barkley,PHI,10,RB,16,16,15,-0.06,5.5,,15
,Rashee Rice,KC,5,WR,22,25,16,-0.36,6.1,,16
,Trey McBride,ARI,14,TE,18,21,17,-0.19,5.6,,17
,Jeremiyah Love,ARI,14,RB,29,49,18,-0.63,7.1,,18
,Ashton Jeanty,LV,13,RB,13,20,19,-0.05,5.3,,19
,Omarion Hampton,LAC,7,RB,17,22,20,-0.09,5.5,,20
,Kenneth Walker,KC,5,RB,20,30,21,-0.3,5.7,,21
,Josh Jacobs,GB,11,RB,27,29,22,-0.24,5.8,,22
,Chase Brown,CIN,6,RB,24,26,23,-0.12,5.7,,23
,Brock Bowers,LV,13,TE,21,14,24,0.71,5.2,,24
,Nico Collins,HOU,8,WR,19,18,25,0.39,5.3,3,25
,A.J. Brown,NE,11,WR,25,15,26,0.73,5.2,,26
,George Pickens,DAL,14,WR,23,17,27,0.59,5,,27
,Chris Olave,NO,8,WR,31,23,28,0.22,5.5,,28
,Malik Nabers,NYG,8,WR,41,39,29,-0.26,6.3,,29
,Breece Hall,NYJ,13,RB,30,37,30,-0.19,5.7,,30
,Javonte Williams,DAL,14,RB,37,41,31,-0.24,5.9,,31
,Garrett Wilson,NYJ,13,WR,34,51,32,-0.37,6.3,,32
,Emeka Egbuka,TB,10,WR,36,47,33,-0.3,6.1,,33
,Davante Adams,LAR,11,WR,35,43,34,-0.21,5.9,,34
,Zay Flowers,BAL,13,WR,33,31,35,0.13,5.3,,35
,Josh Allen,BUF,7,QB,26,24,36,0.5,5.1,,36
,Kyren Williams,LAR,11,RB,28,33,37,0.12,5,4,37
,Travis Etienne,NO,8,RB,40,52,38,-0.27,5.8,,38
,Quinshon Judkins,CLE,11,RB,46,58,39,-0.33,6.5,,39
,Cam Skattebo,NYG,8,RB,44,54,40,-0.26,5.8,,40
,Bucky Irving,TB,10,RB,42,53,41,-0.23,6,,41
,Tetairoa McMillan,CAR,5,WR,32,34,42,0.24,4.8,,42
,DeVonta Smith,PHI,10,WR,43,35,43,0.23,5.3,,43
,Jameson Williams,DET,6,WR,50,38,44,0.16,5.5,,44
,Tee Higgins,CIN,6,WR,39,32,45,0.41,4.8,,45
,Ladd McConkey,LAC,7,WR,47,36,46,0.28,5.2,,46
,Rome Odunze,CHI,10,WR,59,60,47,-0.22,6.4,,47
