,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Bijan Robinson,ATL,11,RB,1,1,1,0,5.5,1,1
,Jahmyr Gibbs,DET,6,RB,2,2,2,0,5.5,,2
,Jonathan Taylor,IND,13,RB,5,9,3,-0.67,5.7,,3
,Christian McCaffrey,SF,8,RB,6,6,4,-0.33,5.6,,4
,James Cook,BUF,7,RB,8,11,5,-0.55,5.7,,5
,Ja'Marr Chase,CIN,6,WR,3,3,6,1,5.4,,6
,Derrick Henry,BAL,13,RB,10,13,7,-0.46,5.7,,7
,De'Von Achane,MIA,6,RB,15,19,8,-0.58,6.2,,8
,Puka Nacua,LAR,11,WR,4,4,9,1.25,5.3,,9
,Jaxon Smith-Njigba,SEA,11,WR,7,5,10,1,5.4,,10
,Ashton Jeanty,LV,13,RB,14,20,11,-0.45,5.8,,11
,Omarion Hampton,LAC,7,RB,17,22,12,-0.45,6,,12
,Kyren Williams,LAR,11,RB,33,33,13,-0.61,7,2,13
,Saquon Barkley,PHI,10,RB,13,16,14,-0.13,5.5,,14
,CeeDee Lamb,DAL,14,WR,11,8,15,0.88,5.2,,15
,Josh Allen,BUF,7,QB,25,24,16,-0.33,5.8,,16
,Jeremiyah Love,ARI,14,RB,28,49,17,-0.65,7.1,,17
,Amon-Ra St. Brown,DET,6,WR,9,7,18,1.57,4.9,,18
,Chase Brown,CIN,6,RB,20,26,19,-0.27,5.8,,19
,Justin Jefferson,MIN,6,WR,12,10,20,1,5.2,,20
,Drake London,ATL,11,WR,16,12,21,0.75,5.2,,21
,Josh Jacobs,GB,11,RB,27,29,22,-0.24,6,,22
,Trey McBride,ARI,14,TE,18,21,23,0.1,5.3,,23
,Kenneth Walker,KC,5,RB,21,30,24,-0.2,5.6,,24
,Lamar Jackson,BAL,13,QB,38,28,25,-0.11,5.9,3,25
,Nico Collins,HOU,8,WR,19,18,26,0.44,5,,26
,Breece Hall,NYJ,13,RB,30,37,27,-0.27,5.9,,27
,George Pickens,DAL,14,WR,23,17,28,0.65,5.2,,28
,Travis Etienne,NO,8,RB,41,52,29,-0.44,6.6,,29
,Brock Bowers,LV,13,TE,22,14,30,1.14,4.9,,30
,Chris Olave,NO,8,WR,29,23,31,0.35,5.1,,31
,Javonte Williams,DAL,14,RB,31,41,32,-0.22,5.8,,32
,Bucky Irving,TB,10,RB,42,53,33,-0.38,6,,33
,A.J. Brown,NE,11,WR,24,15,34,1.27,4.4,,34
,Rashee Rice,KC,5,WR,26,25,35,0.4,5,,35
,Malik Nabers,NYG,8,WR,32,39,36,-0.08,5.5,,36
,Tee Higgins,CIN,6,WR,39,32,37,0.16,5.4,4,37
,TreVeyon Henderson,NE,11,RB,53,55,38,-0.31,6.7,,38
,Tetairoa McMillan,CAR,5,WR,40,34,39,0.15,5.4,,39
,Garrett Wilson,NYJ,13,WR,35,51,40,-0.22,5.7,,40
,Luther Burden,CHI,10,WR,52,57,41,-0.28,6.5,,41
,RJ Harvey,DEN,10,RB,92,88,42,-0.52,9.1,,42
,Cam Skattebo,NYG,8,RB,44,54,43,-0.2,6,,43
,Jaylen Waddle,DEN,10,WR,48,45,44,-0.02,5.7,,44
,Bhayshul Tuten,JAC,7,RB,65,70,45,-0.36,7.2,,45
,Quinshon Judkins,CLE,11,RB,45,58,45,-0.22,6,,46
,Davante Adams,LAR,11,WR,36,43,46,0.07,5.2,,47
,Ladd McConkey,LAC,7,WR,47,36,47,0.31,5.2,,48
,D'Andre Swift,CHI,10,RB,54,59,48,-0.19,6.1,5,49
,David Montgomery,HOU,8,RB,55,62,49,-0.21,6.2,,50
,Colston Loveland,CHI,10,TE,46,42,50,0.19,5.3,,51
,Drake Maye,NE,11,QB,49,27,51,0.89,4.9,,52
,Zay Flowers,BAL,13,WR,34,31,52,0.68,4,,53
,Jaylen Warren,PIT,9,RB,74,67,53,-0.21,6.4,,54
,Jameson Williams,DET,6,WR,50,38,54,0.42,4.8,,55
,DeVonta Smith,PHI,10,WR,43,35,55,0.57,4.3,,56
,Emeka Egbuka,TB,10,WR,37,47,56,0.19,4.5,,57
,Terry McLaurin,WAS,7,WR,51,40,57,0.43,4.6,,58
,Tyler Warren,IND,13,TE,57,69,58,-0.16,5.8,,59
,Rhamondre Stevenson,NE,11,RB,80,78,59,-0.24,6.8,,60
,DJ Moore,BUF,7,WR,59,71,60,-0.15,5.9,6,61
,Mike Evans,SF,8,WR,62,50,61,0.22,5.3,,62
,Joe Burrow,CIN,6,QB,61,46,62,0.35,5,,63
,Carnell Tate,TEN,9,WR,58,81,63,-0.22,6,,64
,Kyle Monangai,CHI,10,RB,91,83,64,-0.23,7.2,,65
,Harold Fannin,CLE,11,TE,71,74,65,-0.12,5.9,,66
,Tony Pollard,TEN,9,RB,66,73,66,-0.1,5.8,,67
,Christian Watson,GB,11,WR,64,48,67,0.4,4.7,,68
,Rico Dowdle,PIT,9,RB,81,79,68,-0.14,6.3,,69
,Jayden Daniels,WAS,7,QB,56,44,69,0.57,4.3,,70
,Chuba Hubbard,CAR,5,RB,84,86,70,-0.19,6.1,,71
,Rome Odunze,CHI,10,WR,60,60,71,0.18,4.7,,72
,Blake Corum,LAR,11,RB,95,80,72,-0.1,6.1,7,73
,Jalen Hurts,PHI,10,QB,63,61,73,0.2,5.1,,74
,Jordyn Tyson,NO,8,WR,67,108,74,-0.31,6.5,,75
,Tucker Kraft,GB,11,TE,78,56,75,0.34,5.2,,76
,Courtland Sutton,DEN,10,WR,69,72,76,0.06,5.3,,77
,Kyle Pitts,ATL,11,TE,75,91,77,-0.15,5.7,,78
,DK Metcalf,PIT,9,WR,70,65,78,0.2,4.7,,79
,J.K. Dobbins,DEN,10,RB,89,97,79,-0.19,6.2,,80
,Michael Wilson,ARI,14,WR,90,100,80,-0.2,6.6,,81
,Makai Lemon,PHI,10,WR,77,103,81,-0.21,6.2,,82
,Jakobi Meyers,JAC,7,WR,93,95,82,-0.14,6.4,,83
,Brian Thomas,JAC,7,WR,79,64,83,0.3,4.6,,84
,Sam LaPorta,DET,6,TE,76,82,84,0.02,5.2,8,85
,Brian Robinson,ATL,11,RB,126,149,85,-0.43,9.4,,86
,Dalton Kincaid,BUF,7,TE,105,96,86,-0.1,6.2,,87
,Marvin Harrison,ARI,14,WR,72,84,87,0.04,4.8,,88
,Oronde Gadsden,LAC,7,TE,179,152,88,-0.42,10,,89
,Jaxson Dart,NYG,8,QB,85,89,89,0,5.4,,90
,Aaron Jones,MIN,6,RB,104,104,90,-0.13,6.4,,91
,Ricky Pearsall,SF,8,WR,150,133,91,-0.32,9.3,,92
,Kenny Gainwell,TB,10,RB,100,114,92,-0.19,6.3,,93
,Justin Herbert,LAC,7,QB,83,63,93,0.48,4.5,,94
,Alec Pierce,IND,13,WR,73,76,94,0.24,4,,95
,Chris Godwin,TB,10,WR,108,87,95,0.09,5.6,,96
,Tyler Allgeier,ARI,14,RB,131,129,96,-0.26,8.1,9,97
,Parker Washington,JAC,7,WR,86,94,97,0.03,5,,98
,Caleb Williams,CHI,10,QB,82,66,98,0.48,3.7,,99
,Hunter Henry,NE,11,TE,120,142,99,-0.3,7.9,,100
,James Conner,ARI,14,RB,167,172,100,-0.42,10,,101
,Dallas Goedert,PHI,10,TE,106,119,101,-0.15,6.1,,102
,Trevor Lawrence,JAC,7,QB,87,77,102,0.32,4.8,,103
,Jacory Croskey-Merritt,WAS,7,RB,109,99,103,0.04,5.6,,104
,Mark Andrews,BAL,13,TE,107,118,104,-0.12,5.9,,105
