Rank,Player,Team,Bye,POS,ESPN_Rank,Sleeper_Rank
1,Ja'Marr Chase,CIN,10,WR,1,1
2,Bijan Robinson,ATL,5,RB,2,2
3,Saquon Barkley,PHI,9,RB,4,4
4,Jahmyr Gibbs,DET,8,RB,5,3
5,Justin Jefferson,MIN,6,WR,3,6
6,CeeDee Lamb,DAL,10,WR,6,5
7,Derrick Henry,BAL,7,RB,11,12
8,Christian McCaffrey,SF,14,RB,7,7
9,Amon-Ra St. Brown,DET,8,WR,10,10
10,Ashton Jeanty,LV,8,RB,12,8
11,Nico Collins,HOU,6,WR,13,11
12,Puka Nacua,LAR,8,WR,8,17
13,Malik Nabers,NYG,14,WR,9,9
14,Josh Jacobs,GB,5,RB,19,15
15,De'Von Achane,MIA,12,RB,18,18
16,Jonathan Taylor,IND,11,RB,17,20
17,Brian Thomas,JAC,8,WR,14,13
18,Drake London,ATL,5,WR,16,19
19,Josh Allen,BUF,7,QB,28,24
20,Bucky Irving,TB,9,RB,23,16
21,Lamar Jackson,BAL,7,QB,29,23
22,A.J. Brown,PHI,9,WR,15,25
23,Kyren Williams,LAR,8,RB,22,22
24,Chase Brown,CIN,10,RB,32,14
25,Brock Bowers,LV,8,TE,20,21
26,Ladd McConkey,LAC,12,WR,27,29
27,James Cook,BUF,7,RB,33,28
28,Tee Higgins,CIN,10,WR,24,36
29,Trey McBride,ARI,8,TE,21,26
30,Jayden Daniels,WAS,12,QB,30,30
31,Jalen Hurts,PHI,9,QB,31,40
32,Omarion Hampton,LAC,12,RB,37,27
33,George Kittle,SF,14,TE,40,39
34,Tyreek Hill,MIA,12,WR,26,31
35,Mike Evans,TB,9,WR,35,46
36,Kenneth Walker,SEA,8,RB,38,38
37,Jaxon Smith-Njigba,SEA,8,WR,36,33
38,Joe Burrow,CIN,10,QB,39,34
39,Breece Hall,NYJ,9,RB,45,37
40,Alvin Kamara,NO,11,RB,42,32
41,Terry McLaurin,WAS,12,WR,34,43
42,Marvin Harrison,ARI,8,WR,47,45
43,Garrett Wilson,NYJ,9,WR,48,44
44,Chuba Hubbard,CAR,14,RB,41,41
45,James Conner,ARI,8,RB,43,47
46,Davante Adams,LAR,8,WR,25,42
47,DK Metcalf,PIT,5,WR,50,52
48,Patrick Mahomes,KC,10,QB,62,56
49,TreVeyon Henderson,NE,14,RB,44,35
50,Sam LaPorta,DET,8,TE,61,65
51,David Montgomery,DET,8,RB,67,61
52,RJ Harvey,DEN,12,RB,71,50
53,DeVonta Smith,PHI,9,WR,60,58
54,Tony Pollard,TEN,10,RB,68,54
55,DJ Moore,CHI,5,WR,54,51
56,George Pickens,DAL,10,WR,57,64
57,Xavier Worthy,KC,10,WR,46,62
58,D'Andre Swift,CHI,5,RB,52,48
59,Isiah Pacheco,KC,10,RB,72,55
60,Jameson Williams,DET,8,WR,56,60
61,Courtland Sutton,DEN,12,WR,53,49
62,Zay Flowers,BAL,7,WR,49,69
63,Tetairoa McMillan,CAR,14,WR,64,53
64,Travis Kelce,KC,10,TE,84,63
65,Jaylen Waddle,MIA,12,WR,59,77
66,Aaron Jones,MIN,6,RB,70,59
67,T.J. Hockenson,MIN,6,TE,69,76
68,Calvin Ridley,TEN,10,WR,51,57
69,Kaleb Johnson,PIT,5,RB,82,78
70,Mark Andrews,BAL,7,TE,83,92
71,Rashee Rice,KC,10,WR,55,66
72,Baker Mayfield,TB,9,QB,63,70
73,Travis Hunter,JAC,8,WR,66,75
74,Bo Nix,DEN,12,QB,87,73
75,Joe Mixon,HOU,6,RB,81,93
76,Tyrone Tracy,NYG,14,RB,80,68
77,Brian Robinson,WAS,12,RB,115,120
78,Rome Odunze,CHI,5,WR,58,81
79,Chris Olave,NO,11,WR,76,80
80,Jaylen Warren,PIT,5,RB,90,74
81,Deebo Samuel,WAS,12,WR,98,83
82,Jerry Jeudy,CLE,9,WR,65,67
83,Brock Purdy,SF,14,QB,89,112
84,Ricky Pearsall,SF,14,WR,103,71
85,Jordan Mason,MIN,6,RB,118,79
86,Kyler Murray,ARI,8,QB,88,98
87,David Njoku,CLE,9,TE,85,102
88,Jakobi Meyers,LV,8,WR,75,96
89,Jordan Addison,MIN,6,WR,78,97
90,Evan Engram,DEN,12,TE,86,89
91,Stefon Diggs,NE,14,WR,97,86
92,Emeka Egbuka,TB,9,WR,79,72
93,Dak Prescott,DAL,10,QB,106,91
94,Travis Etienne,JAC,8,RB,119,88
95,Tucker Kraft,GB,5,TE,126,108
96,Justin Fields,NYJ,9,QB,107,115
97,J.K. Dobbins,DEN,12,RB,92,90
98,Matthew Golden,GB,5,WR,73,85
99,Cooper Kupp,SEA,8,WR,77,87
100,Jauan Jennings,SF,14,WR,100,101
101,Zach Charbonnet,SEA,8,RB,132,84
102,Tank Bigsby,JAC,8,RB,117,104
103,Rhamondre Stevenson,NE,14,RB,93,113
104,Tyler Warren,IND,11,TE,113,94
105,Cam Skattebo,NYG,14,RB,95,105
106,Jared Goff,DET,8,QB,123,106
107,Javonte Williams,DAL,10,RB,94,95
111,Quinshon Judkins,CLE,9,RB,91,119
112,Justin Herbert,LAC,12,QB,104,121
113,Khalil Shakir,BUF,7,WR,101,103
114,Chris Godwin,TB,9,WR,74,107
115,Jayden Reed,GB,5,WR,102,117
116,Drake Maye,NE,14,QB,121,124
117,Dalton Kincaid,BUF,7,TE,129,140
118,Michael Pittman,IND,11,WR,96,109
120,Caleb Williams,CHI,5,QB,105,99
121,Colston Loveland,CHI,5,TE,125,110
122,Josh Downs,IND,11,WR,110,123
123,Keon Coleman,BUF,7,WR,99,118
125,Bhayshul Tuten,JAC,8,RB,149,130
127,Dallas Goedert,PHI,9,TE,127,156
128,Kyle Pitts,ATL,5,TE,128,142
129,Rashid Shaheed,NO,11,WR,111,149
130,C.J. Stroud,HOU,6,QB,145,137
131,Jordan Love,GB,5,QB,122,145
132,Najee Harris,LAC,12,RB,147,126
133,Jake Ferguson,DAL,10,TE,142,127
135,Rachaad White,TB,9,RB,131,128
137,Austin Ekeler,WAS,12,RB,114,100
138,J.J. McCarthy,MIN,6,QB,124,135
139,Isaac Guerendo,SF,14,RB,150,191
140,Nick Chubb,HOU,6,RB,161,114
142,Darnell Mooney,ATL,5,WR,108,138
143,Brandon Aiyuk,SF,14,WR,140,146
144,Tyjae Spears,TEN,10,RB,116,129
145,Jonnu Smith,PIT,5,TE,166,154
146,Jayden Higgins,HOU,6,WR,112,133
147,Braelon Allen,NYJ,9,RB,146,111
149,Trey Benson,ARI,8,RB,130,125
151,Jaydon Blue,DAL,10,RB,133,116
152,Ray Davis,BUF,7,RB,151,144
153,Keenan Allen,LAC,12,WR,109,132
154,Tyler Allgeier,ATL,5,RB,134,151
156,Rashod Bateman,BAL,7,WR,155,195
157,Dylan Sampson,CLE,9,RB,188,143
158,Jerome Ford,CLE,9,RB,148,122
160,Marvin Mims,DEN,12,WR,153,131
162,Jacory Croskey-Merritt,WAS,12,RB,120,82
163,Christian Kirk,HOU,6,WR,154,153
164,Hunter Henry,NE,14,TE,141,155
165,Trevor Lawrence,JAC,8,QB,174,134
168,Zach Ertz,WAS,12,TE,165,160
170,Luther Burden,CHI,5,WR,157,152
171,Michael Penix,ATL,5,QB,176,162
172,Jaylen Wright,MIA,12,RB,135,181
173,Rico Dowdle,CAR,14,RB,199,148
175,Joshua Palmer,BUF,7,WR,177,194
176,Bryce Young,CAR,14,QB,194,158
177,Cam Ward,TEN,10,QB,175,171
178,Adam Thielen,CAR,14,WR,136,207
180,Tre' Harris,LAC,12,WR,158,169
182,Matthew Stafford,LAR,8,QB,144,175
183,Marquise Brown,KC,10,WR,139,163
186,Cedric Tillman,CLE,9,WR,138,172
187,Tua Tagovailoa,MIA,12,QB,143,147
189,Blake Corum,LAR,8,RB,197,232
190,Romeo Doubs,GB,5,WR,169,200
191,Wan'Dale Robinson,NYG,14,WR,152,182
192,Will Shipley,PHI,9,RB,160,190
194,Roschon Johnson,CHI,5,RB,172,222
195,Kyle Williams,NE,14,WR,164,198
196,Chig Okonkwo,TEN,10,TE,183,180
197,Kareem Hunt,KC,10,RB,190,166
198,Geno Smith,LV,8,QB,195,159
200,DeMario Douglas,NE,14,WR,156,184
201,Jalen McMillan,TB,9,WR,232,268
203,Isaiah Likely,BAL,7,TE,193,208
205,Brenton Strange,JAC,8,TE,182,165
206,DeAndre Hopkins,BAL,7,WR,181,161
207,Aaron Rodgers,PIT,5,QB,236,174
209,Woody Marks,HOU,6,RB,189,179
211,Pat Freiermuth,PIT,5,TE,192,239
212,Xavier Legette,CAR,14,WR,137,185
213,Kendre Miller,NO,11,RB,198,217
214,MarShawn Lloyd,GB,5,RB,171,280
215,Justice Hill,BAL,7,RB,162,186
217,Alec Pierce,IND,11,WR,239,220
219,Jarquez Hunter,LAR,8,RB,234,210
221,Kyle Monangai,CHI,5,RB,217,150
224,Daniel Jones,IND,11,QB,235,197
227,Mason Taylor,NYJ,9,TE,191,196
228,Sam Darnold,SEA,8,QB,196,168
229,Devin Neal,NO,11,RB,222,296
230,Ollie Gordon,MIA,12,RB,218,139
231,Mike Gesicki,CIN,10,TE,228,242
235,Quentin Johnston,LAC,12,WR,185,253
235,Juwan Johnson,NO,11,TE,255,254
236,Cade Otton,TB,9,TE,168,177
243,Miles Sanders,DAL,10,RB,201,248
244,Raheem Mostert,LV,8,RB,215,
246,Russell Wilson,NYG,14,QB,237,189
247,Jack Bech,LV,8,WR,163,206
248,Keaton Mitchell,BAL,7,RB,221,199
250,Cole Kmet,CHI,5,TE,287,
252,Elijah Arroyo,SEA,8,TE,226,223
254,Pat Bryant,DEN,12,WR,184,226
255,Tyler Lockett,TEN,10,WR,170,289
256,DJ Giddens,IND,11,RB,202,205
257,Darius Slayton,NYG,14,WR,180,257
259,Tahj Brooks,CIN,10,RB,250,212
260,Dyami Brown,JAC,8,WR,206,279
263,Sean Tucker,TB,9,RB,219,252
266,Ja'Tavion Sanders,CAR,14,TE,256,236
267,Dalton Schultz,HOU,6,TE,227,218
268,Michael Wilson,ARI,8,WR,159,287
270,Dontayvion Wicks,GB,5,WR,338,
270,Adonai Mitchell,IND,11,WR,187,291
271,Elic Ayomanor,TEN,10,WR,309,277
272,Jaylin Noel,HOU,6,WR,305,260
273,Roman Wilson,PIT,5,WR,310,
275,Jalen Royals,KC,10,WR,369,293
277,Andrei Iosivas,CIN,10,WR,231,276
278,Jalen Coker,CAR,14,WR,241,281
281,Elijah Mitchell,KC,10,RB,214,
289,Calvin Austin,PIT,5,WR,208,283
