,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Ja'Marr Chase,CIN,10,WR,1,1,1,0.00,6.0,1,1
,Saquon Barkley,PHI,9,RB,3,7,2,-0.71,6.2,,2
,Bijan Robinson,ATL,5,RB,2,2,3,0.50,5.9,,3
,Jahmyr Gibbs,DET,8,RB,4,5,4,-0.20,6.0,,4
,Justin Jefferson,MIN,6,WR,6,4,5,0.25,6.0,,5
,CeeDee Lamb,DAL,10,WR,5,3,6,1.00,5.8,,6
,Amon-Ra St. Brown,DET,8,WR,8,8,7,-0.13,6.1,,7
,Derrick Henry,BAL,7,RB,9,20,8,-0.60,6.5,,8
,Puka Nacua,LAR,8,WR,13,10,9,-0.10,6.2,,9
,Malik Nabers,NYG,14,WR,10,6,10,0.67,5.8,,10
,Christian McCaffrey,SF,14,RB,7,12,11,-0.08,5.9,,11
,Ashton Jeanty,LV,8,RB,12,14,12,-0.14,6.1,,12
,Nico Collins,HOU,6,WR,11,9,13,0.44,5.8,2,13
,De'Von Achane,MIA,12,RB,16,16,14,-0.13,6.2,,14
,Brian Thomas,JAC,8,WR,14,11,15,0.36,5.8,,15
,Josh Jacobs,GB,5,RB,17,28,16,-0.43,6.5,,16
,Drake London,ATL,5,WR,15,13,17,0.31,5.8,,17
,Brock Bowers,LV,8,TE,21,17,18,0.06,6.1,,18
,A.J. Brown,PHI,9,WR,18,15,19,0.27,5.8,,19
,Josh Allen,BUF,7,QB,24,24,20,-0.17,6.3,,20
,Lamar Jackson,BAL,7,QB,25,26,21,-0.19,6.4,,21
,Bucky Irving,TB,9,RB,22,25,22,-0.12,6.1,,22
,Jonathan Taylor,IND,11,RB,20,30,23,-0.23,6.2,,23
,Ladd McConkey,LAC,12,WR,23,18,24,0.33,5.7,,24
,Kyren Williams,LAR,8,RB,26,35,25,-0.29,6.4,3,25
,Tyreek Hill,MIA,12,WR,33,29,26,-0.10,6.4,,26
,Chase Brown,CIN,10,RB,19,23,27,0.17,5.5,,27
,Trey McBride,ARI,8,TE,27,19,28,0.47,5.6,,28
,Jaxon Smith-Njigba,SEA,8,WR,30,21,29,0.38,5.7,,29
,Tee Higgins,CIN,10,WR,28,22,30,0.36,5.6,,30
,James Cook,BUF,7,RB,29,41,31,-0.24,6.3,,31
,Jayden Daniels,WAS,12,QB,32,34,32,-0.06,6.1,,32
,Jalen Hurts,PHI,9,QB,36,37,33,-0.11,6.3,,33
,Garrett Wilson,NYJ,9,WR,39,27,34,0.26,5.9,,34
,Breece Hall,NYJ,9,RB,43,45,35,-0.22,6.7,,35
,Joe Burrow,CIN,10,QB,42,47,36,-0.23,6.7,,36
,George Kittle,SF,14,TE,31,31,37,0.19,5.5,4,37
,Marvin Harrison,ARI,8,WR,40,36,38,0.06,6.0,,38
,Alvin Kamara,NO,11,RB,37,39,39,0.00,5.9,,39
,Mike Evans,TB,9,WR,35,33,40,0.21,5.5,,40
,Omarion Hampton,LAC,12,RB,34,43,41,-0.05,5.8,,41
