Player,Team,POS,Average_ADP,Depth,Depth_Rank
Ja'Marr Chase,CIN,WR1,1.0,WR1,1
Bijan Robinson,ATL,RB1,2.5,RB1,1
Saquon Barkley,PHI,RB2,3.0,RB1,1
Jahmyr Gibbs,DET,RB3,4.0,RB1,1
Justin Jefferson,MIN,WR2,5.0,WR1,1
CeeDee Lamb,DAL,WR3,5.5,WR1,1
Malik Nabers,NYG,WR4,8.5,WR1,1
Amon-Ra St. Brown,DET,WR5,9.0,WR1,1
Ashton Jeanty,LV,RB4,10.0,RB1,1
Puka Nacua,LAR,WR6,10.5,WR1,1
Derrick Henry,BAL,RB6,10.5,RB1,1
Christian McCaffrey,SF,RB5,10.5,RB1,1
Nico Collins,HOU,WR7,12.0,WR1,1
Brian Thomas,JAC,WR8,14.0,WR1,1
De'Von Achane,MIA,RB7,14.5,RB1,1
Brock Bowers,LV,TE1,17.5,TE1,1
Bucky Irving,TB,RB8,17.5,RB1,1
Josh Jacobs,GB,RB9,18.0,RB1,1
Drake London,ATL,WR9,18.5,WR1,1
A.J. Brown,PHI,WR10,22.0,WR1,1
Jonathan Taylor,IND,RB10,22.0,RB1,1
Chase Brown,CIN,RB11,22.5,RB1,1
Josh Allen,BUF,QB1,22.5,QB1,1
Lamar Jackson,BAL,QB2,23.5,QB1,1
Ladd McConkey,LAC,WR11,25.0,WR1,1
Trey McBride,ARI,TE2,25.0,TE1,1
Kyren Williams,LAR,RB12,25.5,RB1,1
Jayden Daniels,WAS,QB3,28.5,QB1,1
Tyreek Hill,MIA,WR12,28.5,WR1,1
Jaxon Smith-Njigba,SEA,WR13,30.5,WR1,1
Breece Hall,NYJ,RB13,32.5,RB1,1
James Cook,BUF,RB14,33.0,RB1,1
Tee Higgins,CIN,WR14,33.5,WR2,2
Omarion Hampton,LAC,RB15,34.5,RB1,1
Garrett Wilson,NYJ,WR15,35.5,WR1,1
Joe Burrow,CIN,QB4,38.0,QB1,1
Jalen Hurts,PHI,QB5,38.5,QB1,1
Alvin Kamara,NO,RB16,39.0,RB1,1
George Kittle,SF,TE3,39.0,TE1,1
Terry McLaurin,WAS,WR16,39.5,WR1,1
Marvin Harrison,ARI,WR17,40.0,WR1,1
Mike Evans,TB,WR18,41.5,WR1,1
Kenneth Walker,SEA,RB17,41.5,RB1,1
Davante Adams,LAR,WR19,42.5,WR2,2
Chuba Hubbard,CAR,RB18,44.5,RB1,1
DJ Moore,CHI,WR20,47.5,WR1,1
James Conner,ARI,RB19,50.0,RB1,1
DK Metcalf,PIT,WR21,50.5,WR1,1
Courtland Sutton,DEN,WR22,50.5,WR1,1
TreVeyon Henderson,NE,RB20,52.0,RB1,1
Rashee Rice,KC,WR23,53.5,WR1,1
RJ Harvey,DEN,RB21,54.0,RB1,1
DeVonta Smith,PHI,WR24,55.5,WR2,2
Tetairoa McMillan,CAR,WR25,56.5,WR1,1
David Montgomery,DET,RB22,57.0,RB2,2
Sam LaPorta,DET,TE4,58.5,TE1,1
Patrick Mahomes,KC,QB6,59.0,QB1,1
Xavier Worthy,KC,WR26,59.0,WR2,2
Jameson Williams,DET,WR27,59.0,WR2,2
Joe Mixon,HOU,RB23,60.0,RB1,1
Isiah Pacheco,KC,RB24,60.0,RB1,1
D'Andre Swift,CHI,RB25,61.5,RB1,1
Zay Flowers,BAL,WR28,61.5,WR1,1
George Pickens,DAL,WR29,62.5,WR2,2
Aaron Jones,MIN,RB26,63.5,RB1,1
Tony Pollard,TEN,RB27,64.0,RB1,1
Calvin Ridley,TEN,WR30,66.5,WR1,1
T.J. Hockenson,MIN,TE5,67.0,TE1,1
Travis Hunter,JAC,WR31,68.5,WR2,2
Travis Kelce,KC,TE6,69.5,TE1,1
Jerry Jeudy,CLE,WR32,69.5,WR1,1
Baker Mayfield,TB,QB7,71.5,QB1,1
Kaleb Johnson,PIT,RB28,73.0,RB1,1
Jaylen Waddle,MIA,WR33,73.0,WR2,2
Chris Olave,NO,WR34,73.0,WR1,1
Tyrone Tracy,NYG,RB29,75.5,RB1,1
Bo Nix,DEN,QB8,79.0,QB1,1
Rome Odunze,CHI,WR35,80.5,WR2,2
Jaylen Warren,PIT,RB30,81.5,RB2,2
Jordan Addison,MIN,WR36,82.5,WR2,2
Quinshon Judkins,CLE,RB31,84.0,RB1,1
Deebo Samuel,WAS,WR37,84.0,WR2,2
Chris Godwin,TB,WR38,86.0,WR2,2
Stefon Diggs,NE,WR39,86.5,WR1,1
Mark Andrews,BAL,TE7,87.0,TE1,1
Jakobi Meyers,LV,WR40,87.5,WR1,1
Travis Etienne,JAC,RB32,88.0,RB1,1
Brian Robinson,SF,RB33,88.5,RB2,2
Cooper Kupp,SEA,WR41,88.5,WR2,2
Ricky Pearsall,SF,WR42,89.0,WR1,1
Evan Engram,DEN,TE8,89.0,TE1,1
Matthew Golden,GB,WR43,91.0,WR1,1
Kyler Murray,ARI,QB9,92.5,QB1,1
