name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Josh Allen,QB,19.8045604444356,21.8125,30.28062970568104,14.7,0.9354879648039258,1,,,,,,
Drake Maye,QB,18.477396080371452,19.941176470588236,24.005475701574266,2.8,0.8657155632110198,1,,,,,234,Behren Morton
Justin Herbert,QB,17.907327068848343,17.1875,28.479123887748116,15.2,0.9319333590384608,1,,,,,,
Jalen Hurts,QB,17.80302890189057,18.125,28.0684462696783,10.1,0.9223495770614736,1,,,,,178,Cole Payton
Trevor Lawrence,QB,17.389532932984476,18.88235294117647,26.90485968514716,7.7,0.8725686238865661,1,,,,,,
Patrick Mahomes,QB,17.386112998590857,19.5,30.95687885010267,11.5,0.8964015726474077,1,,,,,249,Garrett Nussmeier
Baker Mayfield,QB,16.906949120769877,15.058823529411764,31.38398357289528,12.6,0.9447562776957165,1,,,,,,
Lamar Jackson,QB,16.88578955554522,15.692307692307692,29.648186173853524,11.0,0.9125646809075229,1,,,,,,
Matthew Stafford,QB,16.61308992344673,19.823529411764707,38.56536618754278,15.4,0.9733842012609453,1,,,Ty Simpson,165,13,Ty Simpson
Jared Goff,QB,16.412886381003442,16.647058823529413,31.88227241615332,11.7,0.9543147208121828,1,,,,,,
Brock Purdy,QB,16.160699232583593,18.88888888888889,26.680355920602327,7.000000000000001,0.8243040238132977,1,,,,,,
Jordan Love,QB,15.913330182567021,14.666666666666666,27.83025325119781,11.5,0.9062241456917444,1,,,,,,
Dak Prescott,QB,15.765275774096686,17.470588235294116,33.09240246406571,13.100000000000001,0.9240709523499031,1,,,,,,
Sam Darnold,QB,15.748348678924167,12.941176470588236,29.240246406570844,12.1,0.900801204440137,1,,,,,,
Caleb Williams,QB,15.554728998836376,17.705882352941178,24.78576317590691,3.5000000000000004,0.6077640150291285,1,,,,,,
Joe Burrow,QB,15.465629669240371,16.125,29.724845995893222,11.9,0.8642015925442142,1,,,,,,
Jayden Daniels,QB,15.412396886344126,15.571428571428571,25.702943189596166,3.1,0.5522958424780954,1,,,,,223,Athan Kaliakmanis
Bijan Robinson,RB,15.342983434872954,16.41176470588235,24.58590006844627,2.3,0.6001480869383713,1,,,Brian Robinson,84,,
Bryce Young,QB,14.852909331573327,12.625,25.10335386721424,3.9,0.7511914044094481,1,,,,,,
C.J. Stroud,QB,14.374260255416782,14.285714285714286,24.91170431211499,3.7000000000000006,0.5568310717962316,1,,,,,,
Jahmyr Gibbs,RB,14.35009631487836,16.235294117647058,24.451745379876797,1.8000000000000003,0.4949509416186172,1,,,Isiah Pacheco,155,,
Bo Nix,QB,14.338549771635543,17.0,26.5160848733744,1.7000000000000002,0.33670807421281507,1,,,,,,
Jonathan Taylor,RB,14.284942243552704,17.823529411764707,27.616700889801507,5.1,0.8863102372876105,1,,,,,237,Seth McGowan
Jaxson Dart,QB,13.925392437369394,16.357142857142858,23.304585900068446,1.3,0.3826623625258501,1,,,,,,
Michael Penix Jr.,QB,13.61925583002991,12.222222222222221,26.316221765913756,2.0,0.8370378497365579,1,,,Tua Tagovailoa,1,,
Daniel Jones,QB,13.591239472700929,16.53846153846154,29.26488706365503,6.3,0.5968552821676912,1,,,,,,
Aaron Rodgers,QB,13.5316837859034,13.25,42.74880219028063,7.000000000000001,0.7981688233483891,4,Drew Allar,,,,76,Drew Allar
Tyler Shough,QB,13.245990738662876,13.545454545454545,26.926762491444215,0.8,0.5034855779088173,1,,,,,,
De'Von Achane,RB,12.93653415789646,15.1875,24.88432580424367,1.0,0.42729423180750714,1,,,Jaylen Wright,182,,
J.J. McCarthy,QB,12.861918902228943,11.7,23.613963039014372,1.9,0.5265960003293656,2,Kyler Murray,84,,,,
Cam Ward,QB,12.837107870502336,10.176470588235293,24.27104722792608,3.2,0.5683211243141882,1,,,,,,
James Cook,RB,12.776425020189711,15.0,26.934976043805612,2.0,0.47540902357050446,1,,,Ray Davis,158,,
Christian McCaffrey,RB,12.649697632166548,17.647058823529413,30.234086242299796,3.2,0.5653374575761482,1,,,,,90,Kaelon Black
Saquon Barkley,RB,12.34280263200222,11.4375,29.557837097878167,3.1,0.6233841448411872,1,,,Tank Bigsby,148,,
Jacoby Brissett,QB,12.267865406186448,15.428571428571429,33.72210814510609,3.2,0.6075615474794841,1,,,,,65,Carson Beck
Ashton Jeanty,RB,12.229548804473136,10.411764705882353,22.748802190280628,2.6,0.7938298152455348,1,,,Mike Washington,137,122,Mike Washington Jr.
Marcus Mariota,QB,12.125343051534612,11.6,32.837782340862425,2.2,0.39378652081615095,2,Jayden Daniels,,,,223,Athan Kaliakmanis
Malik Willis,QB,11.978339367756398,12.0,27.27173169062286,1.8000000000000003,0.7468175329372602,1,,,,,,
Jaxon Smith-Njigba,WR,11.86348119911067,13.647058823529411,24.54483230663929,3.3000000000000003,0.24551147370505447,1,,,Rashid Shaheed,88,199,Emmanuel Henderson Jr.
Puka Nacua,WR,11.588490692344172,14.75,25.259411362080765,1.9,0.14610800969145732,1,,,Davante Adams,30,197,CJ Daniels
Kyren Williams,RB,11.531249879780008,12.647058823529411,26.015058179329227,4.1,0.7682309688709782,1,,,Blake Corum,87,,
Ja'Marr Chase,WR,11.39908585245198,11.375,26.50239561943874,8.3,0.4178067793215978,1,,,Tee Higgins,31,140,Colbie Young
Amon-Ra St. Brown,WR,11.005369299699144,11.647058823529411,26.855578370978783,10.3,0.6729449524321818,1,,,Jameson Williams,28,168,Kendrick Law
