,,,,,,,,,,,,,,,,
,std,half,ppr,Player,Pos,Team,BYE,ESPN Std,ESPN PPR,Sleeper Std,Sleeper Half,Sleeper PPR,Proj Std,Proj Half,Proj PPR,Yahoo
,TE2,TE2,TE2,Trey McBride,TE,ARI,ARI / 14,1,1,1,2,1,126.8,173.72,220.64,2
,RB1,RB1,RB1,Jahmyr Gibbs,RB,DET,DET / 6,1,1,2,1,1,280.66,313.54,346.42,1
,WR1,WR1,WR1,Ja'Marr Chase,WR,CIN,CIN / 6,1,1,1,1,1,210.06,266.63,323.2,1
,QB1,QB1,QB1,Josh Allen,QB,BUF,BUF / 7,1,1,1,1,1,343.49,343.49,343.49,1
,WR2,WR2,WR2,Puka Nacua,WR,LAR,LAR / 11,2,2,2,2,2,205.66,260.38,315.11,2
,QB2,QB2,QB2,Lamar Jackson,QB,BAL,BAL / 13,3,2,2,2,2,316.98,316.98,316.98,2
,RB2,RB2,RB2,Bijan Robinson,RB,ATL,ATL / 11,2,2,1,2,2,269.5,303.57,337.63,2
,TE1,TE1,TE1,Brock Bowers,TE,LV,LV / 13,2,2,2,1,2,143.4,190.03,236.66,1
,QB5,QB5,QB5,Jayden Daniels,QB,WAS,WAS / 7,2,3,5,6,6,303.91,303.91,303.91,5
,RB3,RB3,RB4,Jonathan Taylor,RB,IND,IND / 13,4,3,3,4,4,259.45,280.88,302.31,3
,WR3,WR3,WR3,Jaxon Smith-Njigba,WR,SEA,SEA / 11,3,3,3,3,3,193.85,243.56,293.28,4
,TE3,TE3,TE4,Colston Loveland,TE,CHI,CHI / 10,3,3,3,3,3,119.99,155.85,191.71,3
,TE4,TE4,TE3,Tyler Warren,TE,IND,IND / 13,4,4,4,4,4,116.12,154.9,193.69,4
,WR4,WR4,WR4,Amon-Ra St. Brown,WR,DET,DET / 6,4,4,5,3,4,178.96,231.65,284.34,3
,RB4,RB4,RB3,Christian McCaffrey,RB,SF,SF / 8,3,4,4,3,3,243.03,277.27,311.51,4
,QB3,QB3,QB3,Drake Maye,QB,NE,NE / 11,4,4,3,3,3,309.55,309.55,309.55,3
,TE10,TE9,TE7,Harold Fannin,TE,CLE,CLE / 11,6,5,5,8,7,101.8,135.17,168.55,7
,RB5,RB5,RB5,James Cook,RB,BUF,BUF / 7,6,5,5,5,5,232.16,249.38,266.6,5
,WR5,WR5,WR5,CeeDee Lamb,WR,DAL,DAL / 14,5,5,4,5,5,165.46,209.72,253.98,5
,QB6,QB6,QB6,Joe Burrow,QB,CIN,CIN / 6,6,5,4,4,4,300.41,300.41,300.41,4
,RB9,RB8,RB6,De'Von Achane,RB,MIA,MIA / 6,7,6,7,8,6,200.72,230.39,260.06,9
,TE8,TE6,TE5,Kyle Pitts,TE,ATL,ATL / 11,5,6,7,7,8,103.57,138.84,174.12,8
,WR6,WR6,WR6,Justin Jefferson,WR,MIN,MIN / 6,6,6,6,6,6,161.6,206.53,251.46,6
,QB4,QB4,QB4,Jalen Hurts,QB,PHI,PHI / 10,5,6,6,5,5,309.42,309.42,309.42,6
,RB11,RB11,RB10,Omarion Hampton,RB,LAC,LAC / 7,12,7,9,10,9,192.34,216.7,241.05,10
,TE6,TE7,TE9,George Kittle,TE,SF,SF / 8,8,7,15,9,10,107.96,136.82,165.68,9
,QB7,QB7,QB7,Dak Prescott,QB,DAL,DAL / 14,9,7,11,9,8,287.32,287.32,287.32,9
,WR7,WR7,WR7,Drake London,WR,ATL,ATL / 11,7,7,7,8,7,161.25,205.7,250.16,8
