,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN PPR,Sleeper PPR,Y PPR,Average,AVGvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,4,1,1,1,1,-0.75,5.5,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,2,2,2,-0.33,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,1,4,3,3,3.3,2.33,5.5,,3
,Puka Nacua,LAR,11,WR,4,2,3,4,4,3.7,0.83,5.5,,4
,Jaxon Smith-Njigba,SEA,11,WR,5,5,5,6,5,5.3,0.07,5.5,,5
,Christian McCaffrey,SF,8,RB,6,8,6,5,6,5.7,-0.29,5.5,,6
,Jonathan Taylor,IND,13,RB,8,11,7,7,7,7,-0.36,5.5,,7
,Amon-Ra St. Brown,DET,6,WR,7,6,8,8,8,8,0.33,5.5,,8
,CeeDee Lamb,DAL,14,WR,9,7,9,9,9,9,0.29,5.5,,9
,Justin Jefferson,MIN,6,WR,10,9,11,10,11,10.7,0.19,5.5,,10
,James Cook,BUF,7,RB,13,23,12,12,10,11.3,-0.51,5.5,,11
,Drake London,ATL,11,WR,11,10,14,13,14,13.7,0.37,5.5,,12
,Ashton Jeanty,LV,13,RB,14,12,15,14,12,13.7,0.14,5.5,2,13
,De'Von Achane,MIA,6,RB,12,16,10,11,20,13.7,-0.15,5.6,,14
,Saquon Barkley,PHI,10,RB,19,26,19,15,13,15.7,-0.4,5.4,,15
,Omarion Hampton,LAC,7,RB,18,22,18,17,19,18,-0.18,5.5,,16
,Chase Brown,CIN,6,RB,17,20,21,18,16,18.3,-0.08,5.5,,17
,Trey McBride,ARI,14,TE,15,15,17,16,25,19.3,0.29,5.5,,18
,Jeremiyah Love,ARI,14,RB,27,38,13,20,26,19.7,-0.48,5.6,,19
,Kenneth Walker,KC,5,RB,26,35,22,23,15,20,-0.43,5.5,,20
,Brock Bowers,LV,13,TE,21,21,24,21,18,21,0,5.4,,21
,Derrick Henry,BAL,13,RB,25,40,20,25,21,22,-0.45,5.5,,22
,Nico Collins,HOU,8,WR,22,17,25,26,17,22.7,0.33,5.5,,23
,Rashee Rice,KC,5,WR,16,19,16,22,30,22.7,0.19,5.6,,24
,A.J. Brown,NE,11,WR,20,14,27,19,24,23.3,0.67,5.4,3,25
,George Pickens,DAL,14,WR,23,18,29,24,22,25,0.39,5.4,,26
,Chris Olave,NO,8,WR,24,13,28,27,29,28,1.15,5.5,,27
,Josh Jacobs,GB,11,RB,29,41,23,29,35,29,-0.29,5.6,,28
,Josh Allen,BUF,7,QB,28,24,36,30,27,31,0.29,5.4,,29
,Breece Hall,NYJ,13,RB,30,37,30,32,36,32.7,-0.12,5.6,,30
,Kyren Williams,LAR,11,RB,38,43,37,31,32,33.3,-0.22,5.4,,31
,DeVonta Smith,PHI,10,WR,33,25,35,44,23,34,0.36,5.5,,32
,Javonte Williams,DAL,14,RB,35,52,31,38,34,34.3,-0.34,5.6,,33
,Garrett Wilson,NYJ,13,WR,31,29,26,39,39,34.7,0.2,5.7,,34
,Tetairoa McMillan,CAR,5,WR,32,32,33,36,38,35.7,0.11,5.6,,35
,Tee Higgins,CIN,6,WR,39,33,46,34,28,36,0.09,5.3,,36
,Malik Nabers,NYG,8,WR,37,34,32,28,49,36.3,0.07,5.6,4,37
,Zay Flowers,BAL,13,WR,34,31,34,43,33,36.7,0.18,5.6,,38
,Travis Etienne,NO,8,RB,41,51,38,35,45,39.3,-0.23,5.5,,39
,Jaylen Waddle,DEN,10,WR,44,36,47,46,31,41.3,0.15,5.4,,40
,Colston Loveland,CHI,10,TE,43,39,49,41,37,42.3,0.09,5.4,,41
,Emeka Egbuka,TB,10,WR,36,45,42,45,40,42.3,-0.06,5.5,,42
,Ladd McConkey,LAC,7,WR,40,30,44,42,42,42.7,0.42,5.5,,43
,Cam Skattebo,NYG,8,RB,48,55,39,49,43,43.7,-0.21,5.6,,44
,Lamar Jackson,BAL,13,QB,42,28,56,37,41,44.7,0.6,5.3,,45
,Bucky Irving,TB,10,RB,45,53,41,33,62,45.3,-0.14,5.6,,46
,Davante Adams,LAR,11,WR,46,49,43,47,48,46,-0.06,5.6,,47
,Luther Burden,CHI,10,WR,47,47,53,40,46,46.3,-0.01,5.4,,48
,Terry McLaurin,WAS,7,WR,49,42,45,55,44,48,0.14,5.6,5,49
,Quinshon Judkins,CLE,11,RB,52,59,40,53,52,48.3,-0.18,5.7,,50
,Jameson Williams,DET,6,WR,51,50,48,52,51,50.3,0.01,5.5,,51
,Tyler Warren,IND,13,TE,53,58,50,50,58,52.7,-0.09,5.6,,52
,Drake Maye,NE,11,QB,50,27,57,51,59,55.7,1.06,5.5,,53
,Rome Odunze,CHI,10,WR,58,60,52,62,54,56,-0.07,5.6,,54
,DJ Moore,BUF,7,WR,55,63,54,58,57,56.3,-0.11,5.5,,55
