,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN Std,Sleeper Std,Y Std,Average,AVGvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,2,2,1,2,1,1.3,-0.33,5.5,1,1
,Bijan Robinson,ATL,11,RB,1,1,2,1,2,1.7,0.67,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,3,4,6,3,4.3,0.44,5.5,,3
,Puka Nacua,LAR,11,WR,4,4,3,9,4,5.3,0.33,5.5,,4
,Christian McCaffrey,SF,8,RB,6,6,6,4,6,5.3,-0.11,5.5,,5
,Jonathan Taylor,IND,13,RB,5,9,7,3,7,5.7,-0.37,5.5,,6
,Jaxon Smith-Njigba,SEA,11,WR,7,5,5,10,5,6.7,0.33,5.5,,7
,James Cook,BUF,7,RB,8,11,12,5,10,9,-0.18,5.4,,8
,CeeDee Lamb,DAL,14,WR,11,8,9,15,9,11,0.38,5.5,,9
,Amon-Ra St. Brown,DET,6,WR,9,7,8,18,8,11.3,0.62,5.6,,10
,Derrick Henry,BAL,13,RB,10,13,10,7,21,12.7,-0.03,5.6,,11
,De'Von Achane,MIA,6,RB,15,19,13,8,20,13.7,-0.28,5.5,,12
,Justin Jefferson,MIN,6,WR,12,10,11,20,11,14,0.4,5.6,2,13
,Saquon Barkley,PHI,10,RB,16,16,15,14,13,14,-0.13,5.5,,14
,Ashton Jeanty,LV,13,RB,13,20,19,11,12,14,-0.3,5.4,,15
,Drake London,ATL,11,WR,14,12,14,21,14,16.3,0.36,5.5,,16
,Omarion Hampton,LAC,7,RB,17,22,20,12,19,17,-0.23,5.4,,17
,Chase Brown,CIN,6,RB,24,26,23,19,16,19.3,-0.26,5.4,,18
,Kenneth Walker,KC,5,RB,20,30,21,24,15,20,-0.33,5.5,,19
,Jeremiyah Love,ARI,14,RB,29,49,18,17,26,20.3,-0.59,5.5,,20
,Trey McBride,ARI,14,TE,18,21,17,23,25,21.7,0.03,5.6,,21
,Nico Collins,HOU,8,WR,19,18,25,26,17,22.7,0.26,5.5,,22
,Brock Bowers,LV,13,TE,21,14,24,30,18,24,0.71,5.5,,23
,George Pickens,DAL,14,WR,23,17,27,28,22,25.7,0.51,5.5,,24
,Josh Allen,BUF,7,QB,26,24,36,16,27,26.3,0.1,5.3,3,25
,Josh Jacobs,GB,11,RB,27,29,22,22,35,26.3,-0.09,5.6,,26
,Rashee Rice,KC,5,WR,22,25,16,35,30,27,0.08,5.7,,27
,Kyren Williams,LAR,11,RB,28,33,37,13,32,27.3,-0.17,5.3,,28
,A.J. Brown,NE,11,WR,25,15,26,34,24,28,0.87,5.5,,29
,Chris Olave,NO,8,WR,31,23,28,31,29,29.3,0.28,5.5,,30
,Breece Hall,NYJ,13,RB,30,37,30,27,36,31,-0.16,5.5,,31
,Javonte Williams,DAL,14,RB,37,41,31,32,34,32.3,-0.21,5.5,,32
,Tee Higgins,CIN,6,WR,39,32,45,37,28,36.7,0.15,5.3,,33
,Garrett Wilson,NYJ,13,WR,34,51,32,40,39,37,-0.27,5.6,,34
,Travis Etienne,NO,8,RB,40,52,38,29,45,37.3,-0.28,5.5,,35
,Malik Nabers,NYG,8,WR,41,39,29,36,49,38,-0.03,5.7,,36
,Tetairoa McMillan,CAR,5,WR,32,34,42,39,38,39.7,0.17,5.5,4,37
,Zay Flowers,BAL,13,WR,33,31,35,52,33,40,0.29,5.6,,38
,DeVonta Smith,PHI,10,WR,43,35,43,55,23,40.3,0.15,5.5,,39
,Lamar Jackson,BAL,13,QB,38,28,56,25,41,40.7,0.45,5.2,,40
,Jaylen Waddle,DEN,10,WR,48,45,51,44,31,42,-0.07,5.3,,41
,Cam Skattebo,NYG,8,RB,44,54,40,43,43,42,-0.22,5.5,,42
,Davante Adams,LAR,11,WR,35,43,34,46,48,42.7,-0.01,5.7,,43
,Emeka Egbuka,TB,10,WR,36,47,33,56,40,43,-0.09,5.7,,44
,Ladd McConkey,LAC,7,WR,47,36,46,47,42,45,0.25,5.5,,45
,Colston Loveland,CHI,10,TE,45,42,49,50,37,45.3,0.08,5.4,,46
,Bucky Irving,TB,10,RB,42,53,41,33,62,45.3,-0.14,5.6,,47
,Quinshon Judkins,CLE,11,RB,46,58,39,45,52,45.3,-0.22,5.6,,48
,Luther Burden,CHI,10,WR,52,57,54,41,46,47,-0.18,5.4,5,49
,Jameson Williams,DET,6,WR,50,38,44,54,51,49.7,0.31,5.6,,50
,Terry McLaurin,WAS,7,WR,51,40,48,57,44,49.7,0.24,5.5,,51
,D'Andre Swift,CHI,10,RB,54,59,61,48,47,52,-0.12,5.3,,52
,TreVeyon Henderson,NE,11,RB,53,55,60,38,63,53.7,-0.02,5.4,,53
,David Montgomery,HOU,8,RB,56,62,62,49,55,55.3,-0.11,5.4,,54
,Tyler Warren,IND,13,TE,57,69,50,58,58,55.3,-0.2,5.6,,55
,Drake Maye,NE,11,QB,49,27,57,51,59,55.7,1.06,5.5,,56
,DJ Moore,BUF,7,WR,58,71,52,60,57,56.3,-0.21,5.6,,57
,Rome Odunze,CHI,10,WR,59,60,47,71,54,57.3,-0.04,5.7,,58
,Bhayshul Tuten,JAC,7,RB,65,70,59,,60,59.5,-0.15,4.4,,59
,Jayden Daniels,WAS,7,QB,55,44,55,69,56,60,0.36,5.6,,60
,Carnell Tate,TEN,9,WR,60,81,53,63,69,61.7,-0.24,5.7,6,61
,Christian Watson,GB,11,WR,63,48,70,67,50,62.3,0.3,5.4,,62
,Joe Burrow,CIN,6,QB,61,46,74,62,53,63,0.37,5.3,,63
