,Name,Team,BYE,Pos,ADP,FantasyPros,CBS,CBSvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,2,1,-0.5,5.5,1,1
,Bijan Robinson,ATL,11,RB,3,4,2,-0.5,5.6,,2
,Ja'Marr Chase,CIN,6,WR,2,1,3,2,5.4,,3
,Puka Nacua,LAR,11,WR,4,3,4,0.33,5.5,,4
,Jonathan Taylor,IND,13,RB,8,11,5,-0.55,5.8,,5
,Jaxon Smith-Njigba,SEA,11,WR,5,5,6,0.2,5.5,,6
,Christian McCaffrey,SF,8,RB,7,8,7,-0.13,5.5,,7
,Amon-Ra St. Brown,DET,6,WR,6,6,8,0.33,5.4,,8
,James Cook,BUF,7,RB,11,13,9,-0.31,5.6,,9
,Chase Brown,CIN,6,RB,14,16,10,-0.38,5.8,,10
,De'Von Achane,MIA,6,RB,12,21,11,-0.48,5.8,,11
,Derrick Henry,BAL,13,RB,26,38,12,-0.68,7,,12
,CeeDee Lamb,DAL,14,WR,9,9,13,0.44,5.3,2,13
,Saquon Barkley,PHI,10,RB,16,25,14,-0.44,5.7,,14
,Justin Jefferson,MIN,6,WR,10,7,15,1.14,5.2,,15
,Kenneth Walker,KC,5,RB,23,23,16,-0.3,5.9,,16
,Omarion Hampton,LAC,7,RB,19,26,17,-0.35,5.8,,17
,Josh Allen,BUF,7,QB,28,24,18,-0.25,5.8,,18
,A.J. Brown,NE,11,WR,18,12,19,0.58,5.3,,19
,Drake London,ATL,11,WR,13,10,20,1,5,,20
,Ashton Jeanty,LV,13,RB,15,28,21,-0.25,5.5,,21
,George Pickens,DAL,14,WR,25,18,22,0.22,5.5,,22
,Rashee Rice,KC,5,WR,22,29,23,-0.21,5.7,,23
,Kyren Williams,LAR,11,RB,36,41,24,-0.41,6.6,,24
,Nico Collins,HOU,8,WR,21,15,25,0.67,5,3,25
,Brock Bowers,LV,13,TE,20,19,26,0.37,5.1,,26
,Trey McBride,ARI,14,TE,17,17,27,0.59,4.9,,27
,Chris Olave,NO,8,WR,24,14,28,1,4.8,,28
,Malik Nabers,NYG,8,WR,27,22,29,0.32,5.3,,29
,Javonte Williams,DAL,14,RB,37,43,30,-0.3,6.3,,30
,Jeremiyah Love,ARI,14,RB,31,40,31,-0.23,5.8,,31
,DeVonta Smith,PHI,10,WR,29,20,32,0.6,5,,32
,Travis Etienne,NO,8,RB,44,46,33,-0.28,6.4,,33
