,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,2,2,1,-0.5,5.6,1,1
,Bijan Robinson,ATL,11,RB,1,1,2,1,5.4,,2
,Puka Nacua,LAR,11,WR,4,4,3,-0.25,5.6,,3
,Ja'Marr Chase,CIN,6,WR,3,3,4,0.33,5.4,,4
,Jaxon Smith-Njigba,SEA,11,WR,6,5,5,0,5.5,,5
,Christian McCaffrey,SF,8,RB,5,6,6,0,5.5,,6
,Jonathan Taylor,IND,13,RB,7,10,7,-0.3,5.6,,7
,Amon-Ra St. Brown,DET,6,WR,8,7,8,0.14,5.5,,8
,CeeDee Lamb,DAL,14,WR,9,8,9,0.13,5.5,,9
,De'Von Achane,MIA,6,RB,15,15,10,-0.33,5.9,,10
,Justin Jefferson,MIN,6,WR,11,9,11,0.22,5.5,,11
,James Cook,BUF,7,RB,10,12,12,0,5.4,,12
,Jeremiyah Love,ARI,14,RB,27,41,13,-0.68,7.1,2,13
,Drake London,ATL,11,WR,14,11,14,0.27,5.4,,14
,Ashton Jeanty,LV,13,RB,12,13,15,0.15,5.3,,15
,Rashee Rice,KC,5,WR,26,25,16,-0.36,6.2,,16
,Trey McBride,ARI,14,TE,21,21,17,-0.19,5.8,,17
,Omarion Hampton,LAC,7,RB,17,16,18,0.13,5.4,,18
,Saquon Barkley,PHI,10,RB,13,18,19,0.06,5.2,,19
,Derrick Henry,BAL,13,RB,23,24,20,-0.17,5.7,,20
,Chase Brown,CIN,6,RB,16,20,21,0.05,5.3,,21
,Kenneth Walker,KC,5,RB,22,29,22,-0.24,5.8,,22
,Josh Jacobs,GB,11,RB,30,32,23,-0.28,5.8,,23
,Brock Bowers,LV,13,TE,18,14,24,0.71,5,,24
,Nico Collins,HOU,8,WR,19,19,25,0.32,5.2,3,25
,Garrett Wilson,NYJ,13,WR,40,36,26,-0.28,6.4,,26
,A.J. Brown,NE,11,WR,20,17,27,0.59,4.9,,27
,Chris Olave,NO,8,WR,28,23,28,0.22,5.4,,28
,George Pickens,DAL,14,WR,25,22,29,0.32,5.1,,29
,Breece Hall,NYJ,13,RB,34,37,30,-0.19,5.7,,30
,Javonte Williams,DAL,14,RB,35,46,31,-0.33,6.1,,31
,Malik Nabers,NYG,8,WR,37,39,32,-0.18,6,,32
,Tetairoa McMillan,CAR,5,WR,36,33,33,0,5.6,,33
,Zay Flowers,BAL,13,WR,38,30,34,0.13,5.5,,34
,DeVonta Smith,PHI,10,WR,31,31,35,0.13,5.2,,35
,Josh Allen,BUF,7,QB,24,26,36,0.38,5.1,,36
,Kyren Williams,LAR,11,RB,29,38,37,-0.03,5.2,4,37
,Travis Etienne,NO,8,RB,42,53,38,-0.28,6,,38
,Cam Skattebo,NYG,8,RB,44,54,39,-0.28,6,,39
,Quinshon Judkins,CLE,11,RB,54,57,40,-0.3,6.7,,40
,Bucky Irving,TB,10,RB,48,51,41,-0.2,6.1,,41
,Emeka Egbuka,TB,10,WR,43,49,42,-0.14,5.8,,42
,Davante Adams,LAR,11,WR,50,47,43,-0.09,5.9,,43
,Ladd McConkey,LAC,7,WR,41,34,44,0.29,5,,44
,Terry McLaurin,WAS,7,WR,47,43,45,0.05,5.5,,45
,Tee Higgins,CIN,6,WR,32,35,46,0.31,4.6,,46
,Jaylen Waddle,DEN,10,WR,45,40,47,0.18,5.2,,47
