,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,1,1,0,5.5,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,-0.33,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,2,3,0.5,5.5,,3
,Puka Nacua,LAR,11,WR,4,4,4,0,5.5,,4
,Jaxon Smith-Njigba,SEA,11,WR,6,5,5,0,5.5,,5
,Christian McCaffrey,SF,8,RB,7,9,6,-0.33,5.7,,6
,Jonathan Taylor,IND,13,RB,5,7,7,0,5.4,,7
,Amon-Ra St. Brown,DET,6,WR,9,6,8,0.33,5.5,,8
,CeeDee Lamb,DAL,14,WR,11,10,9,-0.1,5.6,,9
,Justin Jefferson,MIN,6,WR,12,11,10,-0.09,5.6,,10
,Derrick Henry,BAL,13,RB,10,13,11,-0.15,5.5,,11
,James Cook,BUF,7,RB,8,8,12,0.5,5.2,,12
,De'Von Achane,MIA,6,RB,14,23,13,-0.43,5.9,2,13
,Drake London,ATL,11,WR,15,14,14,0,5.5,,14
,Saquon Barkley,PHI,10,RB,13,17,15,-0.12,5.5,,15
,Ashton Jeanty,LV,13,RB,17,32,16,-0.5,6.1,,16
,Jeremiyah Love,ARI,14,RB,32,45,17,-0.62,7.1,,17
,Kenneth Walker,KC,5,RB,20,20,18,-0.1,5.6,,18
,Omarion Hampton,LAC,7,RB,16,24,19,-0.21,5.6,,19
,Trey McBride,ARI,14,TE,19,21,20,-0.05,5.5,,20
,Brock Bowers,LV,13,TE,22,16,21,0.31,5.4,,21
,Breece Hall,NYJ,13,RB,31,37,22,-0.41,6.4,,22
,Chase Brown,CIN,6,RB,18,18,23,0.28,5.1,,23
,Rashee Rice,KC,5,WR,26,35,24,-0.31,6,,24
,Nico Collins,HOU,8,WR,21,15,25,0.67,5.2,3,25
,A.J. Brown,NE,11,WR,23,12,26,1.17,4.9,,26
,Malik Nabers,NYG,8,WR,29,26,27,0.04,5.5,,27
,George Pickens,DAL,14,WR,25,19,28,0.47,5.1,,28
,Chris Olave,NO,8,WR,27,22,29,0.32,5.2,,29
,Javonte Williams,DAL,14,RB,33,34,30,-0.12,5.7,,30
