,Name,Team,BYE,Pos,ADP,FantasyPros,FLEA,FLEAvFP,Landmine,Round,Pick
,Ja'Marr Chase,CIN,10,WR,1,1,1,0,6,1,1
,Bijan Robinson,ATL,5,RB,2,2,2,0,6,,2
,Saquon Barkley,PHI,9,RB,3,4,3,-0.25,6,,3
,CeeDee Lamb,DAL,10,WR,6,5,4,-0.2,6.1,,4
,Jahmyr Gibbs,DET,8,RB,4,3,5,0.67,5.9,,5
,Justin Jefferson,MIN,6,WR,5,6,6,0,6,,6
,Derrick Henry,BAL,7,RB,8,11,7,-0.36,6.2,,7
,Nico Collins,HOU,6,WR,10,8,8,0,6.1,,8
,Brian Thomas,JAC,8,WR,16,14,9,-0.36,6.5,,9
,Malik Nabers,NYG,14,WR,12,7,10,0.43,6,,10
,Puka Nacua,LAR,8,WR,14,12,11,-0.08,6.2,,11
,Amon-Ra St. Brown,DET,8,WR,9,10,12,0.2,5.8,,12
,Christian McCaffrey,SF,14,RB,7,9,13,0.44,5.6,2,13
,Ashton Jeanty,LV,8,RB,11,13,14,0.08,5.8,,14
,Drake London,ATL,5,WR,15,15,15,0,6,,15
,Jonathan Taylor,IND,11,RB,18,19,16,-0.16,6.2,,16
,A.J. Brown,PHI,9,WR,22,17,17,0,6.2,,17
,Josh Jacobs,GB,5,RB,13,20,18,-0.1,5.9,,18
,Brock Bowers,LV,8,TE,21,18,19,0.06,6,,19
,George Kittle,SF,14,TE,28,30,20,-0.33,6.7,,20
,De'Von Achane,MIA,12,RB,17,16,21,0.31,5.6,,21
,Bucky Irving,TB,9,RB,19,21,22,0.05,5.8,,22
,Ladd McConkey,LAC,12,WR,26,23,23,0,6.1,,23
,Kyren Williams,LAR,8,RB,25,26,24,-0.08,6.1,,24
,Josh Allen,BUF,7,QB,23,25,25,0,5.9,3,25
,Lamar Jackson,BAL,7,QB,24,27,26,-0.04,6,,26
,Chase Brown,CIN,10,RB,20,22,27,0.23,5.5,,27
,Tee Higgins,CIN,10,WR,31,28,28,0,6.1,,28
,Mike Evans,TB,9,WR,35,32,29,-0.09,6.4,,29
,Trey McBride,ARI,8,TE,27,24,30,0.25,5.6,,30
,Jayden Daniels,WAS,12,QB,33,33,31,-0.06,6.2,,31
,Tyreek Hill,MIA,12,WR,39,31,32,0.03,6.2,,32
,James Cook,BUF,7,RB,30,35,33,-0.06,6,,33
,Jaxon Smith-Njigba,SEA,8,WR,34,29,34,0.17,5.8,,34
,Davante Adams,LAR,8,WR,46,36,35,-0.03,6.5,,35
,Jalen Hurts,PHI,9,QB,32,38,36,-0.05,5.9,,36
,Garrett Wilson,NYJ,9,WR,41,34,37,0.09,6,4,37
,Kenneth Walker,SEA,8,RB,36,39,38,-0.03,6,,38
,Marvin Harrison,ARI,8,WR,37,40,39,-0.03,6,,39
,Omarion Hampton,LAC,12,RB,29,37,40,0.08,5.4,,40
,Terry McLaurin,WAS,12,WR,40,41,41,0,6,,41
,Breece Hall,NYJ,9,RB,44,43,42,-0.02,6.1,,42
,Joe Burrow,CIN,10,QB,43,46,43,-0.07,6.1,,43
,DK Metcalf,PIT,5,WR,48,47,44,-0.06,6.3,,44
,Chuba Hubbard,CAR,14,RB,42,49,45,-0.08,6,,45
,James Conner,ARI,8,RB,45,50,46,-0.08,6.1,,46
,Jameson Williams,DET,8,WR,65,53,47,-0.11,7,,47
,Alvin Kamara,NO,11,RB,38,42,48,0.14,5.4,,48
,DJ Moore,CHI,5,WR,57,44,49,0.11,6.1,5,49
,Courtland Sutton,DEN,12,WR,56,45,50,0.11,6,,50
,TreVeyon Henderson,NE,14,RB,47,48,51,0.06,5.7,,51
,Xavier Worthy,KC,10,WR,53,54,52,-0.04,6.1,,52
,Calvin Ridley,TEN,10,WR,66,55,53,-0.04,6.6,,53
,Zay Flowers,BAL,7,WR,63,58,54,-0.07,6.5,,54
,George Pickens,DAL,10,WR,51,56,55,-0.02,5.9,,55
,David Montgomery,DET,8,RB,59,61,56,-0.08,6.3,,56
,DeVonta Smith,PHI,9,WR,54,51,57,0.12,5.6,,57
,Tetairoa McMillan,CAR,14,WR,58,52,58,0.12,5.8,,58
,D'Andre Swift,CHI,5,RB,61,59,59,0,6.1,,59
,Sam LaPorta,DET,8,TE,50,64,60,-0.06,5.8,,60
,Tony Pollard,TEN,10,RB,49,57,61,0.07,5.4,6,61
,Isiah Pacheco,KC,10,RB,60,63,62,-0.02,6,,62
,RJ Harvey,DEN,12,RB,52,60,63,0.05,5.4,,63
,Patrick Mahomes,KC,10,QB,55,66,64,-0.03,5.7,,64
,Jaylen Waddle,MIA,12,WR,62,62,65,0.05,5.8,,65
,Aaron Jones,MIN,6,RB,68,65,66,0.02,6,,66
,Mark Andrews,BAL,7,TE,70,81,67,-0.17,6.7,,67
,Baker Mayfield,TB,9,QB,78,70,68,-0.03,6.5,,68
,Bo Nix,DEN,12,QB,69,73,69,-0.05,6.2,,69
,Travis Hunter,JAC,8,WR,73,67,70,0.04,6,,70
,T.J. Hockenson,MIN,6,TE,64,68,71,0.04,5.6,,71
,Kaleb Johnson,PIT,5,RB,71,77,72,-0.06,6.2,,72
,Tyrone Tracy,NYG,14,RB,72,74,73,-0.01,6,7,73
,Rashee Rice,KC,10,WR,81,72,74,0.03,6.2,,74
,Rome Odunze,CHI,5,WR,75,71,75,0.06,5.8,,75
,Kyler Murray,ARI,8,QB,94,82,76,-0.07,7,,76
,Ricky Pearsall,SF,14,WR,74,76,77,0.01,5.8,,77
,Chris Olave,NO,11,WR,76,69,78,0.13,5.6,,78
,Jerry Jeudy,CLE,9,WR,83,75,79,0.05,6,,79
,Jordan Mason,MIN,6,RB,79,87,80,-0.08,6.2,,80
,Travis Kelce,KC,10,TE,67,80,81,0.01,5.4,,81
,Dak Prescott,DAL,10,QB,90,84,82,-0.02,6.4,,82
,Jaylen Warren,PIT,5,RB,80,79,83,0.05,5.7,,83
,Deebo Samuel,WAS,12,WR,85,89,84,-0.06,6.2,,84
,Jordan Addison,MIN,6,WR,97,91,85,-0.07,6.7,8,85
,Joe Mixon,HOU,6,RB,103,129,86,-0.33,8.4,,86
,David Njoku,CLE,9,TE,89,86,87,0.01,6,,87
,Brock Purdy,SF,14,QB,82,93,88,-0.05,6,,88
,Tucker Kraft,GB,5,TE,84,98,89,-0.09,6.2,,89
,Jayden Reed,GB,5,WR,113,104,90,-0.13,7.5,,90
,Emeka Egbuka,TB,9,WR,77,78,91,0.17,4.9,,91
,Travis Etienne,JAC,8,RB,93,88,92,0.05,5.9,,92
,Jauan Jennings,SF,14,WR,101,95,93,-0.02,6.4,,93
,Justin Fields,NYJ,9,QB,110,94,94,0,6.6,,94
,Jakobi Meyers,LV,8,WR,87,85,95,0.12,5.3,,95
,Justin Herbert,LAC,12,QB,106,99,96,-0.03,6.5,,96
,Caleb Williams,CHI,5,QB,118,101,97,-0.04,7,9,97
,Tank Bigsby,JAC,8,RB,99,110,98,-0.11,6.5,,98
,Tyler Warren,IND,11,TE,91,100,99,-0.01,5.7,,99
,Stefon Diggs,NE,14,WR,86,83,100,0.2,4.8,,100
,Zach Charbonnet,SEA,8,RB,95,92,101,0.1,5.4,,101
,Drake Maye,NE,14,QB,114,102,102,0,6.5,,102
,Evan Engram,DEN,12,TE,88,90,103,0.14,4.9,,103
,Jared Goff,DET,8,QB,116,108,104,-0.04,6.6,,104
,J.K. Dobbins,DEN,12,RB,96,105,105,0,5.6,,105
,Javonte Williams,DAL,10,RB,102,97,106,0.09,5.5,,106
,Rhamondre Stevenson,NE,14,RB,107,111,107,-0.04,6.2,,107
,Matthew Golden,GB,5,WR,92,96,108,0.13,4.9,,108
,Jordan Love,GB,5,QB,129,114,109,-0.04,7,10,109
,Khalil Shakir,BUF,7,WR,112,103,110,0.07,5.8,,110
,Chris Godwin,TB,9,WR,121,112,111,-0.01,6.4,,111
,Trevor Lawrence,JAC,8,QB,164,115,112,-0.03,8.2,,112
,Quinshon Judkins,CLE,9,RB,131,134,113,-0.16,7.6,,113
,C.J. Stroud,HOU,6,QB,140,119,114,-0.04,7.2,,114
,Josh Downs,IND,11,WR,120,107,115,0.07,5.9,,115
,Keon Coleman,BUF,7,WR,127,121,116,-0.04,6.6,,116
,Cooper Kupp,SEA,8,WR,104,113,117,0.04,5.3,,117
,Cam Skattebo,NYG,14,RB,109,117,118,0.01,5.6,,118
,Jacory Croskey-Merritt,WAS,12,RB,98,106,119,0.12,4.6,,119
,Najee Harris,LAC,12,RB,141,133,120,-0.1,7.4,,120
,Dalton Kincaid,BUF,7,TE,125,122,121,-0.01,6.2,11,121
,Dallas Goedert,PHI,9,TE,128,125,122,-0.02,6.4,,122
,Kyle Pitts,ATL,5,TE,138,139,123,-0.12,7.2,,123
,Darnell Mooney,ATL,5,WR,148,123,124,0.01,6.9,,124
,J.J. McCarthy,MIN,6,QB,145,120,125,0.04,6.6,,125
,Michael Pittman,IND,11,WR,115,109,126,0.16,4.9,,126
,Brian Robinson,SF,14,RB,123,130,127,-0.02,6,,127
,Braelon Allen,NYJ,9,RB,100,124,128,0.03,4.7,,128
,Tyjae Spears,TEN,10,RB,156,137,129,-0.06,7.4,,129
,Colston Loveland,CHI,5,TE,122,126,130,0.03,5.5,,130
