,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Bijan Robinson,ATL,11,RB,2,3,1,-0.67,5.6,1,1
,Jahmyr Gibbs,DET,6,RB,1,1,2,1,5.4,,2
,Jonathan Taylor,IND,13,RB,5,7,3,-0.57,5.6,,3
,Christian McCaffrey,SF,8,RB,7,9,4,-0.56,5.7,,4
,James Cook,BUF,7,RB,8,8,5,-0.38,5.7,,5
,Ja'Marr Chase,CIN,6,WR,3,2,6,2,5.4,,6
,Derrick Henry,BAL,13,RB,10,13,7,-0.46,5.7,,7
,De'Von Achane,MIA,6,RB,14,23,8,-0.65,6.3,,8
,Puka Nacua,LAR,11,WR,4,4,9,1.25,5.3,,9
,Jaxon Smith-Njigba,SEA,11,WR,6,5,10,1,5.3,,10
,Ashton Jeanty,LV,13,RB,17,32,11,-0.66,6.5,,11
,Omarion Hampton,LAC,7,RB,16,24,12,-0.5,6,,12
,Kyren Williams,LAR,11,RB,28,29,13,-0.55,6.7,2,13
,Saquon Barkley,PHI,10,RB,13,17,14,-0.18,5.6,,14
,CeeDee Lamb,DAL,14,WR,11,10,15,0.5,5.2,,15
,Josh Allen,BUF,7,QB,24,25,16,-0.36,5.8,,16
,Jeremiyah Love,ARI,14,RB,32,45,17,-0.62,7.1,,17
,Amon-Ra St. Brown,DET,6,WR,9,6,18,2,4.8,,18
,Chase Brown,CIN,6,RB,18,18,19,0.06,5.4,,19
,Justin Jefferson,MIN,6,WR,12,11,20,0.82,5.2,,20
,Drake London,ATL,11,WR,15,14,21,0.5,5.2,,21
,Josh Jacobs,GB,11,RB,30,148,22,-0.85,10,,22
,Trey McBride,ARI,14,TE,19,21,23,0.1,5.4,,23
,Kenneth Walker,KC,5,RB,20,20,24,0.2,5.2,,24
,Lamar Jackson,BAL,13,QB,35,27,25,-0.07,5.7,3,25
,Nico Collins,HOU,8,WR,21,15,26,0.73,5.1,,26
