,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,1,1,0,5.5,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,-0.33,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,2,3,0.5,5.5,,3
,Puka Nacua,LAR,11,WR,4,4,4,0,5.5,,4
,Jonathan Taylor,IND,13,RB,7,8,5,-0.38,5.7,,5
,Christian McCaffrey,SF,8,RB,5,7,6,-0.14,5.5,,6
,Amon-Ra St. Brown,DET,6,WR,8,5,7,0.4,5.5,,7
,Jaxon Smith-Njigba,SEA,11,WR,6,6,8,0.33,5.4,,8
,James Cook,BUF,7,RB,9,11,9,-0.18,5.5,,9
,Saquon Barkley,PHI,10,RB,12,15,10,-0.33,5.7,,10
,CeeDee Lamb,DAL,14,WR,10,10,11,0.1,5.5,,11
,Kenneth Walker,KC,5,RB,18,18,12,-0.33,6,,12
,Justin Jefferson,MIN,6,WR,11,9,13,0.44,5.4,2,13
,Chase Brown,CIN,6,RB,16,14,14,0,5.6,,14
,De'Von Achane,MIA,6,RB,13,19,15,-0.21,5.6,,15
,Omarion Hampton,LAC,7,RB,17,21,16,-0.24,5.7,,16
,Derrick Henry,BAL,13,RB,21,20,17,-0.15,5.6,,17
,Nico Collins,HOU,8,WR,24,17,18,0.06,5.7,,18
,Brock Bowers,LV,13,TE,20,16,19,0.19,5.5,,19
,Drake London,ATL,11,WR,19,12,20,0.67,5.2,,20
,Ashton Jeanty,LV,13,RB,14,25,21,-0.16,5.4,,21
,George Pickens,DAL,14,WR,25,24,22,-0.08,5.7,,22
,A.J. Brown,NE,11,WR,22,13,23,0.77,5.1,,23
,Malik Nabers,NYG,8,WR,28,28,24,-0.14,5.8,,24
,Chris Olave,NO,8,WR,27,22,25,0.14,5.5,3,25
,DeVonta Smith,PHI,10,WR,33,27,26,-0.04,5.7,,26
,Kyren Williams,LAR,11,RB,31,30,27,-0.1,5.7,,27
,Jeremiyah Love,ARI,14,RB,30,42,28,-0.33,5.9,,28
,Tee Higgins,CIN,6,WR,37,39,29,-0.26,6.2,,29
,Breece Hall,NYJ,13,RB,34,34,30,-0.12,5.7,,30
