,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,4,1,-0.75,5.6,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,-0.33,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,1,3,2,5.5,,3
,Puka Nacua,LAR,11,WR,4,2,4,1,5.5,,4
,Jaxon Smith-Njigba,SEA,11,WR,5,5,5,0,5.5,,5
,Christian McCaffrey,SF,8,RB,6,8,6,-0.25,5.5,,6
,Jonathan Taylor,IND,13,RB,8,11,7,-0.36,5.6,,7
,Amon-Ra St. Brown,DET,6,WR,7,6,8,0.33,5.4,,8
,CeeDee Lamb,DAL,14,WR,9,7,9,0.29,5.5,,9
,James Cook,BUF,7,RB,13,23,10,-0.57,6.1,,10
,Justin Jefferson,MIN,6,WR,10,9,11,0.22,5.4,,11
,Ashton Jeanty,LV,13,RB,14,12,12,0,5.5,,12
,Saquon Barkley,PHI,10,RB,19,26,13,-0.5,6.2,2,13
,Drake London,ATL,11,WR,11,10,14,0.4,5.4,,14
,Kenneth Walker,KC,5,RB,26,35,15,-0.57,6.7,,15
,Chase Brown,CIN,6,RB,17,20,16,-0.2,5.7,,16
,Nico Collins,HOU,8,WR,22,17,17,0,5.7,,17
,Brock Bowers,LV,13,TE,21,21,18,-0.14,5.7,,18
,Omarion Hampton,LAC,7,RB,18,22,19,-0.14,5.6,,19
,De'Von Achane,MIA,6,RB,12,16,20,0.25,5.1,,20
,Derrick Henry,BAL,13,RB,25,40,21,-0.48,6.1,,21
,George Pickens,DAL,14,WR,23,18,22,0.22,5.4,,22
,DeVonta Smith,PHI,10,WR,33,25,23,-0.08,6,,23
,A.J. Brown,NE,11,WR,20,14,24,0.71,5,,24
,Trey McBride,ARI,14,TE,15,15,25,0.67,4.9,3,25
,Jeremiyah Love,ARI,14,RB,27,38,26,-0.32,5.7,,26
,Josh Allen,BUF,7,QB,28,24,27,0.13,5.5,,27
,Tee Higgins,CIN,6,WR,39,33,28,-0.15,6.1,,28
,Chris Olave,NO,8,WR,24,13,29,1.23,4.7,,29
,Rashee Rice,KC,5,WR,16,19,30,0.58,4.6,,30
,Jaylen Waddle,DEN,10,WR,44,36,31,-0.14,6.2,,31
,Kyren Williams,LAR,11,RB,38,43,32,-0.26,6.1,,32
,Zay Flowers,BAL,13,WR,34,31,33,0.06,5.5,,33
,Javonte Williams,DAL,14,RB,35,52,34,-0.35,6.2,,34
,Josh Jacobs,GB,11,RB,29,41,35,-0.15,5.5,,35
,Breece Hall,NYJ,13,RB,30,37,36,-0.03,5.3,,36
,Colston Loveland,CHI,10,TE,43,39,37,-0.05,5.7,4,37
,Tetairoa McMillan,CAR,5,WR,32,32,38,0.19,5.1,,38
,Garrett Wilson,NYJ,13,WR,31,29,39,0.34,4.8,,39
,Emeka Egbuka,TB,10,WR,36,45,40,-0.11,5.5,,40
,Lamar Jackson,BAL,13,QB,42,28,41,0.46,5.2,,41
,Ladd McConkey,LAC,7,WR,40,30,42,0.4,5,,42
,Cam Skattebo,NYG,8,RB,48,55,43,-0.22,6.1,,43
,Terry McLaurin,WAS,7,WR,49,42,44,0.05,5.6,,44
,Travis Etienne,NO,8,RB,41,51,45,-0.12,5.6,,45
,Luther Burden,CHI,10,WR,47,47,46,-0.02,5.6,,46
,D'Andre Swift,CHI,10,RB,62,61,47,-0.23,6.6,,47
,Davante Adams,LAR,11,WR,46,49,48,-0.02,5.5,,48
,Malik Nabers,NYG,8,WR,37,34,49,0.44,4.5,5,49
,Christian Watson,GB,11,WR,66,54,50,-0.07,6.3,,50
,Jameson Williams,DET,6,WR,51,50,51,0.02,5.5,,51
,Quinshon Judkins,CLE,11,RB,52,59,52,-0.12,5.7,,52
,Joe Burrow,CIN,6,QB,59,46,53,0.15,5.5,,53
,Rome Odunze,CHI,10,WR,58,60,54,-0.1,5.8,,54
,David Montgomery,HOU,8,RB,61,64,55,-0.14,6.1,,55
,Jayden Daniels,WAS,7,QB,56,44,56,0.27,5.3,,56
,DJ Moore,BUF,7,WR,55,63,57,-0.1,5.6,,57
,Tyler Warren,IND,13,TE,53,58,58,0,5.4,,58
,Drake Maye,NE,11,QB,50,27,59,1.19,4,,59
,Bhayshul Tuten,JAC,7,RB,69,78,60,-0.23,6.5,,60
,Mike Evans,SF,8,WR,63,48,61,0.27,5.1,6,61
,Bucky Irving,TB,10,RB,45,53,62,0.17,4.5,,62
,TreVeyon Henderson,NE,11,RB,57,56,63,0.13,5,,63
,Jalen Hurts,PHI,10,QB,60,57,64,0.12,5.3,,64
,Brian Thomas,JAC,7,WR,75,65,65,0,5.9,,65
,Jadarian Price,SEA,11,RB,65,82,66,-0.2,6,,66
,Parker Washington,JAC,7,WR,79,96,67,-0.3,7,,67
,Justin Herbert,LAC,7,QB,82,62,68,0.1,5.8,,68
,Carnell Tate,TEN,9,WR,54,75,69,-0.08,5.2,,69
,Caleb Williams,CHI,10,QB,78,68,70,0.03,5.7,,70
,Chuba Hubbard,CAR,5,RB,88,90,71,-0.21,6.9,,71
,Tucker Kraft,GB,11,TE,86,71,72,0.01,6,,72
,Marvin Harrison,ARI,14,WR,68,87,73,-0.16,5.8,7,73
,Jaylen Warren,PIT,9,RB,81,69,74,0.07,5.6,,74
,Rhamondre Stevenson,NE,11,RB,89,79,75,-0.05,5.8,,75
,Trevor Lawrence,JAC,7,QB,85,76,76,0,5.8,,76
,Tony Pollard,TEN,9,RB,76,77,77,0,5.5,,77
,Alec Pierce,IND,13,WR,73,84,78,-0.07,5.5,,78
,Sam LaPorta,DET,6,TE,77,88,79,-0.1,5.8,,79
,DK Metcalf,PIT,9,WR,70,66,80,0.21,4.6,,80
,Jordyn Tyson,NO,8,WR,64,109,81,-0.26,5.9,,81
,Kyle Pitts,ATL,11,TE,71,81,82,0.01,5.2,,82
,Dak Prescott,DAL,14,QB,83,73,83,0.14,5.3,,83
,Rico Dowdle,PIT,9,RB,92,89,84,-0.06,5.8,,84
,Harold Fannin,CLE,11,TE,67,70,85,0.21,4.3,8,85
,Quentin Johnston,LAC,7,WR,111,95,86,-0.09,6.8,,86
,Chris Godwin,TB,10,WR,103,72,87,0.21,5.5,,87
,Makai Lemon,PHI,10,WR,74,114,88,-0.23,6,,88
,Ricky Pearsall,SF,8,WR,95,135,89,-0.34,7.5,,89
,Blake Corum,LAR,11,RB,110,110,90,-0.18,7,,90
,Brock Purdy,SF,8,QB,94,97,91,-0.06,5.8,,91
,Jaxson Dart,NYG,8,QB,80,93,92,-0.01,5.1,,92
,J.K. Dobbins,DEN,10,RB,101,105,93,-0.11,6.3,,93
,Courtland Sutton,DEN,10,WR,72,67,94,0.4,3.7,,94
,Kyle Monangai,CHI,10,RB,98,91,95,0.04,5.5,,95
,Jayden Reed,GB,11,WR,114,104,96,-0.08,6.5,,96
,Jordan Addison,MIN,6,WR,97,98,97,-0.01,5.5,9,97
,Josh Downs,IND,13,WR,112,94,98,0.04,5.7,,98
,RJ Harvey,DEN,10,RB,91,83,99,0.19,4.6,,99
,Jonathon Brooks,CAR,5,RB,121,128,100,-0.22,7.3,,100
,Bo Nix,DEN,10,QB,99,100,101,0.01,5.4,,101
,George Kittle,SF,8,TE,104,99,102,0.03,5.5,,102
,Michael Wilson,ARI,14,WR,87,86,103,0.2,4.3,,103
,Jordan Mason,MIN,6,RB,124,131,104,-0.21,7.3,,104
,Rachaad White,WAS,7,RB,113,117,105,-0.1,5.9,,105
,Kyler Murray,MIN,6,QB,128,115,106,-0.08,6.7,,106
,Dalton Kincaid,BUF,7,TE,109,101,107,0.06,5.4,,107
,Michael Pittman,PIT,9,WR,84,74,108,0.46,3.3,,108
,Patrick Mahomes,KC,5,QB,96,92,109,0.18,4.4,10,109
,Xavier Worthy,KC,5,WR,126,121,110,-0.09,6.5,,110
,Kenny Gainwell,TB,10,RB,102,106,111,0.05,5,,111
,Jacory Croskey-Merritt,WAS,7,RB,118,122,112,-0.08,6,,112
,Isaiah Likely,NYG,8,TE,117,118,113,-0.04,5.8,,113
,Dallas Goedert,PHI,10,TE,108,127,114,-0.1,5.8,,114
,Matthew Stafford,LAR,11,QB,100,107,115,0.07,4.8,,115
,Jakobi Meyers,JAC,7,WR,90,80,116,0.45,3.2,,116
,Travis Kelce,KC,5,TE,105,103,117,0.14,4.5,,117
,Matthew Golden,GB,11,WR,115,148,118,-0.2,6.5,,118
,Mark Andrews,BAL,13,TE,116,124,119,-0.04,5.5,,119
,Jared Goff,DET,6,QB,120,108,120,0.11,5.1,,120
,Chris Rodriguez,JAC,7,RB,139,146,121,-0.17,7.1,11,121
,Romeo Doubs,NE,11,WR,123,141,122,-0.13,6.3,,122
,Jayden Higgins,HOU,8,WR,125,112,123,0.1,5.2,,123
,KC Concepcion,CLE,11,WR,122,145,124,-0.14,6.2,,124
,Aaron Jones,MIN,6,RB,107,102,125,0.23,4,,125
,Stefon Diggs,FA,-,WR,165,165,126,-0.24,8.4,,126
,Jalen Coker,CAR,5,WR,129,125,127,0.02,5.5,,127
,Tyrone Tracy,NYG,8,RB,143,132,128,-0.03,6.2,,128
,Jordan Love,GB,11,QB,153,116,129,0.11,5.9,,129
,Wan'Dale Robinson,TEN,9,WR,93,85,130,0.53,2.4,,130
,Malik Willis,MIA,6,QB,138,126,131,0.04,5.6,,131
,Baker Mayfield,TB,10,QB,136,120,132,0.1,5.3,,132
,Tyler Shough,NO,8,QB,130,113,133,0.18,4.6,12,133
,Keaton Mitchell,LAC,7,RB,161,151,134,-0.11,7.2,,134
,Tyler Allgeier,ARI,14,RB,146,139,135,-0.03,6.1,,135
,Jake Ferguson,DAL,14,TE,106,111,136,0.23,3.4,,136
,Rashid Shaheed,SEA,11,WR,140,143,137,-0.04,5.8,,137
,Chig Okonkwo,WAS,7,TE,175,170,138,-0.19,8.1,,138
,Tyjae Spears,TEN,9,RB,150,140,139,-0.01,6,,139
,Jonah Coleman,DEN,10,RB,132,186,140,-0.25,6.9,,140
,Tank Bigsby,PHI,10,RB,159,155,141,-0.09,6.7,,141
,Isiah Pacheco,DET,6,RB,147,150,142,-0.05,5.8,,142
,Zach Charbonnet,SEA,11,RB,135,130,143,0.1,4.7,,143
,Woody Marks,HOU,8,RB,131,123,144,0.17,4.2,,144
,Brian Robinson,ATL,11,RB,149,157,145,-0.08,5.8,13,145
,Khalil Shakir,BUF,7,WR,119,119,147,0.24,3.4,,146
,Travis Hunter,JAC,7,WR,134,161,148,-0.08,5.5,,147
,Alvin Kamara,NO,8,RB,142,133,149,0.12,4.6,,148
,Adonai Mitchell,NYJ,13,WR,158,159,150,-0.06,6.1,,149
,Jalen Nailor,LV,13,WR,169,193,152,-0.21,7.7,,150
,Braelon Allen,NYJ,13,RB,156,153,154,0.01,5.5,,151
,Jalen McMillan,TB,10,WR,154,175,155,-0.11,6.2,,152
,Dylan Sampson,CLE,11,RB,181,137,156,0.14,5.7,,153
,Brenton Strange,JAC,7,TE,160,136,157,0.15,4.8,,154
,Daniel Jones,IND,13,QB,155,168,158,-0.06,5.8,,155
,Oronde Gadsden,LAC,7,TE,164,156,159,0.02,5.6,,156
,C.J. Stroud,HOU,8,QB,168,129,161,0.25,4.9,14,157
,Bryce Young,CAR,5,QB,189,152,162,0.07,6.1,,158
,Omar Cooper,NYJ,13,WR,137,166,163,-0.02,4.9,,159
,Sam Darnold,SEA,11,QB,178,138,165,0.2,5.1,,160
,Tre Tucker,LV,13,WR,167,154,166,0.08,5.2,,161
,Juwan Johnson,NO,8,TE,145,134,168,0.25,3.4,,162
,Hunter Henry,NE,11,TE,127,149,169,0.13,3.2,,163
,Mike Washington,LV,13,RB,163,215,170,-0.21,6.9,,164
,Ray Davis,BUF,7,RB,177,184,172,-0.07,6.1,,165
,Cam Ward,TEN,9,QB,170,144,175,0.22,4.2,,166
,Denzel Boston,CLE,11,WR,133,173,177,0.02,4,,167
,Jauan Jennings,MIN,6,WR,152,142,179,0.26,3.1,,168
,Emmett Johnson,KC,5,RB,151,212,181,-0.15,5.5,15,169
,Jaydon Blue,DAL,14,RB,233,213,187,-0.12,8.2,,170
,Jacoby Brissett,ARI,14,QB,219,179,188,0.05,5.9,,171
,Deebo Samuel,SF,8,WR,182,158,191,0.21,3.9,,172
,Isaac TeSlaa,DET,6,WR,192,178,192,0.08,5,,173
,Ryan Flournoy,DAL,14,WR,199,162,193,0.19,4.6,,174
,Jerry Jeudy,CLE,11,WR,148,147,195,0.33,1.9,,175
,Calvin Ridley,TEN,9,WR,176,198,196,-0.01,4.8,,176
,James Conner,ARI,14,RB,162,174,199,0.14,3.2,,177
,AJ Barner,SEA,11,TE,201,188,200,0.06,5.1,,178
,Tre' Harris,LAC,7,WR,186,169,203,0.2,4.2,,179
,Jaylin Noel,HOU,8,WR,179,167,204,0.22,3.2,,180
,T.J. Hockenson,MIN,6,TE,141,172,205,0.19,1.9,16,181
,Kenyon Sadiq,NYJ,13,TE,144,200,211,0.06,2.6,,182
,Brandon Aiyuk,SF,8,WR,196,189,213,0.13,4,,183
,Emanuel Wilson,SEA,11,RB,226,182,215,0.18,4.8,,184
,Sean Tucker,TB,10,RB,223,177,218,0.23,4.2,,185
,Chimere Dike,TEN,9,WR,188,180,220,0.22,3.7,,186
,Kimani Vidal,LAC,7,RB,200,171,221,0.29,2.8,,187
,Justice Hill,BAL,13,RB,215,204,222,0.09,4.6,,188
,Pat Bryant,DEN,10,WR,222,181,225,0.24,3.7,,189
,Malik Washington,MIA,6,WR,228,191,227,0.19,4.2,,190
,Kayshon Boutte,NE,11,WR,214,164,231,0.41,2.4,,191
,Terrance Ferguson,LAR,11,TE,173,207,232,0.12,3.4,,192
,Tyreek Hill,FA,-,WR,206,187,234,0.25,3.6,17,193
,Jaylen Wright,MIA,6,RB,221,190,242,0.27,2.8,,194
,Dalton Schultz,HOU,8,TE,172,163,243,0.49,1,,195
,Rashod Bateman,BAL,13,WR,191,195,247,0.27,2.1,,196
,Tank Dell,HOU,8,WR,210,199,256,0.29,1.6,,197
,Darnell Mooney,NYG,8,WR,183,176,260,0.48,1,,198
,Gunnar Helm,TEN,9,TE,204,185,284,0.54,1,,199
,Cooper Kupp,SEA,11,WR,217,197,287,0.46,1,,200
