,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,2,2,1,-0.5,5.6,1,1
,Bijan Robinson,ATL,11,RB,1,1,2,1,5.4,,2
,Ja'Marr Chase,CIN,6,WR,3,3,3,0,5.5,,3
,Puka Nacua,LAR,11,WR,4,4,4,0,5.5,,4
,Jaxon Smith-Njigba,SEA,11,WR,7,5,5,0,5.5,,5
,Christian McCaffrey,SF,8,RB,6,6,6,0,5.5,,6
,Jonathan Taylor,IND,13,RB,5,9,7,-0.22,5.5,,7
,Amon-Ra St. Brown,DET,6,WR,9,7,8,0.14,5.5,,8
,CeeDee Lamb,DAL,14,WR,11,8,9,0.13,5.5,,9
,James Cook,BUF,7,RB,8,11,10,-0.09,5.5,,10
,Justin Jefferson,MIN,6,WR,12,10,11,0.1,5.5,,11
,Ashton Jeanty,LV,13,RB,13,20,12,-0.4,5.8,,12
,Saquon Barkley,PHI,10,RB,16,16,13,-0.19,5.7,2,13
,Drake London,ATL,11,WR,14,12,14,0.17,5.5,,14
,Kenneth Walker,KC,5,RB,20,30,15,-0.5,6.3,,15
,Chase Brown,CIN,6,RB,24,26,16,-0.38,6.2,,16
,Nico Collins,HOU,8,WR,19,18,17,-0.06,5.6,,17
,Brock Bowers,LV,13,TE,21,14,18,0.29,5.5,,18
,Omarion Hampton,LAC,7,RB,17,22,19,-0.14,5.5,,19
,De'Von Achane,MIA,6,RB,15,19,20,0.05,5.3,,20
,Derrick Henry,BAL,13,RB,10,13,21,0.62,4.8,,21
,George Pickens,DAL,14,WR,23,17,22,0.29,5.4,,22
,DeVonta Smith,PHI,10,WR,43,35,23,-0.34,6.7,,23
,A.J. Brown,NE,11,WR,25,15,24,0.6,5.2,,24
,Trey McBride,ARI,14,TE,18,21,25,0.19,5.2,3,25
,Jeremiyah Love,ARI,14,RB,29,49,26,-0.47,6.5,,26
,Josh Allen,BUF,7,QB,26,24,27,0.13,5.4,,27
,Tee Higgins,CIN,6,WR,39,32,28,-0.13,6.1,,28
,Chris Olave,NO,8,WR,31,23,29,0.26,5.4,,29
,Rashee Rice,KC,5,WR,22,25,30,0.2,5,,30
,Jaylen Waddle,DEN,10,WR,48,45,31,-0.31,6.7,,31
,Kyren Williams,LAR,11,RB,28,33,32,-0.03,5.4,,32
,Zay Flowers,BAL,13,WR,33,31,33,0.06,5.4,,33
,Javonte Williams,DAL,14,RB,37,41,34,-0.17,5.9,,34
,Josh Jacobs,GB,11,RB,27,29,35,0.21,5,,35
,Breece Hall,NYJ,13,RB,30,37,36,-0.03,5.3,,36
,Colston Loveland,CHI,10,TE,45,42,37,-0.12,5.7,4,37
,Tetairoa McMillan,CAR,5,WR,32,34,38,0.12,5.1,,38
,Garrett Wilson,NYJ,13,WR,34,51,39,-0.24,5.8,,39
,Emeka Egbuka,TB,10,WR,36,47,40,-0.15,5.6,,40
,Lamar Jackson,BAL,13,QB,38,28,41,0.46,5.1,,41
,Ladd McConkey,LAC,7,WR,47,36,42,0.17,5.5,,42
,Cam Skattebo,NYG,8,RB,44,54,43,-0.2,6,,43
,Terry McLaurin,WAS,7,WR,51,40,44,0.1,5.6,,44
,Travis Etienne,NO,8,RB,40,52,45,-0.13,5.6,,45
,Luther Burden,CHI,10,WR,52,57,46,-0.19,6.1,,46
,D'Andre Swift,CHI,10,RB,54,59,47,-0.2,6.2,,47
