Rank,Player,Team,Bye,POS,ESPN_Rank,Sleeper_Rank
1,Jahmyr Gibbs,DET,6,RB,1,1
2,Bijan Robinson,ATL,11,RB,2,2
3,Ja'Marr Chase,CIN,6,WR,3,3
4,Christian McCaffrey,SF,8,RB,7,5
5,Jonathan Taylor,IND,13,RB,6,6
6,Puka Nacua,LAR,11,WR,4,4
7,James Cook,BUF,7,RB,11,9
8,Jaxon Smith-Njigba,SEA,11,WR,5,7
9,Ashton Jeanty,LV,13,RB,15,13
10,De'Von Achane,MIA,6,RB,10,14
11,Omarion Hampton,LAC,7,RB,23,15
12,Amon-Ra St. Brown,DET,6,WR,8,8
13,Derrick Henry,BAL,13,RB,14,16
14,Saquon Barkley,PHI,10,RB,13,11
15,CeeDee Lamb,DAL,14,WR,9,10
16,Justin Jefferson,MIN,6,WR,12,12
17,Chase Brown,CIN,6,RB,18,17
18,Josh Allen,BUF,7,QB,19,20
19,Trey McBride,ARI,14,TE,17,24
20,Drake London,ATL,11,WR,16,21
21,Jeremiyah Love,ARI,14,RB,22,27
22,Kenneth Walker,KC,5,RB,20,18
23,Kyren Williams,LAR,11,RB,36,26
24,Josh Jacobs,GB,11,RB,33,28
25,Brock Bowers,LV,13,TE,24,22
26,Nico Collins,HOU,8,WR,26,23
27,George Pickens,DAL,14,WR,27,25
28,A.J. Brown,NE,11,WR,25,19
29,Chris Olave,NO,8,WR,28,31
30,Breece Hall,NYJ,13,RB,30,32
31,Javonte Williams,DAL,14,RB,31,33
32,Travis Etienne,NO,8,RB,39,42
33,Lamar Jackson,BAL,13,QB,34,36
34,Rashee Rice,KC,5,WR,21,30
35,Malik Nabers,NYG,8,WR,29,29
36,Bucky Irving,TB,10,RB,50,45
37,Cam Skattebo,NYG,8,RB,40,37
38,Tetairoa McMillan,CAR,5,WR,37,35
39,Luther Burden,CHI,10,WR,65,60
40,Garrett Wilson,NYJ,13,WR,32,44
41,Tee Higgins,CIN,6,WR,51,38
42,Quinshon Judkins,CLE,11,RB,49,48
43,TreVeyon Henderson,NE,11,RB,68,51
44,DeVonta Smith,PHI,10,WR,35,34
45,Zay Flowers,BAL,13,WR,38,41
46,Emeka Egbuka,TB,10,WR,44,40
47,Bhayshul Tuten,JAC,7,RB,61,59
48,David Montgomery,HOU,8,RB,60,46
49,Colston Loveland,CHI,10,TE,41,43
50,Ladd McConkey,LAC,7,WR,45,39
51,DJ Moore,BUF,7,WR,56,55
52,Jaylen Waddle,DEN,10,WR,52,47
53,D'Andre Swift,CHI,10,RB,55,49
54,Drake Maye,NE,11,QB,43,52
55,RJ Harvey,DEN,10,RB,129,81
56,Davante Adams,LAR,11,WR,42,56
