Rank,Player,Team,Bye,POS,ESPN_Rank,Sleeper_Rank
1,Jahmyr Gibbs,DET,6,RB,1,1
2,Bijan Robinson,ATL,11,RB,2,2
3,Ja'Marr Chase,CIN,6,WR,3,3
4,Christian McCaffrey,SF,8,RB,6,5
5,Jonathan Taylor,IND,13,RB,7,7
6,Puka Nacua,LAR,11,WR,4,4
7,James Cook,BUF,7,RB,12,10
8,Jaxon Smith-Njigba,SEA,11,WR,5,6
9,Ashton Jeanty,LV,13,RB,14,14
10,De'Von Achane,MIA,6,RB,10,12
11,Omarion Hampton,LAC,7,RB,26,15
12,Amon-Ra St. Brown,DET,6,WR,8,8
13,Derrick Henry,BAL,13,RB,17,21
14,Saquon Barkley,PHI,10,RB,13,13
15,CeeDee Lamb,DAL,14,WR,9,9
16,Justin Jefferson,MIN,6,WR,11,11
17,Chase Brown,CIN,6,RB,22,17
18,Josh Allen,BUF,7,QB,19,24
19,Trey McBride,ARI,14,TE,18,20
20,Drake London,ATL,11,WR,15,16
21,Jeremiyah Love,ARI,14,RB,16,26
22,Kenneth Walker,KC,5,RB,21,19
23,Kyren Williams,LAR,11,RB,38,29
24,Josh Jacobs,GB,11,RB,30,31
25,Brock Bowers,LV,13,TE,23,22
26,Nico Collins,HOU,8,WR,25,25
27,George Pickens,DAL,14,WR,27,23
28,A.J. Brown,NE,11,WR,24,18
29,Chris Olave,NO,8,WR,29,30
30,Breece Hall,NYJ,13,RB,28,32
31,Javonte Williams,DAL,14,RB,33,36
32,Travis Etienne,NO,8,RB,44,44
33,Lamar Jackson,BAL,13,QB,34,33
34,Rashee Rice,KC,5,WR,20,27
35,Malik Nabers,NYG,8,WR,31,28
36,Bucky Irving,TB,10,RB,50,39
37,Cam Skattebo,NYG,8,RB,39,43
38,Tetairoa McMillan,CAR,5,WR,37,35
39,Luther Burden,CHI,10,WR,66,50
40,Garrett Wilson,NYJ,13,WR,32,45
41,Tee Higgins,CIN,6,WR,51,34
42,Quinshon Judkins,CLE,11,RB,49,53
43,TreVeyon Henderson,NE,11,RB,67,52
44,DeVonta Smith,PHI,10,WR,35,37
45,Zay Flowers,BAL,13,WR,36,41
46,Emeka Egbuka,TB,10,WR,41,40
47,Bhayshul Tuten,JAC,7,RB,64,61
48,David Montgomery,HOU,8,RB,61,51
49,Colston Loveland,CHI,10,TE,40,42
50,Ladd McConkey,LAC,7,WR,48,38
51,DJ Moore,BUF,7,WR,57,58
52,Jaylen Waddle,DEN,10,WR,53,47
53,D'Andre Swift,CHI,10,RB,59,55
54,Drake Maye,NE,11,QB,43,48
55,RJ Harvey,DEN,10,RB,132,79
56,Davante Adams,LAR,11,WR,42,49
