team,week,player,position,injury,mon,tue,wed,thu,fri,sat,sun,practice_days,game_status,page_team,source,source_kind,published_at
ARI,2,Garrett Williams,CB,Achilles,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Max Melton,CB,Ankle,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Roy Lopez,DL,Groin,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Cody Simon,ILB,Shoulder,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Jack Gibbens,ILB,Shoulder,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Isaac Seumalo,OL,Shoulder,"","",DNP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Isaiah Adams,OL,Knee,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Josh Sweat,OLB,NIR-Rest,"","",DNP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Budda Baker,S,NIR-Rest,"","",DNP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Dadrion Taylor-Demerson,S,Ribs,"","",LP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ARI,2,Trey McBride,TE,NIR-Rest/Back,"","",DNP,"","","","","wed,thu,fri","",ARI,https://www.azcardinals.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,A.J. Terrell,CB,Shoulder,"","",DNP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,Billy Bowman Jr.,CB,Achilles,"","",FP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,Chris Lindstrom,G,Concussion,"","",DNP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,Cooper Rush,QB,Back,"","",FP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,Michael Penix Jr.,QB,Knee,"","",FP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
ATL,2,Tua Tagovailoa,QB,Oblique,"","",DNP,"","","","","wed,thu,fri","",ATL,https://www.atlantafalcons.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,T.J. Tampa,CB,Knee,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Calais Campbell,DL,NIR - Rest,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Nnamdi Madubuike,DL,Neck,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,John Simpson,G,Groin,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Teddye Buchanan,ILB,Knee,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Trey Hendrickson,OLB,Finger,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Jaylinn Hawkins,S,Chest,"","",FP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Keondre Jackson,S,Shoulder,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Ronnie Stanley,T,Toe,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Devontez Walker,WR,Groin,"","",FP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BAL,2,Zay Flowers,WR,Hamstring,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,Jordan Hancock,DB,Quad,FP,FP,FP,"","","","","mon,tue,wed","",BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,T.J. Sanders,DL,Knee/Illness,LP,DNP,LP,"","","","","mon,tue,wed",QUESTIONABLE,BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,Terrel Bernard,ILB,Calf,LP,LP,LP,"","","","","mon,tue,wed","",BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,Bradley Chubb,OLB,Thumb,FP,FP,"","","","","","mon,tue,wed","",BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,Ty Johnson,RB,Hamstring,LP,LP,LP,"","","","","mon,tue,wed",QUESTIONABLE,BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
BUF,2,Cole Bishop,S,Knee/Groin,FP,LP,LP,"","","","","mon,tue,wed",QUESTIONABLE,BUF,https://www.buffalobills.com/team/injury-report/week/REG-2,club_grid,""
CAR,2,Bobby Brown III,DT,Back,"","",DNP,"","","","","wed,thu,fri","",CAR,https://www.panthers.com/team/injury-report/week/REG-2,club_grid,""
CAR,2,Patrick Jones II,OLB,Back,"","",DNP,"","","","","wed,thu,fri","",CAR,https://www.panthers.com/team/injury-report/week/REG-2,club_grid,""
CAR,2,Darren Waller,TE,Not injury-related/rest,"","",DNP,"","","","","wed,thu,fri","",CAR,https://www.panthers.com/team/injury-report/week/REG-2,club_grid,""
CAR,2,Jalen Coker,WR,Ankle,"","",LP,"","","","","wed,thu,fri","",CAR,https://www.panthers.com/team/injury-report/week/REG-2,club_grid,""
CHI,2,Malik Muhammad,DB,Ankle,"","",LP,"","","","","wed,thu,fri","",CHI,https://www.chicagobears.com/team/injury-report/week/REG-2,club_grid,""
CHI,2,Xavier Woods,DB,Groin,"","",LP,"","","","","wed,thu,fri","",CHI,https://www.chicagobears.com/team/injury-report/week/REG-2,club_grid,""
