team,week,player,position,injury,mon,tue,wed,thu,fri,sat,sun,practice_days,game_status,page_team,source,source_kind,published_at
BAL,3,Calais Campbell,DL,NIR - Rest,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Nnamdi Madubuike,DL,Neck,"","",FP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,John Simpson,G,Groin,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Teddye Buchanan,ILB,Knee,"","",FP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Trey Hendrickson,OLB,Finger,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Zion Young,OLB,Quadricep,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Malaki Starks,S,Hamstring,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Ronnie Stanley,T,Toe,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Chris Moore,WR,Ankle,"","",LP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
BAL,3,Zay Flowers,WR,Hamstring,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
DAL,3,Cobie Durant,CB,Hamstring,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
DAL,3,P.J. Locke,DB,Foot,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
DAL,3,Malik Hooker,FS,Forearm,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
DAL,3,DeMarvion Overshown,LB,Hamstring,"","",DNP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
DAL,3,James Houston,LB,Shoulder,"","",FP,"","","","","wed,thu,fri","",BAL,https://www.baltimoreravens.com/team/injury-report/week/REG-3,club_grid,""
