dt,team,player_name,gsis_id,espn_id,pos_abb,pos_rank
2026-09-10T12:01:46Z,ARI,Jacoby Brissett,00-0033119,2578570,QB,1
2026-09-10T12:01:46Z,ARI,Gardner Minshew II,00-0035289,4038524,QB,2
2026-09-10T12:01:46Z,ARI,Carson Beck,00-0041561,4430841,QB,3
2026-09-10T12:01:46Z,ARI,Jeremiyah Love,00-0041027,4870808,RB,1
2026-09-10T12:01:46Z,ARI,Tyler Allgeier,00-0037263,4373626,RB,2
2026-09-10T12:01:46Z,ARI,Bam Knight,00-0037157,4427728,RB,3
2026-09-10T12:01:46Z,ARI,James Conner,00-0033553,3045147,RB,4
2026-09-10T12:01:46Z,ARI,Trey Benson,00-0039921,4429275,RB,5
2026-09-10T12:01:46Z,ARI,Trey McBride,00-0037744,4361307,TE,1
2026-09-10T12:01:46Z,ARI,Elijah Higgins,00-0039041,4426844,TE,2
2026-09-10T12:01:46Z,ARI,Hunter Long,00-0037004,4239944,TE,3
2026-09-10T12:01:46Z,ARI,Tip Reiman,00-0039737,4696700,TE,4
2026-09-10T12:01:46Z,ARI,Jameson Geers,00-0041366,4588298,TE,5
2026-09-10T12:01:46Z,ARI,Marvin Harrison Jr.,00-0039849,4432708,WR,1
2026-09-10T12:01:46Z,ARI,Michael Wilson,00-0038559,4360761,WR,2
2026-09-10T12:01:46Z,ARI,Kendrick Bourne,00-0033307,3045523,WR,3
2026-09-10T12:01:46Z,ARI,Jalen Brooks,00-0038640,4692835,WR,4
2026-09-10T12:01:46Z,ARI,Devin Duvernay,00-0036331,4039050,WR,5
2026-09-10T12:01:46Z,ARI,Reggie Virgil,00-0041070,4869132,WR,6
2026-09-10T12:01:46Z,ARI,Simi Fehoko,00-0036646,4360739,WR,7
2026-09-10T12:01:46Z,ATL,Tua Tagovailoa,00-0036212,4241479,QB,1
2026-09-10T12:01:46Z,ATL,Michael Penix Jr.,00-0039917,4360423,QB,2
2026-09-10T12:01:46Z,ATL,Cooper Rush,00-0033662,2972515,QB,3
2026-09-10T12:01:46Z,ATL,Jack Strand,00-0041194,5344782,QB,4
2026-09-10T12:01:46Z,ATL,Bijan Robinson,00-0038542,4430807,RB,1
2026-09-10T12:01:46Z,ATL,Brian Robinson Jr.,00-0037746,4241474,RB,2
2026-09-10T12:01:46Z,ATL,Trey Sermon,00-0036984,4241401,RB,3
