week,team,gsis_id,full_name,position,report_status,report_primary_injury,practice_status,practice_primary_injury
1,ARI,00-0034381,Josh Sweat,LB,,,Did Not Participate In Practice,Not injury related - resting player
1,ARI,00-0035859,Blake Gillikin,P,,,Full Participation in Practice,Groin
1,ARI,00-0039007,Garrett Williams,CB,,,Limited Participation in Practice,Achilles
1,ARI,00-0039808,Isaiah Adams,G,,,Did Not Participate In Practice,Knee
1,ARI,00-0039864,Dadrion Taylor-Demerson,S,,,Limited Participation in Practice,Ribs
1,ARI,00-0040751,Will Johnson,CB,,,Full Participation in Practice,Ankle
1,ARI,00-0041027,Jeremiyah Love,RB,,,Limited Participation in Practice,Ankle
1,ATL,00-0031576,Za'Darius Smith,DE,,,Limited Participation in Practice,Shoulder
1,ATL,00-0036354,Kyle Hinton,G,,,Limited Participation in Practice,Knee
1,ATL,00-0039859,Brandon Dorlus,DT,,,Limited Participation in Practice,Groin
1,ATL,00-0039917,Michael Penix Jr.,QB,,,Full Participation in Practice,Knee
1,ATL,00-0040156,Billy Bowman Jr.,CB,,,Limited Participation in Practice,Achilles
1,ATL,00-0041044,Zachariah Branch,WR,,,Limited Participation in Practice,Hamstring
1,BAL,00-0036130,Nnamdi Madubuike,DT,,,Limited Participation in Practice,Neck
1,BAL,00-0039064,Zay Flowers,WR,,,Limited Participation in Practice,Hamstring
1,BAL,00-0039792,Devontez Walker,WR,,,Limited Participation in Practice,Groin
1,BAL,00-0040069,Teddye Buchanan,LB,,,Limited Participation in Practice,Knee
1,BUF,00-0035537,Ty Johnson,RB,,,Did Not Participate In Practice,Hamstring
1,BUF,00-0040192,Jordan Hancock,CB,,,Did Not Participate In Practice,Quadricep
1,BUF,00-0040724,T.J. Sanders,DE,,,Limited Participation in Practice,Knee
1,CAR,00-0036903,Bobby Brown III,DT,,,Limited Participation in Practice,Back
1,CAR,00-0037007,Patrick Jones II,LB,,,Did Not Participate In Practice,Back
1,CAR,00-0039344,Jonathon Brooks,RB,,,Limited Participation in Practice,Groin
1,CHI,00-0038416,Tyson Bagent,QB,,,Did Not Participate In Practice,Back
1,CHI,00-0039919,Rome Odunze,WR,,,Limited Participation in Practice,Calf
1,CHI,00-0040740,Ozzy Trapilo,T,,,Limited Participation in Practice,Knee
1,CIN,00-0036410,Tee Higgins,WR,,,Full Participation in Practice,Foot
1,CIN,00-0036900,Ja'Marr Chase,WR,,,Full Participation in Practice,Knee
1,CIN,00-0040756,Shemar Stewart,DE,,,Full Participation in Practice,Knee
1,CLE,00-0033131,Maliek Collins,DT,,,Limited Participation in Practice,Quadricep
1,CLE,00-0036953,Teven Jenkins,G,,,Limited Participation in Practice,Back
1,CLE,00-0040579,Carson Schwesinger,LB,,,Full Participation in Practice,Shoulder
1,CLE,00-0041073,Parker Brailsford,C,,,Limited Participation in Practice,Thumb
1,DAL,00-0033093,Jonathan Bullard,DT,,,Full Participation in Practice,Groin
1,DAL,00-0040017,Ajani Cornelius,T,,,Limited Participation in Practice,Knee
1,DET,00-0038660,Trevor Nowaske,LB,,,Full Participation in Practice,Knee
