player_id,games,team,name,pos,last_week,ep_std,pts_std,ewma_ep_std,last_ep_std,last_pts_std,ep_half,pts_half,ewma_ep_half,last_ep_half,last_pts_half,ep_ppr,pts_ppr,ewma_ep_ppr,last_ep_ppr,last_pts_ppr,ep_std6,pts_std6,ewma_ep_std6,last_ep_std6,last_pts_std6,ep_half6,pts_half6,ewma_ep_half6,last_ep_half6,last_pts_half6,ep_ppr6,pts_ppr6,ewma_ep_ppr6,last_ep_ppr6,last_pts_ppr6,rush_att_pg,tgt_pg,rush_rz_pg,tgt_rz_pg,tgt_ez_pg,air_yds_pg,pass_att_pg,gap_std,gap_half,gap_ppr,gap_std6,gap_half6,gap_ppr6
00-0039139,1,DET,Jahmyr Gibbs,RB,1,26.51727087,28.60000000,17.69632177,26.51727087,28.60000000,28.53982664,31.10000000,19.80189617,28.53982664,31.10000000,30.56238241,33.60000000,21.90747057,30.56238241,33.60000000,26.53042449,28.60000000,17.70247922,26.53042449,28.60000000,28.55298026,31.10000000,19.80805363,28.55298026,31.10000000,30.57553603,33.60000000,21.91362803,30.57553603,33.60000000,29.00000000,5.00000000,8.00000000,0.00000000,0.00000000,-4.00000000,0.00000000,2.08272913,2.56017336,3.03761759,2.06957551,2.54701974,3.02446397
00-0039918,1,CHI,Caleb Williams,QB,1,24.94261854,37.26000000,19.67541895,24.94261854,37.26000000,24.95143228,37.26000000,19.68147505,24.95143228,37.26000000,24.96024603,37.26000000,19.68753115,24.96024603,37.26000000,27.71936808,41.26000000,22.53196518,27.71936808,41.26000000,27.72818183,41.26000000,22.53802128,27.72818183,41.26000000,27.73699557,41.26000000,22.54407739,27.73699557,41.26000000,10.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,29.00000000,12.31738146,12.30856772,12.29975397,13.54063192,13.53181817,13.52300443
00-0034857,1,BUF,Josh Allen,QB,1,20.40992829,35.66000000,19.27054742,20.40992829,35.66000000,20.41403314,35.66000000,19.27533040,20.41403314,35.66000000,20.41813799,35.66000000,19.28011337,20.41813799,35.66000000,23.67106205,39.66000000,22.02380266,23.67106205,39.66000000,23.67516690,39.66000000,22.02858563,23.67516690,39.66000000,23.67927174,39.66000000,22.03336860,23.67927174,39.66000000,5.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,30.00000000,15.25007171,15.24596686,15.24186201,15.98893795,15.98483310,15.98072826
00-0033280,1,SF,Christian McCaffrey,RB,1,10.14377549,8.80000000,15.99064973,10.14377549,8.80000000,13.32608688,11.30000000,18.92590831,13.32608688,11.30000000,16.50839826,13.80000000,21.86116688,16.50839826,13.80000000,10.14307228,8.80000000,15.99469511,10.14307228,8.80000000,13.32538366,11.30000000,18.92995369,13.32538366,11.30000000,16.50769505,13.80000000,21.86521227,16.50769505,13.80000000,10.00000000,8.00000000,2.00000000,0.00000000,0.00000000,-3.00000000,0.00000000,-1.34377549,-2.02608688,-2.70839826,-1.34307228,-2.02538366,-2.70769505
00-0039910,1,WAS,Jayden Daniels,QB,1,23.16111940,17.66000000,18.65226930,23.16111940,17.66000000,23.16555328,17.66000000,18.65748828,23.16555328,17.66000000,23.16998715,17.66000000,18.66270725,23.16998715,17.66000000,28.07722652,21.66000000,21.72365914,28.07722652,21.66000000,28.08166040,21.66000000,21.72887812,28.08166040,21.66000000,28.08609427,21.66000000,21.73409709,28.08609427,21.66000000,5.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,35.00000000,-5.50111940,-5.50555328,-5.50998715,-6.41722652,-6.42166040,-6.42609427
00-0040743,1,NO,Tyler Shough,QB,1,26.79138484,23.20000000,18.40625393,26.79138484,23.20000000,26.79728989,23.20000000,18.41047881,26.79728989,23.20000000,26.80319494,23.20000000,18.41470368,26.80319494,23.20000000,32.17573594,29.20000000,21.50563773,32.17573594,29.20000000,32.18164099,29.20000000,21.50986260,32.18164099,29.20000000,32.18754605,29.20000000,21.51408747,32.18754605,29.20000000,4.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,56.00000000,-3.59138484,-3.59728989,-3.60319494,-2.97573594,-2.98164099,-2.98754605
00-0038542,1,ATL,Bijan Robinson,RB,1,15.60606993,23.30000000,14.94445413,15.60606993,23.30000000,19.75569644,27.30000000,17.90452159,19.75569644,27.30000000,23.90532296,31.30000000,20.86458905,23.90532296,31.30000000,15.61177165,23.30000000,14.94887016,15.61177165,23.30000000,19.76139816,27.30000000,17.90893762,19.76139816,27.30000000,23.91102468,31.30000000,20.86900508,23.91102468,31.30000000,21.00000000,10.00000000,0.00000000,0.00000000,0.00000000,-30.00000000,0.00000000,7.69393007,7.54430356,7.39467704,7.68822835,7.53860184,7.38897532
00-0037834,1,SF,Brock Purdy,QB,1,17.95297414,21.10000000,17.71509928,17.95297414,21.10000000,17.96396597,21.10000000,17.72307583,17.96396597,21.10000000,17.97495780,21.10000000,17.73105237,17.97495780,21.10000000,21.54249757,27.10000000,21.23410615,21.54249757,27.10000000,21.55348940,27.10000000,21.24208270,21.55348940,27.10000000,21.56448123,27.10000000,21.25005924,21.56448123,27.10000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,34.00000000,3.14702586,3.13603403,3.12504220,5.55750243,5.54651060,5.53551877
00-0036223,1,IND,Jonathan Taylor,RB,1,17.65146646,22.10000000,16.17214986,17.65146646,22.10000000,19.24398438,23.60000000,17.59160643,19.24398438,23.60000000,20.83650230,25.10000000,19.01106300,20.83650230,25.10000000,17.66030803,22.10000000,16.18044204,17.66030803,22.10000000,19.25282595,23.60000000,17.59989861,19.25282595,23.60000000,20.84534388,25.10000000,19.01935518,20.84534388,25.10000000,19.00000000,4.00000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.44853354,4.35601562,4.26349770,4.43969197,4.34717405,4.25465612
00-0036355,1,LAC,Justin Herbert,QB,1,18.04728674,13.26000000,17.31331693,18.04728674,13.26000000,18.05237583,13.26000000,17.31895803,18.05237583,13.26000000,18.05746491,13.26000000,17.32459912,18.05746491,13.26000000,20.60375028,15.26000000,20.04579979,20.60375028,15.26000000,20.60883936,15.26000000,20.05144088,20.60883936,15.26000000,20.61392845,15.26000000,20.05708198,20.61392845,15.26000000,5.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,27.00000000,-4.78728674,-4.79237583,-4.79746491,-5.34375028,-5.34883936,-5.35392845
