season,week,game_id,team,plays,dropbacks,rushes,attempts,proe,epa_pass,epa_rush,sr_pass,sr_rush,sr_first,cpoe,expl_pass,expl_rush,sack_rate,aypa,deep_rate,proe_n,epa_pass_n,epa_rush_n,sr_pass_n,sr_rush_n,sr_first_n,cpoe_n,expl_pass_n,expl_rush_n,sack_rate_n,aypa_n,deep_rate_n,proe_pctl,proe_rk,epa_pass_pctl,epa_pass_rk,epa_rush_pctl,epa_rush_rk,sr_pass_pctl,sr_pass_rk,sr_rush_pctl,sr_rush_rk,sr_first_pctl,sr_first_rk,cpoe_pctl,cpoe_rk,expl_pass_pctl,expl_pass_rk,expl_rush_pctl,expl_rush_rk,sack_rate_pctl,sack_rate_rk,aypa_pctl,aypa_rk,deep_rate_pctl,deep_rate_rk,plays_pctl,plays_rk
2026,1,2026_01_ARI_LAC,ARI,72,39,30,37,-0.489360,0.289103,-0.044305,0.564103,0.400000,0.312500,4.605903,0.051282,0.066667,0.025641,7.648649,0.108108,72,39,30,39,30,32,37,39,30,39,37,37,54,13,80,9,58,11,87,5,51,18,16,30,69,12,29,22,34,22,20,7,50,18,49,17,81,5
2026,1,2026_01_ATL_PIT,ATL,60,26,32,22,-17.060789,-0.606329,-0.112593,0.307692,0.437500,0.444444,-10.418013,0.115385,0.093750,0.153846,3.500000,0.045455,60,26,32,26,32,27,19,26,32,26,22,22,4,32,2,32,44,20,8,32,65,11,60,14,11,31,76,9,50,15,96,31,2,31,13,30,30,19
2026,1,2026_01_BAL_IND,BAL,64,29,32,24,-5.824180,0.459461,0.101499,0.551724,0.437500,0.482759,4.801740,0.103448,0.125000,0.068966,11.250000,0.250000,64,29,32,29,32,29,24,29,32,29,24,24,28,27,92,5,83,6,84,6,65,11,72,9,70,11,70,11,67,7,59,18,95,3,97,3,47,15
2026,1,2026_01_BUF_HOU,BUF,55,32,19,29,3.658793,0.558204,-0.262847,0.468750,0.315789,0.500000,8.141485,0.187500,0.105263,0.062500,13.206897,0.275862,55,32,19,32,19,28,28,32,19,32,29,29,75,6,96,3,20,28,55,15,24,25,76,6,82,7,97,1,58,12,53,17,99,1,99,2,14,23
2026,1,2026_01_CHI_CAR,CAR,68,43,22,38,3.079826,0.311824,-0.106231,0.488372,0.454545,0.472222,4.170121,0.139535,0.090909,0.046512,9.631579,0.157895,68,43,22,43,22,36,34,43,22,43,38,38,73,7,82,8,45,19,65,12,71,10,70,11,67,13,88,5,50,16,39,11,82,10,77,12,65,8
2026,1,2026_01_CHI_CAR,CHI,75,38,35,29,-1.707732,0.537827,0.142850,0.631579,0.400000,0.441176,16.580338,0.131579,0.114286,0.052632,11.000000,0.172414,75,38,35,38,35,34,26,38,35,38,29,29,48,14,95,4,88,2,97,3,51,18,59,15,98,2,84,7,62,11,45,13,94,5,82,9,89,4
2026,1,2026_01_TB_CIN,CIN,63,37,25,35,5.716712,-0.036066,0.049509,0.513514,0.400000,0.548387,6.351733,0.081081,0.160000,0.027027,6.457143,0.085714,63,37,25,37,25,31,34,37,25,37,35,35,83,3,40,21,74,8,72,8,51,18,91,2,75,9,55,15,83,5,23,9,28,24,35,20,42,17
2026,1,2026_01_CLE_JAX,CLE,51,30,19,22,-9.681628,-0.225371,-0.119375,0.466667,0.421053,0.521739,10.320996,0.100000,0.052632,0.166667,10.363636,0.181818,51,30,19,30,19,23,22,30,19,30,22,22,15,30,20,26,43,21,54,17,59,14,86,4,87,6,67,12,26,28,97,32,89,7,86,5,6,29
2026,1,2026_01_DAL_NYG,DAL,58,36,17,34,2.288900,0.314373,-0.099851,0.472222,0.411765,0.434783,7.729867,0.000000,0.000000,0.000000,9.088235,0.176471,58,36,17,36,17,23,30,36,17,36,34,34,69,9,82,7,46,18,57,14,55,16,56,16,81,8,0,28,0,32,0,1,75,13,84,6,22,21
2026,1,2026_01_DEN_KC,DEN,50,33,15,28,1.740861,-0.442936,-0.228330,0.393939,0.266667,0.380952,-7.779541,0.000000,0.066667,0.121212,3.285714,0.035714,50,33,15,33,15,21,27,33,15,33,28,28,67,10,6,31,25,26,28,25,12,29,36,24,17,28,0,28,34,22,89,29,1,32,10,31,5,30
2026,1,2026_01_NO_DET,DET,77,41,36,39,-2.400980,0.012184,-0.072044,0.414634,0.500000,0.394737,-2.909687,0.024390,0.194444,0.024390,5.307692,0.051282,77,41,36,41,36,38,39,41,36,41,39,39,43,15,46,18,52,14,35,21,81,3,41,22,35,22,9,27,92,3,18,6,11,27,16,29,93,3
2026,1,2026_01_GB_MIN,GB,68,46,22,42,-3.028371,-0.058775,-0.437578,0.413043,0.318182,0.344828,-9.654054,0.152174,0.090909,0.086957,11.166667,0.166667,68,46,22,46,22,29,40,46,22,46,42,42,40,17,37,22,7,31,34,22,24,24,23,26,12,30,91,4,50,16,72,25,94,4,79,10,65,8
2026,1,2026_01_BUF_HOU,HOU,79,42,31,38,-4.761016,0.097404,0.030300,0.500000,0.419355,0.468750,3.161677,0.095238,0.096774,0.071429,8.473684,0.105263,79,42,31,42,31,32,37,42,31,42,38,38,32,23,58,14,71,9,66,9,58,15,68,12,63,14,64,14,52,13,60,19,66,16,47,18,95,2
2026,1,2026_01_BAL_IND,IND,54,34,19,31,-4.072521,-0.440842,0.115952,0.382353,0.473684,0.500000,-5.060458,0.058824,0.263158,0.058824,6.483871,0.064516,54,34,19,34,19,26,29,34,19,34,31,31,36,19,6,30,85,5,23,27,77,7,76,6,25,26,34,19,99,1,50,14,29,23,23,27,11,26
2026,1,2026_01_CLE_JAX,JAX,54,24,29,23,-4.287696,0.792561,-0.053020,0.708333,0.517241,0.592593,22.325370,0.166667,0.172414,0.041667,10.521739,0.173913,54,24,29,24,29,27,21,24,29,24,23,23,35,20,100,1,56,13,100,1,87,2,96,1,100,1,94,2,87,4,35,10,91,6,83,8,11,26
2026,1,2026_01_DEN_KC,KC,66,33,32,27,0.378540,0.026342,0.258541,0.424242,0.406250,0.407407,-11.918101,0.060606,0.125000,0.060606,4.925926,0.074074,66,33,32,33,32,27,25,33,32,33,27,27,59,11,48,17,96,1,38,19,53,17,46,20,8,32,37,18,67,7,53,15,8,29,28,24,56,10
2026,1,2026_01_SF_LA,LA,60,29,27,28,-14.808330,-0.351585,-0.171253,0.379310,0.481481,0.521739,-4.742071,0.068966,0.074074,0.000000,9.107143,0.142857,60,29,27,29,27,23,27,29,27,29,28,28,6,31,11,29,33,24,23,28,80,6,86,4,26,24,43,17,39,20,0,1,76,12,71,13,30,19
2026,1,2026_01_ARI_LAC,LAC,55,35,16,27,0.253834,-0.190709,-0.360444,0.400000,0.375000,0.461538,-6.209376,0.057143,0.062500,0.085714,10.111111,0.074074,55,35,16,35,16,26,27,35,16,35,27,27,59,12,23,24,11,29,29,23,42,22,66,13,21,27,33,20,32,25,72,24,87,8,28,24,14,23
2026,1,2026_01_MIA_LV,LV,65,31,33,30,-5.593265,0.007313,-0.082795,0.419355,0.424242,0.392857,0.708901,0.032258,0.121212,0.000000,7.533333,0.133333,65,31,33,31,33,28,29,31,33,31,30,30,29,26,46,19,50,16,36,20,61,13,41,23,52,19,15,24,66,9,0,1,49,19,66,14,51,12
2026,1,2026_01_MIA_LV,MIA,55,37,15,27,-2.666431,-0.205909,-0.398749,0.378378,0.200000,0.200000,-8.850247,0.135135,0.066667,0.135135,11.444444,0.296296,55,37,15,37,15,25,27,37,15,37,27,27,42,16,22,25,9,30,22,29,5,32,2,31,14,29,86,6,34,22,93,30,95,2,100,1,14,23
2026,1,2026_01_GB_MIN,MIN,61,30,28,24,-7.960034,0.042591,-0.124536,0.366667,0.321429,0.400000,-4.892612,0.033333,0.035714,0.100000,7.333333,0.083333,61,30,28,30,28,25,23,30,28,30,24,24,20,28,51,16,42,22,19,30,25,23,42,21,26,25,16,23,16,31,79,27,45,20,34,21,34,18
2026,1,2026_01_NE_SEA,NE,71,42,27,33,-3.446510,0.065461,-0.450513,0.523810,0.222222,0.344828,5.970451,0.000000,0.037037,0.071429,6.696970,0.121212,71,42,27,42,27,29,31,42,27,42,33,33,38,18,54,15,6,32,76,7,7,31,23,26,74,10,0,28,17,30,60,19,32,22,59,15,77,6
2026,1,2026_01_NO_DET,NO,88,62,23,55,4.094672,0.000569,-0.075064,0.467742,0.304348,0.315789,-1.205604,0.096774,0.086957,0.080645,8.763636,0.109091,88,62,23,62,23,38,52,62,23,62,55,55,77,5,45,20,51,15,55,16,19,26,16,29,43,21,65,13,45,18,68,23,70,15,50,16,100,1
2026,1,2026_01_DAL_NYG,NYG,66,33,33,29,-4.335327,0.667046,0.058697,0.696970,0.484848,0.333333,13.383558,0.000000,0.121212,0.060606,8.448276,0.068966,66,33,33,33,33,30,29,33,33,33,29,29,34,21,98,2,76,7,100,2,81,4,22,28,94,4,0,28,66,9,53,15,66,17,25,26,56,10
2026,1,2026_01_NYJ_TEN,NYJ,64,26,36,24,-8.887297,0.350126,-0.037759,0.500000,0.472222,0.413793,12.836021,0.153846,0.083333,0.000000,7.000000,0.083333,64,26,36,26,36,29,23,26,36,26,24,24,17,29,86,6,59,10,66,9,76,8,48,18,93,5,92,3,45,19,0,1,37,21,34,21,47,15
2026,1,2026_01_WAS_PHI,PHI,53,33,19,25,-5.450720,0.165822,-0.166570,0.393939,0.263158,0.190476,0.867941,0.121212,0.052632,0.090909,9.000000,0.160000,53,33,19,33,19,21,22,33,19,33,25,25,29,24,66,13,34,23,28,25,12,30,2,32,52,17,80,8,26,28,75,26,74,14,77,11,9,28
2026,1,2026_01_ATL_PIT,PIT,65,43,18,41,11.207779,-0.323946,-0.252206,0.348837,0.277778,0.346154,1.234483,0.069767,0.055556,0.046512,9.926829,0.219512,65,43,18,43,18,26,37,43,18,43,41,41,96,1,12,28,22,27,15,31,14,28,24,25,54,16,45,16,28,27,39,11,85,9,94,4,51,12
2026,1,2026_01_NE_SEA,SEA,49,27,21,24,-5.527335,0.226015,-0.194607,0.481481,0.285714,0.523810,2.363516,0.111111,0.095238,0.074074,6.416667,0.083333,49,27,21,27,21,21,24,27,21,27,24,24,29,25,73,10,30,25,61,13,16,27,86,3,59,15,75,10,52,14,64,21,27,25,34,21,4,32
2026,1,2026_01_SF_LA,SF,65,36,28,34,5.117313,0.207699,0.141570,0.583333,0.535714,0.413793,0.771556,0.027778,0.142857,0.000000,4.382353,0.058824,65,36,28,36,28,29,34,36,28,36,34,34,81,4,71,11,87,3,91,4,91,1,48,18,52,18,12,25,78,6,0,1,5,30,19,28,51,12
2026,1,2026_01_TB_CIN,TB,56,36,17,28,2.648270,-0.292482,0.118314,0.500000,0.470588,0.500000,14.020462,0.055556,0.058824,0.111111,5.107143,0.035714,56,36,17,36,17,28,27,36,17,36,28,28,70,8,15,27,85,4,66,9,76,9,76,6,95,3,32,21,30,26,86,28,9,28,10,31,17,22
2026,1,2026_01_NYJ_TEN,TEN,50,39,10,32,5.779527,-0.124417,-0.096028,0.461538,0.400000,0.473684,0.389746,0.000000,0.200000,0.076923,5.937500,0.093750,50,39,10,39,10,19,28,39,10,39,32,32,83,2,30,23,47,17,53,18,51,18,70,10,50,20,0,28,93,2,66,22,20,26,39,19,5,30
2026,1,2026_01_WAS_PHI,WAS,69,38,29,34,-4.727026,0.167565,-0.046465,0.394737,0.482759,0.433333,-3.445303,0.026316,0.068966,0.026316,9.323529,0.176471,69,38,29,38,29,30,29,38,29,38,34,34,32,22,67,12,57,12,28,24,80,5,56,17,32,23,10,26,35,21,20,8,78,11,84,6,69,7
