player,team,pos,espn,sleeper_std,sleeper_half,sleeper_ppr,ffc_std,ffc_half,ffc_ppr
Jahmyr Gibbs,DET,RB,1,2,1,1,1.3,1.5,1.5
Bijan Robinson,ATL,RB,2,1,2,2,2.3,2.3,2.2
Ja'Marr Chase,CIN,WR,3,6,3,3,4.6,3.9,3.8
Christian McCaffrey,SF,RB,7,4,5,6,6.7,6.6,6.6
Jonathan Taylor,IND,RB,6,3,6,7,4.2,5.7,7.5
Puka Nacua,LAR,WR,4,9,4,4,4.0,3.1,3.1
James Cook,BUF,RB,11,5,9,10,8.5,9.3,12.6
Jaxon Smith-Njigba,SEA,WR,5,10,7,5,6.2,5.1,5.5
Ashton Jeanty,LV,RB,15,11,13,14,22.1,21.9,18.3
De'Von Achane,MIA,RB,10,8,14,12,11.5,11.7,10.5
Omarion Hampton,LAC,RB,23,12,15,15,24.1,23.8,23.1
Amon-Ra St. Brown,DET,WR,8,18,8,8,8.6,8.0,6.4
Derrick Henry,BAL,RB,14,7,16,20,7.6,9.8,17.3
Saquon Barkley,PHI,RB,13,14,11,13,12.6,17.1,19.3
CeeDee Lamb,DAL,WR,9,15,10,9,14.4,12.5,10.6
Justin Jefferson,MIN,WR,12,20,12,11,16.3,14.2,11.8
Chase Brown,CIN,RB,18,19,17,16,15.9,14.9,13.3
Josh Allen,BUF,QB,19,16,20,21,27.2,33.2,33.6
Trey McBride,ARI,TE,17,23,24,22,49.6,38.4,29.1
Drake London,ATL,WR,16,21,21,17,13.0,12.1,10.6
Jeremiyah Love,ARI,RB,22,17,27,26,31.7,29.4,27.6
Kenneth Walker,KC,RB,20,24,18,19,20.5,20.3,21.5
Kyren Williams,LAR,RB,36,13,26,29,22.6,27.6,31.9
Josh Jacobs,GB,RB,33,22,28,31,20.4,26.0,31.3
Brock Bowers,LV,TE,24,29,22,24,49.9,43.0,35.1
Nico Collins,HOU,WR,26,26,23,25,20.2,20.0,20.5
George Pickens,DAL,WR,27,28,25,23,19.9,19.6,20.8
A.J. Brown,NE,WR,25,34,19,18,20.5,19.1,17.6
Chris Olave,NO,WR,28,31,31,30,25.6,22.7,19.6
