year,pid,name,pos,dir,gapc
2020,00-0027061,Jared Cook,TE,fade,2.62
2020,00-0027891,Golden Tate,WR,fade,2.54
2020,00-0029000,Cole Beasley,WR,fade,2.21
2020,00-0030085,Kenny Stills,WR,fade,1.55
2020,00-0030108,Ryan Griffin,TE,fade,1.75
2020,00-0031235,Odell Beckham Jr.,WR,buy,-1.7
2020,00-0031236,Brandin Cooks,WR,buy,-1.83
2020,00-0031544,Amari Cooper,WR,fade,1.83
2020,00-0031547,DeVante Parker,WR,fade,1.93
2020,00-0031588,Stefon Diggs,WR,fade,1.89
2020,00-0032543,Alex Erickson,WR,buy,-1.54
2020,00-0032765,Michael Thomas,WR,fade,2.14
2020,00-0032778,Tajae Sharpe,WR,fade,1.58
2020,00-0033282,Curtis Samuel,WR,buy,-2.08
2020,00-0033288,George Kittle,TE,fade,1.64
2020,00-0033681,Keelan Cole,WR,fade,1.57
2020,00-0033858,Jonnu Smith,TE,fade,1.65
2020,00-0033879,O.J. Howard,TE,buy,-1.66
2020,00-0033908,Cooper Kupp,WR,fade,2.51
2020,00-0033921,Chris Godwin Jr.,WR,fade,3.61
2020,00-0033932,Kenny Golladay,WR,fade,1.97
2020,00-0034386,Justin Watson,WR,buy,-2.03
2020,00-0034411,Russell Gage,WR,buy,-1.78
2020,00-0034686,Auden Tate,WR,buy,-2.38
2020,00-0034764,Michael Gallup,WR,fade,1.81
2020,00-0034765,Tre'Quan Smith,WR,fade,2.31
2020,00-0034777,DJ Chark,WR,fade,1.81
2020,00-0034837,Calvin Ridley,WR,fade,1.77
2020,00-0034981,Foster Moreau,TE,fade,1.71
2020,00-0035140,Mecole Hardman,WR,fade,2.73
2020,00-0035287,KeeSean Johnson,WR,buy,-1.8
2020,00-0035535,Darius Slayton,WR,fade,2.54
2020,00-0035659,Terry McLaurin,WR,fade,1.69
2020,00-0035676,A.J. Brown,WR,fade,4.71
2020,00-0035719,Deebo Samuel Sr.,WR,fade,1.65
2021,00-0027942,A.J. Green,WR,buy,-3.66
2021,00-0029738,Darren Fells,TE,fade,2.06
2021,00-0030061,Zach Ertz,TE,buy,-2.43
2021,00-0031381,Davante Adams,WR,fade,3.16
2021,00-0031384,Richard Rodgers,TE,fade,2.02
2021,00-0031408,Mike Evans,WR,fade,1.56
2021,00-0031941,Jamison Crowder,WR,fade,2.62
2021,00-0032980,Marcus Johnson,WR,buy,-1.54
2021,00-0033040,Tyreek Hill,WR,fade,2.48
2021,00-0033110,Tyler Higbee,TE,fade,1.6
2021,00-0033127,Will Fuller,WR,fade,3.57
2021,00-0033288,George Kittle,TE,fade,1.69
2021,00-0033471,Isaiah Ford,WR,buy,-1.75
2021,00-0033757,Robert Tonyan,TE,fade,3.08
2021,00-0033871,Corey Davis,WR,fade,1.56
2021,00-0033881,Evan Engram,TE,buy,-1.94
2021,00-0033921,Chris Godwin Jr.,WR,fade,1.56
2021,00-0034981,Foster Moreau,TE,fade,1.59
2021,00-0035457,Tyron Johnson,WR,fade,2.01
2021,00-0035535,Darius Slayton,WR,buy,-1.52
2021,00-0035624,N'Keal Harry,TE,buy,-1.52
2021,00-0035676,A.J. Brown,WR,fade,3.75
2021,00-0035689,Dawson Knox,TE,buy,-1.53
2021,00-0036219,Marquez Callaway,WR,buy,-1.52
2021,00-0036322,Justin Jefferson,WR,fade,1.95
2022,00-0029293,Marvin Jones,WR,buy,-1.88
2022,00-0031273,Cameron Brate,TE,buy,-1.83
2022,00-0031381,Davante Adams,WR,fade,1.87
2022,00-0031547,DeVante Parker,WR,buy,-1.52
2022,00-0031610,Darren Waller,TE,buy,-2.99
2022,00-0032211,Tyler Lockett,WR,fade,2.36
2022,00-0032688,Robbie Chosen,WR,buy,-1.71
2022,00-0033009,Tyler Boyd,WR,fade,1.57
2022,00-0033251,Zach Pascal,WR,buy,-1.68
2022,00-0033288,George Kittle,TE,fade,1.79
2022,00-0033307,Kendrick Bourne,WR,fade,2.04
2022,00-0033891,Zay Jones,WR,buy,-1.88
2022,00-0033908,Cooper Kupp,WR,fade,3.44
2022,00-0033932,Kenny Golladay,WR,buy,-2.37
2022,00-0034348,Courtland Sutton,WR,buy,-1.55
2022,00-0034351,Dallas Goedert,TE,fade,1.78
2022,00-0034764,Michael Gallup,WR,buy,-2.76
2022,00-0034827,DJ Moore,WR,buy,-1.8
2022,00-0034829,Mike Gesicki,TE,buy,-1.5
2022,00-0034960,Jakobi Meyers,WR,buy,-1.62
2022,00-0035406,Lil'Jordan Humphrey,WR,fade,2.0
2022,00-0035662,Marquise Brown,WR,buy,-1.86
2022,00-0035719,Deebo Samuel Sr.,WR,fade,5.46
2022,00-0036268,Laviska Shenault Jr.,WR,buy,-1.86
2022,00-0036290,Cole Kmet,TE,buy,-2.06
2022,00-0036900,Ja'Marr Chase,WR,fade,3.13
2022,00-0036963,Amon-Ra St. Brown,WR,fade,1.64
2023,00-0027944,Julio Jones,WR,buy,-1.84
2023,00-0030061,Zach Ertz,TE,buy,-1.64
2023,00-0031260,Logan Thomas,TE,buy,-1.97
2023,00-0031428,Allen Robinson,WR,buy,-2.03
2023,00-0031610,Darren Waller,TE,buy,-1.9
2023,00-0032211,Tyler Lockett,WR,fade,1.91
2023,00-0033009,Tyler Boyd,WR,fade,1.74
2023,00-0033288,George Kittle,TE,fade,3.0
2023,00-0033908,Cooper Kupp,WR,fade,2.02
2023,00-0033943,Josh Reynolds,WR,buy,-1.53
2023,00-0034348,Courtland Sutton,WR,buy,-1.68
2023,00-0034364,Jordan Akins,TE,fade,1.59
2023,00-0034383,Dalton Schultz,TE,buy,-1.61
2023,00-0034764,Michael Gallup,WR,buy,-1.56
2023,00-0035140,Mecole Hardman,WR,fade,2.33
2023,00-0035216,Diontae Johnson,WR,buy,-3.27
2023,00-0035341,Trenton Irwin,WR,fade,2.09
2023,00-0035640,DK Metcalf,WR,buy,-2.53
2023,00-0035662,Marquise Brown,WR,buy,-2.25
2023,00-0035676,A.J. Brown,WR,fade,2.41
2023,00-0036261,Brandon Aiyuk,WR,fade,1.84
2023,00-0036268,Laviska Shenault Jr.,WR,fade,1.51
2023,00-0036290,Cole Kmet,TE,fade,1.74
2023,00-0036326,Chase Claypool,WR,buy,-1.55
2023,00-0036407,Jerry Jeudy,WR,fade,1.94
2023,00-0036410,Tee Higgins,WR,fade,2.33
2023,00-0036613,Jaylen Waddle,WR,fade,2.64
2023,00-0036970,Kyle Pitts,TE,buy,-3.1
2023,00-0037545,Rashid Shaheed,WR,fade,2.74
2023,00-0037741,Jahan Dotson,WR,fade,2.43
2023,00-0038124,Christian Watson,WR,fade,1.52
2023,00-0038129,Cade Otton,TE,buy,-1.8
2024,00-0030431,Robert Woods,WR,buy,-2.48
2024,00-0031381,Davante Adams,WR,buy,-1.78
2024,00-0031408,Mike Evans,WR,fade,1.71
2024,00-0033040,Tyreek Hill,WR,fade,2.81
2024,00-0033288,George Kittle,TE,fade,2.29
2024,00-0033357,Taysom Hill,TE,buy,-1.75
2024,00-0033891,Zay Jones,WR,buy,-3.32
2024,00-0034753,Mark Andrews,TE,fade,2.17
2024,00-0034827,DJ Moore,WR,fade,2.55
2024,00-0034837,Calvin Ridley,WR,buy,-1.82
2024,00-0035500,Greg Dortch,WR,buy,-1.59
2024,00-0035535,Darius Slayton,WR,fade,1.71
2024,00-0035662,Marquise Brown,WR,buy,-2.09
2024,00-0035719,Deebo Samuel Sr.,WR,fade,2.79
2024,00-0036261,Brandon Aiyuk,WR,fade,2.3
2024,00-0036550,Rashod Bateman,WR,buy,-1.66
2024,00-0036554,Nico Collins,WR,fade,3.28
2024,00-0036963,Amon-Ra St. Brown,WR,fade,1.69
2024,00-0036980,Elijah Moore,WR,buy,-2.19
2024,00-0037247,George Pickens,WR,fade,1.71
2024,00-0037261,Khalil Shakir,WR,fade,1.53
2024,00-0037382,Brandon Johnson,WR,fade,2.05
2024,00-0037740,Garrett Wilson,WR,buy,-2.39
2024,00-0037742,Treylon Burks,WR,buy,-1.99
2024,00-0037838,Isaiah Likely,TE,fade,2.04
2024,00-0038544,Quentin Johnston,WR,buy,-1.56
2024,00-0038612,A.T. Perry,WR,fade,2.57
2024,00-0039062,Jonathan Mingo,WR,buy,-2.19
2024,00-0039067,Rashee Rice,WR,fade,1.81
2024,00-0039146,Jayden Reed,WR,fade,2.63
2025,00-0030035,Adam Thielen,WR,fade,2.8
2025,00-0030506,Travis Kelce,TE,buy,-2.12
2025,00-0031236,Brandin Cooks,WR,buy,-2.99
2025,00-0033288,George Kittle,TE,fade,2.52
2025,00-0033357,Taysom Hill,TE,fade,2.17
2025,00-0034521,Allen Lazard,WR,fade,1.7
2025,00-0034753,Mark Andrews,TE,fade,1.88
2025,00-0035216,Diontae Johnson,WR,buy,-2.27
2025,00-0035229,T.J. Hockenson,TE,buy,-2.13
2025,00-0035659,Terry McLaurin,WR,fade,1.69
2025,00-0035676,A.J. Brown,WR,fade,2.38
2025,00-0035719,Deebo Samuel Sr.,WR,buy,-1.72
2025,00-0036182,Nick Westbrook-Ikhine,WR,fade,1.94
2025,00-0036196,Gabe Davis,WR,buy,-3.5
2025,00-0036252,Michael Pittman,WR,buy,-1.68
2025,00-0036550,Rashod Bateman,WR,fade,2.18
2025,00-0036554,Nico Collins,WR,fade,1.52
2025,00-0036894,Pat Freiermuth,TE,fade,1.72
2025,00-0036900,Ja'Marr Chase,WR,fade,3.88
2025,00-0036912,DeVonta Smith,WR,fade,3.12
2025,00-0036980,Elijah Moore,WR,buy,-1.95
2025,00-0037664,Alec Pierce,WR,fade,1.57
2025,00-0037744,Trey McBride,TE,buy,-2.12
2025,00-0038041,Jake Ferguson,TE,buy,-1.81
2025,00-0038977,Tank Dell,WR,buy,-1.84
2025,00-0038996,Tucker Kraft,TE,fade,2.24
2025,00-0039146,Jayden Reed,WR,fade,2.57
2025,00-0039893,Brian Thomas Jr.,WR,fade,2.27
2025,00-0039915,Ladd McConkey,WR,fade,1.5
2025,00-0039919,Rome Odunze,WR,buy,-2.16
