name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Josh Allen,QB,19.808254577503607,21.8125,30.28062970568104,14.7,0.9354879648039258,1,,,,,,
Drake Maye,QB,18.471022183573584,19.970588235294116,24.005475701574266,2.8,0.8657155632110198,1,,,,,234,Behren Morton
Justin Herbert,QB,17.915047854286485,17.1875,28.479123887748116,15.2,0.9319333590384608,1,,,,,,
Jalen Hurts,QB,17.813272562722613,18.125,28.0684462696783,10.1,0.9223495770614736,1,,,,,178,Cole Payton
Bijan Robinson,RB,17.55593074572918,18.735294117647058,24.58590006844627,2.3,0.6001480869383713,1,,,Brian Robinson,144,,
Trevor Lawrence,QB,17.403713593017837,18.88235294117647,26.90485968514716,7.7,0.8725686238865661,1,,,,,,
Patrick Mahomes,QB,17.397514959590087,19.535714285714285,30.95687885010267,11.5,0.8964015726474077,1,,,,,249,Garrett Nussmeier
Baker Mayfield,QB,16.9222186931063,15.058823529411764,31.38398357289528,12.6,0.9447562776957165,1,,,,,,
Lamar Jackson,QB,16.89527836383875,15.692307692307692,29.648186173853524,11.0,0.9125646809075229,1,,,,,,
Matthew Stafford,QB,16.61542142982076,19.823529411764707,38.56536618754278,15.4,0.9733842012609453,1,,,Ty Simpson,159,13,Ty Simpson
Jared Goff,QB,16.422299397949665,16.647058823529413,31.88227241615332,11.7,0.9543147208121828,1,,,,,,
Jahmyr Gibbs,RB,16.267160491566642,18.5,24.451745379876797,1.8000000000000003,0.4949509416186172,1,,,Isiah Pacheco,142,,
Brock Purdy,QB,16.157986722027555,18.88888888888889,26.680355920602327,7.000000000000001,0.8243040238132977,1,,,,,,
Jordan Love,QB,15.917480928124602,14.666666666666666,27.83025325119781,11.5,0.9062241456917444,1,,,,,,
Dak Prescott,QB,15.774060804231912,17.470588235294116,33.09240246406571,13.100000000000001,0.9240709523499031,1,,,,,,
Sam Darnold,QB,15.752958180376522,12.941176470588236,29.240246406570844,12.1,0.900801204440137,1,,,,,,
Jonathan Taylor,RB,15.746688343639503,19.176470588235293,27.616700889801507,5.1,0.8863102372876105,1,,,,,237,Seth McGowan
Caleb Williams,QB,15.574719613337527,17.764705882352942,24.78576317590691,3.5000000000000004,0.6077640150291285,1,,,,,,
Joe Burrow,QB,15.470583487726344,16.125,29.724845995893222,11.9,0.8642015925442142,1,,,,,,
Jayden Daniels,QB,15.42453366408727,15.571428571428571,25.702943189596166,3.1,0.5522958424780954,1,,,,,223,Athan Kaliakmanis
Jaxon Smith-Njigba,WR,15.17984226251161,17.147058823529413,24.54483230663929,3.3000000000000003,0.24551147370505447,1,,,Rashid Shaheed,99,199,Emmanuel Henderson Jr.
Puka Nacua,WR,15.089023758805771,18.78125,25.259411362080765,1.9,0.14610800969145732,1,,,Davante Adams,37,197,CJ Daniels
De'Von Achane,RB,14.924153393675788,17.28125,24.88432580424367,1.0,0.42729423180750714,1,,,Jaylen Wright,188,,
Ja'Marr Chase,WR,14.885327046709046,15.28125,26.50239561943874,8.3,0.4178067793215978,1,,,Tee Higgins,34,140,Colbie Young
Christian McCaffrey,RB,14.878285771510122,20.647058823529413,30.234086242299796,3.2,0.5653374575761482,1,,,,,90,Kaelon Black
Bryce Young,QB,14.864478473915497,12.625,25.10335386721424,3.9,0.7511914044094481,1,,,,,,
C.J. Stroud,QB,14.375354715319663,14.285714285714286,24.91170431211499,3.7000000000000006,0.5568310717962316,1,,,,,,
Bo Nix,QB,14.341110267073077,17.0,26.5160848733744,1.7000000000000002,0.33670807421281507,1,,,,,,
Ashton Jeanty,RB,14.223984779787447,12.029411764705882,22.748802190280628,2.6,0.7938298152455348,1,,,Mike Washington,153,122,Mike Washington Jr.
Amon-Ra St. Brown,WR,14.195572850094566,15.088235294117647,26.855578370978783,10.3,0.6729449524321818,1,,,Jameson Williams,34,168,Kendrick Law
Jaxson Dart,QB,13.930854359442558,16.357142857142858,23.304585900068446,1.3,0.3826623625258501,1,,,,,,
James Cook,RB,13.77096281263034,15.970588235294118,26.934976043805612,2.0,0.47540902357050446,1,,,Ray Davis,180,,
Michael Penix Jr.,QB,13.625368815803338,12.222222222222221,26.316221765913756,2.0,0.8370378497365579,1,,,Tua Tagovailoa,4,,
Daniel Jones,QB,13.6003299177172,16.53846153846154,29.26488706365503,6.3,0.5968552821676912,1,,,,,,
Aaron Rodgers,QB,13.542088592648467,13.28125,42.74880219028063,7.000000000000001,0.7981688233483891,4,Drew Allar,,,,76,Drew Allar
Saquon Barkley,RB,13.505631041037388,12.59375,29.557837097878167,3.1,0.6233841448411872,1,,,Tank Bigsby,135,,
Tyler Shough,QB,13.249412902428473,13.545454545454545,26.926762491444215,0.8,0.5034855779088173,1,,,,,,
J.J. McCarthy,QB,12.873529619450638,11.7,23.613963039014372,1.9,0.5265960003293656,2,Kyler Murray,84,,,,
Cam Ward,QB,12.849052657858335,10.176470588235293,24.27104722792608,3.2,0.5683211243141882,1,,,,,,
Kyren Williams,RB,12.691039112702084,13.705882352941176,26.015058179329227,4.1,0.7682309688709782,1,,,Blake Corum,83,,
Drake London,WR,12.603766975907863,13.416666666666666,25.10609171800137,2.6,0.43956418488060167,1,,,Zachariah Branch,185,79,Zachariah Branch
Breece Hall,RB,12.398791063801019,10.9375,25.253935660506503,3.6000000000000005,0.6747100172162722,1,,,Braelon Allen,138,,
George Pickens,WR,12.396297252895492,13.852941176470589,25.49486652977413,8.2,0.4786100846149948,2,CeeDee Lamb,7,Ryan Flournoy,196,218,Anthony Smith
CeeDee Lamb,WR,12.33390068877641,12.26923076923077,27.40041067761807,5.9,0.3445949478566077,1,,,George Pickens,7,218,Anthony Smith
Jacoby Brissett,QB,12.277410952068394,15.428571428571429,33.72210814510609,3.2,0.6075615474794841,1,,,,,65,Carson Beck
Marcus Mariota,QB,12.140956934204896,11.6,32.837782340862425,2.2,0.39378652081615095,2,Jayden Daniels,,,,223,Athan Kaliakmanis
Justin Jefferson,WR,12.103165846731004,8.941176470588236,27.211498973305954,6.800000000000001,0.5410138516741104,1,,,Jordan Addison,73,,
Josh Jacobs,RB,12.079956731388169,13.866666666666667,28.553045859000683,4.6,0.7308207658642788,1,,,,,,
Nico Collins,WR,12.03715372637291,12.1,27.45516769336071,4.8,0.46423485903409,1,,,Jayden Higgins,112,204,Lewis Bond
Malik Willis,QB,11.963077920421345,12.0,27.27173169062286,1.8000000000000003,0.7468175329372602,1,,,,,,
Chase Brown,RB,11.897093420754835,13.676470588235293,26.4476386036961,1.2,0.4181104284507259,1,,,,,,
D'Andre Swift,RB,11.877185560951936,12.3125,27.630390143737166,2.8,0.6605370037878706,1,,,Kyle Monangai,55,,
Rashee Rice,WR,11.856114373182768,15.0625,26.360027378507873,0.7,0.15213434251729607,1,,,Xavier Worthy,82,176,Cyrus Allen
