name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Josh Allen,QB,19.81188481832756,21.8125,30.28062970568104,14.7,0.9354879648039258,1,,,,,,
Bijan Robinson,RB,19.639657408562208,21.058823529411764,24.58590006844627,2.3,0.6001480869383713,1,,,Brian Robinson,161,,
Puka Nacua,WR,18.579685547897707,22.8125,25.259411362080765,1.9,0.14610800969145732,1,,,Davante Adams,38,197,CJ Daniels
Jaxon Smith-Njigba,WR,18.494736465362696,20.647058823529413,24.54483230663929,3.3000000000000003,0.24551147370505447,1,,,Rashid Shaheed,112,199,Emmanuel Henderson Jr.
Drake Maye,QB,18.464569746649936,20.0,24.005475701574266,2.8,0.8657155632110198,1,,,,,234,Behren Morton
Ja'Marr Chase,WR,18.354030985143815,19.1875,26.50239561943874,8.3,0.4178067793215978,1,,,Tee Higgins,36,140,Colbie Young
Jahmyr Gibbs,RB,18.207017310545027,20.764705882352942,24.451745379876797,1.8000000000000003,0.4949509416186172,1,,,Isiah Pacheco,147,,
Justin Herbert,QB,17.922773540705865,17.1875,28.479123887748116,15.2,0.9319333590384608,1,,,,,,
Jalen Hurts,QB,17.82353912177463,18.125,28.0684462696783,10.1,0.9223495770614736,1,,,,,178,Cole Payton
Trevor Lawrence,QB,17.41794957424733,18.88235294117647,26.90485968514716,7.7,0.8725686238865661,1,,,,,,
Patrick Mahomes,QB,17.40885855308021,19.571428571428573,30.95687885010267,11.5,0.8964015726474077,1,,,,,249,Garrett Nussmeier
Amon-Ra St. Brown,WR,17.33201338606925,18.529411764705884,26.855578370978783,10.3,0.6729449524321818,1,,,Jameson Williams,38,168,Kendrick Law
Jonathan Taylor,RB,17.159375905544312,20.529411764705884,27.616700889801507,5.1,0.8863102372876105,1,,,,,237,Seth McGowan
Christian McCaffrey,RB,17.029736962061904,23.647058823529413,30.234086242299796,3.2,0.5653374575761482,1,,,Jordan James,154,90,Kaelon Black
Baker Mayfield,QB,16.937515537673264,15.058823529411764,31.38398357289528,12.6,0.9447562776957165,1,,,,,,
Lamar Jackson,QB,16.904766464365988,15.692307692307692,29.648186173853524,11.0,0.9125646809075229,1,,,,,,
De'Von Achane,RB,16.809626452158188,19.375,24.88432580424367,1.0,0.42729423180750714,1,,,Jaylen Wright,198,,
Matthew Stafford,QB,16.617718554674312,19.823529411764707,38.56536618754278,15.4,0.9733842012609453,1,,,Ty Simpson,156,13,Ty Simpson
Jared Goff,QB,16.431725803802273,16.647058823529413,31.88227241615332,11.7,0.9543147208121828,1,,,,,,
Brock Purdy,QB,16.155250139645133,18.88888888888889,26.680355920602327,7.000000000000001,0.8243040238132977,1,,,,,,
Ashton Jeanty,RB,16.039083052717967,13.647058823529411,22.748802190280628,2.6,0.7938298152455348,1,,,Mike Washington,144,122,Mike Washington Jr.
