year,pid,name,pos,pred
2020,00-0019596,Tom Brady,QB,12.55
2020,00-0020531,Drew Brees,QB,14.66
2020,00-0022787,Matt Schaub,QB,5.69
2020,00-0022942,Philip Rivers,QB,10.55
2020,00-0023459,Aaron Rodgers,QB,15.72
2020,00-0023682,Ryan Fitzpatrick,QB,12.34
2020,00-0025708,Matt Moore,QB,6.13
2020,00-0026143,Matt Ryan,QB,16.6
2020,00-0026158,Joe Flacco,QB,7.15
2020,00-0026498,Matthew Stafford,QB,16.35
2020,00-0026625,Brian Hoyer,QB,5.13
2020,00-0027973,Andy Dalton,QB,8.36
2020,00-0028986,Case Keenum,QB,6.49
2020,00-0029263,Russell Wilson,QB,17.34
2020,00-0029567,Nick Foles,QB,7.15
2020,00-0029604,Kirk Cousins,QB,15.08
2020,00-0029701,Ryan Tannehill,QB,16.05
2020,00-0031237,Teddy Bridgewater,QB,10.21
2020,00-0031280,Derek Carr,QB,11.42
2020,00-0031345,Jimmy Garoppolo,QB,14.79
2020,00-0031503,Jameis Winston,QB,10.89
2020,00-0032268,Marcus Mariota,QB,8.04
2020,00-0032950,Carson Wentz,QB,16.37
2020,00-0033077,Dak Prescott,QB,15.79
2020,00-0033106,Jared Goff,QB,16.57
2020,00-0033119,Jacoby Brissett,QB,10.75
2020,00-0033537,Deshaun Watson,QB,16.59
2020,00-0033869,Mitchell Trubisky,QB,14.43
2020,00-0033873,Patrick Mahomes,QB,17.57
2020,00-0034343,Josh Rosen,QB,3.73
2020,00-0034577,Kyle Allen,QB,7.41
2020,00-0034771,Mason Rudolph,QB,8.5
2020,00-0034796,Lamar Jackson,QB,18.18
2020,00-0034855,Baker Mayfield,QB,15.28
2020,00-0034857,Josh Allen,QB,16.4
2020,00-0034869,Sam Darnold,QB,14.88
2020,00-0035040,David Blough,QB,5.97
2020,00-0035228,Kyler Murray,QB,17.48
2020,00-0035232,Dwayne Haskins,QB,7.98
2020,00-0035289,Gardner Minshew,QB,12.79
2020,00-0035577,Devlin Hodges,QB,7.0
2020,00-0035704,Drew Lock,QB,11.85
2020,00-0035710,Daniel Jones,QB,14.51
2020,00-0023500,Frank Gore,RB,1.51
2020,00-0025394,Adrian Peterson,RB,5.34
2020,00-0027029,LeSean McCoy,RB,3.0
2020,00-0027966,Mark Ingram,RB,9.59
2020,00-0029239,Brandon Bolden,RB,0.52
2020,00-0030288,Rex Burkhead,RB,4.31
2020,00-0030404,Chris Thompson,RB,3.05
2020,00-0030496,Le'Veon Bell,RB,6.4
2020,00-0030513,Latavius Murray,RB,6.34
2020,00-0030874,Damien Williams,RB,4.04
2020,00-0031045,Carlos Hyde,RB,6.6
2020,00-0031062,James White,RB,6.78
2020,00-0031285,Devonta Freeman,RB,5.7
2020,00-0031577,Javorius Allen,RB,0.74
2020,00-0031687,Raheem Mostert,RB,6.76
2020,00-0031806,Malcolm Brown,RB,2.55
2020,00-0032058,Tevin Coleman,RB,7.25
2020,00-0032144,Melvin Gordon,RB,10.15
2020,00-0032187,David Johnson,RB,6.52
2020,00-0032209,T.J. Yeldon,RB,4.3
2020,00-0032241,Todd Gurley,RB,11.14
2020,00-0032257,Duke Johnson,RB,6.37
2020,00-0032602,J.D. McKissic,RB,1.69
2020,00-0032741,Peyton Barber,RB,3.52
2020,00-0032764,Derrick Henry,RB,13.34
2020,00-0032780,Jordan Howard,RB,6.82
2020,00-0032940,DeAndre Washington,RB,2.75
2020,00-0032975,Jonathan Williams,RB,1.98
2020,00-0033025,Jalen Richard,RB,3.35
2020,00-0033045,Ezekiel Elliott,RB,15.26
2020,00-0033118,Kenyan Drake,RB,10.49
2020,00-0033280,Christian McCaffrey,RB,16.81
2020,00-0033293,Aaron Jones,RB,9.73
2020,00-0033308,Matt Breida,RB,6.14
2020,00-0033553,James Conner,RB,8.33
2020,00-0033556,Tarik Cohen,RB,4.9
2020,00-0033567,Brian Hill,RB,5.47
2020,00-0033594,Chris Carson,RB,9.93
2020,00-0033699,Austin Ekeler,RB,8.97
2020,00-0033854,Dare Ogunbowale,RB,0.78
2020,00-0033856,Leonard Fournette,RB,11.65
2020,00-0033893,Dalvin Cook,RB,12.94
2020,00-0033897,Joe Mixon,RB,10.7
2020,00-0033906,Alvin Kamara,RB,11.24
2020,00-0033923,Kareem Hunt,RB,8.5
2020,00-0033948,Jamaal Williams,RB,5.98
2020,00-0033950,Wayne Gallman,RB,3.19
2020,00-0033951,Marlon Mack,RB,9.11
2020,00-0034109,Phillip Lindsay,RB,7.75
2020,00-0034115,Jeff Wilson,RB,3.52
2020,00-0034184,Gus Edwards,RB,4.51
2020,00-0034208,Mike Boone,RB,3.51
2020,00-0034301,Darrel Williams,RB,2.41
2020,00-0034331,Jaylen Samuels,RB,4.39
2020,00-0034349,Kerryon Johnson,RB,5.74
2020,00-0034367,Nyheim Hines,RB,4.13
2020,00-0034378,Ito Smith,RB,3.14
2020,00-0034400,Jordan Wilkins,RB,1.98
2020,00-0034414,Boston Scott,RB,4.87
2020,00-0034432,Bo Scarbrough,RB,4.8
2020,00-0034440,Justin Jackson,RB,2.8
2020,00-0034681,Chase Edmonds,RB,4.63
2020,00-0034750,Rashaad Penny,RB,7.26
2020,00-0034791,Nick Chubb,RB,11.71
2020,00-0034799,Kalen Ballage,RB,1.54
2020,00-0034816,Ronald Jones,RB,8.09
2020,00-0034838,Royce Freeman,RB,6.36
2020,00-0034844,Saquon Barkley,RB,15.09
2020,00-0034845,Sony Michel,RB,8.61
2020,00-0034972,Alexander Mattison,RB,5.57
2020,00-0035217,Benny Snell,RB,5.1
2020,00-0035243,Miles Sanders,RB,9.31
2020,00-0035250,Devin Singletary,RB,8.23
2020,00-0035261,Tony Pollard,RB,5.81
2020,00-0035268,Ryquell Armstead,RB,3.72
2020,00-0035273,Qadree Ollison,RB,3.32
2020,00-0035311,Myles Gaskin,RB,3.35
2020,00-0035342,Patrick Laird,RB,4.12
2020,00-0035594,Travis Homer,RB,3.21
2020,00-0035685,David Montgomery,RB,8.41
2020,00-0035700,Josh Jacobs,RB,11.16
2020,00-0022921,Larry Fitzgerald,WR,5.86
2020,00-0025396,Ted Ginn,WR,1.48
2020,00-0026035,Danny Amendola,WR,4.13
2020,00-0027150,Julian Edelman,WR,8.06
2020,00-0027685,Emmanuel Sanders,WR,5.21
2020,00-0027874,Demaryius Thomas,WR,2.93
2020,00-0027891,Golden Tate,WR,6.66
2020,00-0027944,Julio Jones,WR,10.43
2020,00-0028002,Randall Cobb,WR,4.6
2020,00-0028411,Dontrelle Inman,WR,0.3
2020,00-0029000,Cole Beasley,WR,5.7
2020,00-0029137,Alshon Jeffery,WR,6.85
2020,00-0029293,Marvin Jones,WR,7.24
2020,00-0029608,T.Y. Hilton,WR,6.65
