player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0022942,Philip Rivers,QB,IND,3,11.33,9.67,-1.66,-0.37,11.33,9.67,-1.66,-0.37,11.33,9.67,-1.66,-0.37,0.38,0.0,0.0,0.67
00-0023459,Aaron Rodgers,QB,PIT,16,14.23,13.25,-0.98,0.31,14.26,13.28,-0.98,0.31,14.29,13.31,-0.98,0.31,-0.076,0.06,0.0,1.31
00-0026158,Joe Flacco,QB,CIN,13,12.97,10.23,-2.74,-1.45,12.97,10.23,-2.74,-1.45,12.97,10.23,-2.74,-1.45,-0.012,0.0,0.0,1.62
00-0026300,Josh Johnson,QB,WAS,3,10.03,7.33,-2.7,-1.41,10.03,7.33,-2.7,-1.41,10.03,7.33,-2.7,-1.41,-0.333,0.0,0.0,4.0
00-0026498,Matthew Stafford,QB,LA,17,20.52,19.82,-0.7,0.59,20.52,19.82,-0.7,0.59,20.52,19.82,-0.7,0.59,0.059,0.0,0.0,1.71
00-0027973,Andy Dalton,QB,CAR,4,3.94,1.75,-2.19,-0.9,3.94,1.75,-2.19,-0.9,3.94,1.75,-2.19,-0.9,-0.155,0.0,0.0,1.25
00-0028118,Tyrod Taylor,QB,NYJ,6,11.61,9.0,-2.61,-1.32,11.61,9.0,-2.61,-1.32,11.61,9.0,-2.61,-1.32,-0.023,0.0,0.0,4.5
00-0029263,Russell Wilson,QB,NYG,6,12.39,7.67,-4.72,-3.43,12.39,7.67,-4.72,-3.43,12.39,7.67,-4.72,-3.43,-0.963,0.0,0.0,3.0
00-0029604,Kirk Cousins,QB,ATL,10,11.28,9.6,-1.68,-0.39,11.28,9.6,-1.68,-0.39,11.28,9.6,-1.68,-0.39,0.039,0.0,0.0,1.4
00-0030035,Adam Thielen,WR,PIT,14,2.26,1.14,-1.12,-0.58,3.08,1.82,-1.26,-0.8,3.9,2.5,-1.4,-0.95,-0.051,2.5,0.08,0.0
