name,pos,team,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Aaron Rodgers,QB,PIT,4,Drew Allar,,,,76,Drew Allar
Joe Flacco,QB,CIN,2,Joe Burrow,,,,,
Josh Johnson,QB,CIN,3,Joe Flacco,,,,,
Matthew Stafford,QB,LA,1,,,Ty Simpson,159,13,Ty Simpson
Andy Dalton,QB,PHI,2,Jalen Hurts,,,,178,Cole Payton
Tyrod Taylor,QB,GB,2,Jordan Love,,,,,
Case Keenum,QB,CHI,2,Caleb Williams,,,,,
Kirk Cousins,QB,LV,4,Aidan O'Connell,,,,1,Fernando Mendoza
Kyle Juszczyk,RB,SF,2,Christian McCaffrey,,,,90,Kaelon Black
Adam Thielen,WR,MIN,14,Terrill Davis,,,,,
Travis Kelce,TE,KC,1,,,,,,
Geno Smith,QB,NYJ,4,Cade Klubnik,,,,110,Cade Klubnik
Odell Beckham Jr.,WR,NYG,4,Malachi Fields,,,,74,Malachi Fields
Teddy Bridgewater,QB,DET,2,Jared Goff,,,,,
Davante Adams,WR,LA,2,Puka Nacua,37,,,197,CJ Daniels
Mike Evans,WR,SF,1,,,Ricky Pearsall,50,33,De'Zhaun Stribling
Chris Manhertz,TE,NYG,3,Theo Johnson,,,,,
Jameis Winston,QB,NYG,2,Jaxson Dart,,,,,
Michael Burton,RB,CLE,3,Dylan Sampson,,,,,
Ameer Abdullah,RB,JAX,3,Chris Rodriguez Jr.,,,,,
Trevor Siemian,QB,ATL,3,Tua Tagovailoa,,,,,
Phillip Dorsett,WR,LV,4,Jack Bech,,,,195,Malik Benson
Marcus Mariota,QB,WAS,2,Jayden Daniels,,,,223,Athan Kaliakmanis
Austin Hooper,TE,ATL,2,Kyle Pitts,,,,,
Brandon Allen,QB,NYG,3,Jameis Winston,,,,,
Kalif Raymond,WR,CHI,3,Luther Burden III,,,,89,Zavion Thomas
Derrick Henry,RB,BAL,1,,,,,174,Adam Randall
Demarcus Robinson,WR,SF,5,Christian Kirk,,,,33,De'Zhaun Stribling
C.J. Ham,RB,MIN,4,Demond Claiborne,,,,198,Demond Claiborne
Carson Wentz,QB,MIN,3,J.J. McCarthy,,,,,
Laquon Treadwell,WR,IND,3,Josh Downs,,,,254,Deion Burks
Dak Prescott,QB,DAL,1,,,,,,
Hunter Henry,TE,NE,1,,,,,95,Eli Raridon
Jared Goff,QB,DET,1,,,,,,
Tyler Higbee,TE,LA,4,Max Klare,,,,61,Max Klare
Jacoby Brissett,QB,ARI,1,,,,,65,Carson Beck
Mo Alie-Cox,TE,IND,2,Tyler Warren,,,,,
Johnny Mundt,TE,PHI,3,Eli Stowers,,,,54,Eli Stowers
Christian McCaffrey,RB,SF,1,,,,,90,Kaelon Black
George Kittle,TE,SF,1,,,Jake Tonges,1,,
Aaron Jones,RB,MIN,1,,,Jordan Mason,29,198,Demond Claiborne
Kendrick Bourne,WR,ARI,3,Michael Wilson,,,,143,Reggie Virgil
Nick Mullens,QB,JAX,2,Trevor Lawrence,,,,,
Tim Patrick,WR,NYJ,4,Adonai Mitchell,,,,30,Omar Cooper Jr.
Patrick Ricard,RB,NYG,3,Tyrone Tracy Jr.,,,,,
Anthony Firkser,TE,WAS,2,Chig Okonkwo,,,,,
Samaje Perine,RB,CIN,7,Jamal Haynes,,,,,
Deshaun Watson,QB,CLE,4,Taylen Green,,,,182,Taylen Green
James Conner,RB,ARI,2,Jeremiyah Love,127,Tyler Allgeier,6,3,Jeremiyah Love
Mack Hollins,WR,NE,5,Kyle Williams,,,,,
Eric Saubert,TE,SEA,2,AJ Barner,,,,,
David Moore,WR,CAR,4,Chris Brazzell,,,,83,Chris Brazzell II
Robert Tonyan,TE,PIT,1,,,,,169,Riley Nowakowski
JuJu Smith-Schuster,WR,NYG,5,Odell Beckham Jr.,,,,74,Malachi Fields
Mitchell Trubisky,QB,TEN,2,Cam Ward,,,,,
Patrick Mahomes,QB,KC,1,,,,,249,Garrett Nussmeier
Evan Engram,TE,DEN,7,Adam Trautman,,,,152,Justin Joly
David Njoku,TE,LAC,2,Oronde Gadsden II,76,,,,
Alvin Kamara,RB,NO,2,Travis Etienne,104,Kendre Miller,63,,
Cooper Kupp,WR,SEA,3,Rashid Shaheed,48,Tory Horton,66,199,Emmanuel Henderson Jr.
Chris Godwin Jr.,WR,TB,2,Emeka Egbuka,55,Jalen McMillan,52,84,Ted Hurst
Jeremy McNichols,RB,WAS,4,Kaytron Allen,,,,187,Kaytron Allen
Tyler Conklin,TE,DET,2,Sam LaPorta,,,,,
Marquez Valdes-Scantling,WR,DAL,4,Ryan Flournoy,,,,218,Anthony Smith
Courtland Sutton,WR,DEN,2,Jaylen Waddle,8,Troy Franklin,143,,
Dallas Goedert,TE,PHI,1,,,Eli Stowers,85,54,Eli Stowers
Ian Thomas,TE,LV,2,Brock Bowers,,,,,
Dalton Schultz,TE,HOU,1,,,,,59,Marlin Klein
Justin Watson,WR,HOU,5,Jaylin Noel,,,,204,Lewis Bond
Cedrick Wilson Jr.,WR,DET,4,Isaac TeSlaa,,,,168,Kendrick Law
Braxton Berrios,WR,NYG,6,JuJu Smith-Schuster,,,,74,Malachi Fields
Trent Sherfield,WR,BUF,4,Keon Coleman,,,,125,Skyler Bell
Kyle Allen,QB,BUF,2,Josh Allen,,,,,
Tanner Hudson,TE,CIN,1,,,,,221,Jack Endries
Mark Andrews,TE,BAL,1,,,,,133,Matthew Hibner
Mason Rudolph,QB,PIT,1,,,,,76,Drew Allar
Christian Kirk,WR,SF,4,De'Zhaun Stribling,68,,,33,De'Zhaun Stribling
Lamar Jackson,QB,BAL,1,,,,,,
Durham Smythe,TE,BAL,2,Mark Andrews,,,,133,Matthew Hibner
DJ Moore,WR,BUF,1,,,Khalil Shakir,52,125,Skyler Bell
Mike Gesicki,TE,CIN,7,Josh Kattus,,,,221,Jack Endries
Calvin Ridley,WR,TEN,3,Wan'Dale Robinson,39,Chimere Dike,98,4,Carnell Tate
Saquon Barkley,RB,PHI,1,,,Tank Bigsby,135,,
Baker Mayfield,QB,TB,1,,,,,,
Josh Allen,QB,BUF,1,,,,,,
Malik Turner,WR,SF,6,Demarcus Robinson,,,,33,De'Zhaun Stribling
Sam Darnold,QB,SEA,1,,,,,,
Andrew Beck,RB,NYJ,3,Braelon Allen,,,,,
Jakobi Meyers,WR,JAX,2,Parker Washington,1,Brian Thomas Jr.,4,191,Josh Cameron
Justice Hill,RB,BAL,7,Adam Randall,,,,174,Adam Randall
Foster Moreau,TE,HOU,2,Dalton Schultz,,,,59,Marlin Klein
Ashton Dulin,WR,IND,4,Laquon Treadwell,,,,254,Deion Burks
