name,pos,team,rnd,pick,pred_std,pred_half,pred_ppr
Fernando Mendoza,QB,LV,1,1,12.0,12.0,12.0
Jeremiyah Love,RB,ARI,1,3,11.6,13.3,15.0
Carnell Tate,WR,TEN,1,4,7.3,9.4,11.4
Jadarian Price,RB,SEA,1,32,6.2,7.0,7.9
Jordyn Tyson,WR,NO,1,8,6.0,7.7,9.4
KC Concepcion,WR,CLE,1,24,4.5,5.9,7.2
Cade Klubnik,QB,NYJ,4,110,4.5,4.5,4.5
Makai Lemon,WR,PHI,1,20,4.4,5.7,7.0
Jonah Coleman,RB,DEN,4,108,4.4,4.8,5.2
Kenyon Sadiq,TE,NYJ,1,16,4.4,5.9,7.5
Omar Cooper Jr.,WR,NYJ,1,30,3.9,5.1,6.2
Denzel Boston,WR,CLE,2,39,3.6,4.6,5.6
Carson Beck,QB,ARI,3,65,3.4,3.4,3.4
Ty Simpson,QB,LA,1,13,3.3,3.3,3.3
De'Zhaun Stribling,WR,SF,2,33,3.2,4.1,5.0
Kaelon Black,RB,SF,3,90,3.0,3.4,3.8
Malachi Fields,WR,NYG,3,74,2.9,3.7,4.5
Mike Washington Jr.,RB,LV,4,122,2.9,3.4,3.8
Antonio Williams,WR,WAS,3,71,2.9,3.7,4.6
Germie Bernard,WR,PIT,2,47,2.8,3.8,4.7
Drew Allar,QB,PIT,3,76,2.8,2.8,2.8
Ja'Kobi Lane,WR,BAL,3,80,2.8,3.6,4.3
Taylen Green,QB,CLE,6,182,2.6,2.6,2.6
Kaytron Allen,RB,WAS,6,187,2.5,2.7,3.0
Zachariah Branch,WR,ATL,3,79,2.4,3.1,3.8
Chris Brazzell II,WR,CAR,3,83,2.4,3.2,3.9
Ted Hurst,WR,TB,3,84,2.4,3.1,3.8
Eli Stowers,TE,PHI,2,54,2.3,3.1,4.0
Nicholas Singleton,RB,TEN,5,165,2.2,2.5,2.7
Chris Bell,WR,MIA,3,94,2.2,2.9,3.6
Emmett Johnson,RB,KC,5,161,2.2,2.6,3.0
Zavion Thomas,WR,CHI,3,89,2.1,2.7,3.3
Max Klare,TE,LA,2,61,2.1,2.9,3.6
Caleb Douglas,WR,MIA,3,75,2.0,2.6,3.2
Athan Kaliakmanis,QB,WAS,7,223,1.9,1.9,1.9
Eli Raridon,TE,NE,3,95,1.8,2.4,3.1
Elijah Sarratt,WR,BAL,4,115,1.7,2.1,2.6
Demond Claiborne,RB,MIN,6,198,1.7,2.0,2.4
Marlin Klein,TE,HOU,2,59,1.6,2.2,2.8
Nate Boerkircher,TE,JAX,2,56,1.6,2.3,2.9
Reggie Virgil,WR,ARI,5,143,1.6,2.1,2.6
Oscar Delp,TE,NO,3,73,1.6,2.2,2.9
Kevin Coleman Jr.,WR,MIA,5,177,1.5,2.0,2.5
Brenen Thompson,WR,LAC,4,105,1.5,1.9,2.3
Skyler Bell,WR,BUF,4,125,1.5,1.9,2.3
Cole Payton,QB,PHI,5,178,1.4,1.4,1.4
Colbie Young,WR,CIN,4,140,1.4,1.7,2.0
Will Kacmarek,TE,MIA,3,87,1.4,2.0,2.6
Jaren Kanak,TE,TEN,7,225,1.4,1.9,2.4
Justin Joly,TE,DEN,5,152,1.3,1.8,2.3
Bryce Lance,WR,NO,4,136,1.3,1.7,2.0
Josh Cuevas,TE,BAL,5,173,1.2,1.6,2.1
Malik Benson,WR,LV,6,195,1.2,1.6,2.1
Sam Roush,TE,CHI,3,69,1.1,1.5,1.9
Barion Brown,WR,NO,6,190,1.1,1.4,1.8
Kaden Wetjen,WR,PIT,4,121,1.1,1.5,2.0
Lewis Bond,WR,HOU,6,204,1.0,1.3,1.6
Cyrus Allen,WR,KC,5,176,1.0,1.3,1.6
Tanner Koziol,TE,JAX,5,164,1.0,1.4,1.8
Kendrick Law,WR,DET,5,168,1.0,1.3,1.6
Jam Miller,RB,NE,7,245,1.0,1.1,1.2
Behren Morton,QB,NE,7,234,1.0,1.0,1.0
Jack Endries,TE,CIN,7,221,0.9,1.2,1.5
Matthew Hibner,TE,BAL,4,133,0.9,1.2,1.5
CJ Williams,WR,JAX,6,203,0.9,1.2,1.5
Anthony Smith,WR,DAL,7,218,0.9,1.1,1.4
Emmanuel Henderson Jr.,WR,SEA,6,199,0.9,1.2,1.4
Garrett Nussmeier,QB,KC,7,249,0.9,0.9,0.9
CJ Daniels,WR,LA,6,197,0.9,1.1,1.3
Josh Cameron,WR,JAX,6,191,0.9,1.1,1.4
Deion Burks,WR,IND,7,254,0.8,1.0,1.3
Seydou Traore,TE,MIA,5,180,0.8,1.1,1.4
Bauer Sharp,TE,TB,6,185,0.7,1.0,1.3
Riley Nowakowski,TE,PIT,5,169,0.7,0.9,1.1
Max Bredeson,TE,MIN,5,159,0.6,0.8,1.0
Seth McGowan,RB,IND,7,237,0.4,0.4,0.4
Joe Royer,TE,CLE,5,170,0.3,0.6,0.8
Adam Randall,RB,BAL,5,174,0.3,0.3,0.3
Carsen Ryan,TE,CLE,7,248,0.2,0.3,0.5
Dallen Bentley,TE,DEN,7,256,-0.3,-0.5,-0.6
