year,pid,name,pos,pred
2020,00-0036442,Joe Burrow,QB,10.81
2020,00-0036212,Tua Tagovailoa,QB,8.17
2020,00-0036355,Justin Herbert,QB,7.9
2020,00-0036264,Jordan Love,QB,5.37
2020,00-0036389,Jalen Hurts,QB,3.28
2020,00-0036226,Jacob Eason,QB,4.56
2020,00-0036301,James Morgan,QB,6.42
2020,00-0036197,Jake Fromm,QB,5.0
2020,00-0036312,Jake Luton,QB,2.91
2020,,Cole McDonald,QB,2.25
2020,00-0036384,Ben DiNucci,QB,-0.71
2020,00-0036433,Tommy Stevens,QB,1.82
2020,00-0036279,Nate Stanley,QB,1.39
2020,00-0036360,Clyde Edwards-Helaire,RB,6.84
2020,00-0036275,D'Andre Swift,RB,6.67
2020,00-0036223,Jonathan Taylor,RB,5.78
2020,00-0036414,Cam Akers,RB,4.96
2020,00-0036158,J.K. Dobbins,RB,4.13
2020,00-0036265,AJ Dillon,RB,5.05
2020,00-0036328,Antonio Gibson,RB,4.88
2020,00-0036450,Ke'Shawn Vaughn,RB,3.77
2020,00-0036251,Zack Moss,RB,4.33
2020,00-0036297,Darrynton Evans,RB,2.77
2020,00-0036370,Joshua Kelley,RB,2.29
2020,00-0036269,La'Mical Perine,RB,3.42
2020,00-0036336,Anthony McFarland Jr.,RB,2.74
2020,00-0036425,DeeJay Dallas,RB,1.93
2020,00-0036278,Jason Huntley,RB,1.66
2020,00-0036383,Eno Benjamin,RB,1.47
2020,00-0036435,Raymond Calais,RB,1.84
2020,00-0036245,Malcolm Perry,RB,2.04
2020,00-0036357,Henry Ruggs III,WR,5.48
2020,00-0036407,Jerry Jeudy,WR,4.6
2020,00-0036358,CeeDee Lamb,WR,4.27
2020,00-0036387,Jalen Reagor,WR,4.55
2020,00-0036322,Justin Jefferson,WR,4.23
2020,00-0036261,Brandon Aiyuk,WR,4.0
2020,00-0036410,Tee Higgins,WR,3.91
2020,00-0036252,Michael Pittman Jr.,WR,3.69
2020,00-0036268,Laviska Shenault Jr.,WR,3.47
2020,00-0036412,KJ Hamler,WR,3.28
2020,00-0036326,Chase Claypool,WR,3.42
2020,00-0036415,Van Jefferson,WR,2.44
2020,00-0036255,Denzel Mims,WR,2.85
2020,00-0036364,Lynn Bowden Jr.,WR,2.2
2020,00-0036365,Bryan Edwards,WR,2.6
2020,00-0036331,Devin Duvernay,WR,1.77
2020,00-0036196,Gabe Davis,WR,1.53
2020,00-0036340,Antonio Gandy-Golden,WR,1.66
2020,00-0036377,Joe Reed,WR,1.81
2020,00-0036427,Tyler Johnson,WR,1.16
2020,00-0036254,Collin Johnson,WR,1.52
2020,00-0036277,Quintez Cephus,WR,2.09
2020,00-0036398,John Hightower,WR,1.55
2020,00-0036308,Isaiah Coulter,WR,1.28
2020,00-0036309,Darnell Mooney,WR,1.18
2020,00-0036345,K.J. Osborn,WR,1.14
2020,00-0036233,Donovan Peoples-Jones,WR,1.91
2020,00-0036271,Quez Watkins,WR,1.07
2020,00-0036133,James Proche,WR,0.55
2020,00-0036165,Isaiah Hodgins,WR,1.43
2020,00-0036228,Dezmon Patmon,WR,0.67
2020,00-0036247,Freddie Swain,WR,0.95
2020,00-0036259,Jauan Jennings,WR,0.38
2020,00-0036382,K.J. Hill,WR,1.09
2020,00-0036439,Tyrie Cleveland,WR,1.05
2020,00-0036290,Cole Kmet,TE,1.85
2020,00-0036194,Devin Asiasi,TE,1.61
2020,00-0036332,Josiah Deguara,TE,1.91
2020,00-0036225,Dalton Keene,TE,2.16
2020,00-0036422,Adam Trautman,TE,1.47
2020,00-0036232,Harrison Bryant,TE,1.33
2020,00-0036423,Albert Okwuegbunam,TE,1.46
2020,00-0036244,Colby Parkinson,TE,1.47
2020,00-0036424,Brycen Hopkins,TE,1.15
2020,00-0036429,Charlie Woerner,TE,0.98
2020,00-0036250,Tyler Davis,TE,0.47
2020,00-0036438,Stephen Sullivan,TE,0.08
2021,00-0036971,Trevor Lawrence,QB,11.76
2021,00-0037013,Zach Wilson,QB,11.04
2021,00-0037012,Trey Lance,QB,7.53
2021,00-0036945,Justin Fields,QB,6.17
2021,00-0036972,Mac Jones,QB,7.38
2021,00-0036928,Kyle Trask,QB,3.8
2021,00-0036946,Kellen Mond,QB,2.15
2021,00-0036898,Davis Mills,QB,3.32
2021,00-0036929,Ian Book,QB,1.0
2021,00-0036879,Sam Ehlinger,QB,1.48
2021,00-0036893,Najee Harris,RB,6.91
2021,00-0036973,Travis Etienne,RB,7.11
2021,00-0036997,Javonte Williams,RB,6.7
2021,00-0036984,Trey Sermon,RB,3.6
2021,00-0036924,Michael Carter,RB,4.92
2021,00-0036842,Kene Nwangwu,RB,1.63
2021,00-0036875,Rhamondre Stevenson,RB,3.54
2021,00-0036555,Chuba Hubbard,RB,0.76
2021,00-0036919,Kenneth Gainwell,RB,2.15
2021,00-0036567,Elijah Mitchell,RB,1.82
2021,00-0036569,Gary Brightwell,RB,1.0
2021,00-0036650,Larry Rountree,RB,0.78
2021,00-0036857,Chris Evans,RB,1.89
2021,00-0036654,Demetric Felton,RB,0.64
2021,00-0036906,Khalil Herbert,RB,1.94
2021,00-0036860,Jake Funk,RB,1.74
2021,00-0036578,Gerrid Doaks,RB,1.26
2021,00-0036669,Kylin Hill,RB,0.33
2021,00-0036670,Jermar Jefferson,RB,0.29
2021,00-0036900,Ja'Marr Chase,WR,6.56
2021,00-0036613,Jaylen Waddle,WR,6.09
2021,00-0036912,DeVonta Smith,WR,5.35
2021,00-0036913,Kadarius Toney,WR,4.28
2021,00-0036550,Rashod Bateman,WR,4.09
2021,00-0036980,Elijah Moore,WR,4.07
2021,00-0036936,Rondale Moore,WR,3.84
2021,00-0036620,D'Wayne Eskridge,WR,2.28
2021,00-0036849,Tutu Atwell,WR,3.05
2021,00-0036955,Terrace Marshall Jr.,WR,3.12
2021,00-0036988,Josh Palmer,WR,2.83
2021,00-0036626,Dyami Brown,WR,2.53
2021,00-0036991,Amari Rodgers,WR,2.39
2021,00-0036554,Nico Collins,WR,2.51
2021,00-0036999,Anthony Schwartz,WR,1.93
2021,00-0036627,Dez Fitzpatrick,WR,1.59
