year,name,pos,adp,rnd,age,rookie,tgt_pg,car_pg,fin_std,fin_po_std,po_wk24_std,fin_half,fin_po_half,po_wk24_half,fin_ppr,fin_po_ppr,po_wk24_ppr
2018,Todd Gurley,RB,1.4,1,24,False,5.8,18.6,1.0,21.0,1,1.0,17.0,1,3.0,15.0,1
2018,LeVeon Bell,RB,2.6,1,26,False,7.133333333333334,21.4,,,0,,,0,,,0
2018,David Johnson,RB,3.4,1,26,False,9.0,11.0,10.0,16.0,2,11.0,14.0,2,10.0,13.0,3
2018,Ezekiel Elliott,RB,3.7,1,23,False,3.8,24.2,5.0,11.0,3,5.0,8.0,3,5.0,4.0,3
2018,Saquon Barkley,RB,5.8,1,21,True,,,2.0,9.0,2,2.0,9.0,2,1.0,9.0,2
2018,Antonio Brown,WR,6.5,1,30,False,11.642857142857142,0.0,2.0,5.0,2,4.0,3.0,2,4.0,3.0,2
2018,Alvin Kamara,RB,6.8,1,23,False,6.25,7.5,4.0,7.0,3,4.0,5.0,3,4.0,6.0,3
2018,Leonard Fournette,RB,7.8,1,23,False,3.6923076923076925,20.615384615384617,36.0,30.0,1,39.0,30.0,1,40.0,29.0,1
2018,Melvin Gordon III,RB,8.8,1,25,False,5.1875,17.75,6.0,50.0,1,6.0,55.0,1,7.0,56.0,1
2018,Kareem Hunt,RB,10.0,1,23,False,3.9375,17.0,8.0,,0,10.0,,0,11.0,,0
2018,DeAndre Hopkins,WR,11.1,1,26,False,11.6,0.0,4.0,1.0,3,2.0,1.0,3,1.0,1.0,3
2018,Odell Beckham Jr.,WR,12.3,2,25,False,10.25,0.25,16.0,,0,15.0,,0,15.0,,0
2018,Dalvin Cook,RB,13.2,2,23,False,4.0,18.5,31.0,5.0,3,30.0,6.0,2,30.0,7.0,3
2018,Christian McCaffrey,RB,14.0,2,22,False,7.0625,7.3125,3.0,3.0,3,3.0,2.0,3,2.0,2.0,3
2018,Julio Jones,WR,15.1,2,29,False,9.25,0.0625,5.0,4.0,2,5.0,5.0,2,5.0,6.0,2
2018,Jordan Howard,RB,15.9,2,23,False,2.0,17.25,17.0,14.0,3,20.0,15.0,2,20.0,17.0,2
