season,team,line,over_odds,under_odds,wins
2023,ARI,4.5,+140,-160,4
2023,ATL,8.5,-155,+135,7
2023,BAL,10.0,-130,+110,13
2023,BUF,10.5,-140,+120,11
2023,CAR,7.5,+115,-135,2
2023,CHI,7.5,-140,+120,7
2023,CIN,11.0,+100,-120,9
2023,CLE,9.0,-140,+120,11
2023,DAL,10.0,-130,+110,12
2023,DEN,8.5,+110,-130,8
2023,DET,9.5,-120,+100,12
2023,GB,7.5,-145,+125,9
2023,HOU,6.5,+130,-150,10
2023,IND,6.5,-120,+100,9
2023,JAX,9.5,-140,+120,9
2023,KC,11.5,-120,+100,11
2023,LV,6.5,+110,-130,8
2023,LAC,9.5,-130,+110,5
2023,LA,6.5,+110,-130,10
2023,MIA,9.5,+100,-120,11
2023,MIN,8.5,-130,+110,7
2023,NE,7.5,+130,-150,4
2023,NO,9.5,-110,-110,9
2023,NYG,7.5,-120,+100,6
2023,NYJ,9.5,-125,+105,7
2023,PHI,11.5,+105,-125,11
2023,PIT,9.0,+100,-120,10
2023,SF,11.0,+120,-140,12
2023,SEA,9.0,+100,-120,9
2023,TB,6.0,-150,+130,9
2023,TEN,7.5,-120,+100,6
2023,WAS,6.5,+105,-125,4
2024,ARI,7.0,-130,+110,8
2024,ATL,9.5,-130,+110,8
2024,BAL,10.5,+100,-120,12
2024,BUF,10.0,-110,-110,13
2024,CAR,5.5,-130,+110,5
2024,CHI,8.5,-165,+145,5
2024,CIN,10.5,+100,-120,9
2024,CLE,8.5,-145,+125,3
2024,DAL,10.0,+115,-135,7
2024,DEN,5.5,-170,+150,10
2024,DET,10.5,-130,+110,15
2024,GB,10.0,+100,-120,11
2024,HOU,9.5,-140,+120,10
2024,IND,8.5,+115,-135,8
2024,JAX,8.5,-110,-110,4
2024,KC,11.5,-110,-110,15
2024,LV,6.5,-125,+105,4
2024,LAC,9.0,+115,-135,11
2024,LA,8.5,-170,+150,10
2024,MIA,10.0,+100,-120,8
2024,MIN,6.5,-140,+120,14
2024,NE,4.5,-110,-110,4
2024,NO,7.5,-110,-110,5
2024,NYG,6.5,+130,-150,3
2024,NYJ,9.5,-140,+120,5
2024,PHI,10.5,-150,+130,14
2024,PIT,8.0,-140,+120,10
2024,SF,11.5,+140,-160,6
2024,SEA,7.5,-160,+140,10
2024,TB,7.5,-140,+120,10
2024,TEN,6.5,+120,-140,3
2024,WAS,6.5,-110,-110,12
2025,ARI,8.5,-125,+105,3
2025,ATL,8.5,+110,-130,8
2025,BAL,11.5,-118,-102,8
2025,BUF,12.5,+115,-135,12
2025,CAR,6.5,-140,+118,8
2025,CHI,8.5,+115,-140,11
2025,CIN,9.5,-115,-105,6
2025,CLE,4.5,-150,+125,5
2025,DAL,7.5,+110,-130,7
2025,DEN,9.5,-120,+100,14
2025,DET,10.5,+110,-135,9
2025,GB,10.5,+100,-130,9
2025,HOU,9.5,+105,-125,12
2025,IND,7.5,+100,-120,8
2025,JAX,7.5,-135,+115,13
2025,KC,11.5,+118,-140,6
2025,LV,6.5,-150,+125,3
2025,LAC,9.5,+100,-120,11
2025,LA,9.5,-145,+120,12
2025,MIA,7.5,-110,-110,7
2025,MIN,9.5,+115,-140,9
2025,NE,8.5,-110,-110,14
2025,NO,4.5,-145,+120,6
2025,NYG,5.5,-120,+100,5
2025,NYJ,6.5,+120,-145,3
2025,PHI,11.5,+105,-125,11
2025,PIT,8.5,-120,+100,10
2025,SF,10.5,-102,-118,12
2025,SEA,8.5,+105,-125,14
2025,TB,9.5,-115,-105,8
2025,TEN,6.5,+120,-145,3
2025,WAS,9.5,-105,-115,5
