Player,Team,POS,Average_ADP,Depth,ESPN_ADP
Ja'Marr Chase,CIN,WR1,1,WR1,1
Bijan Robinson,ATL,RB1,2.5,RB1,2
Saquon Barkley,PHI,RB2,3,RB1,4
Jahmyr Gibbs,DET,RB3,4,RB1,5
Justin Jefferson,MIN,WR2,5,WR1,3
CeeDee Lamb,DAL,WR3,5.5,WR1,6
Malik Nabers,NYG,WR4,8.5,WR1,9
Amon-Ra St. Brown,DET,WR5,9,WR1,10
Ashton Jeanty,LV,RB4,10,RB1,12
Puka Nacua,LAR,WR6,10.5,WR1,8
Derrick Henry,BAL,RB6,10.5,RB1,11
Christian McCaffrey,SF,RB5,10.5,RB1,7
Nico Collins,HOU,WR7,12,WR1,13
Brian Thomas,JAC,WR8,14,WR1,14
De'Von Achane,MIA,RB7,14.5,RB1,18
Brock Bowers,LV,TE1,17.5,TE1,20
Bucky Irving,TB,RB8,17.5,RB1,23
Josh Jacobs,GB,RB9,18,RB1,19
Drake London,ATL,WR9,18.5,WR1,16
A.J. Brown,PHI,WR10,22,WR1,15
Jonathan Taylor,IND,RB10,22,RB1,17
Chase Brown,CIN,RB11,22.5,RB1,32
Josh Allen,BUF,QB1,22.5,QB1,28
Lamar Jackson,BAL,QB2,23.5,QB1,29
Ladd McConkey,LAC,WR11,25,WR1,27
Trey McBride,ARI,TE2,25,TE1,21
Kyren Williams,LAR,RB12,25.5,RB1,22
Jayden Daniels,WAS,QB3,28.5,QB1,30
Tyreek Hill,MIA,WR12,28.5,WR1,26
Jaxon Smith-Njigba,SEA,WR13,30.5,WR1,36
Breece Hall,NYJ,RB13,32.5,RB1,45
James Cook,BUF,RB14,33,RB1,33
Tee Higgins,CIN,WR14,33.5,WR2,24
Omarion Hampton,LAC,RB15,34.5,RB1,37
Garrett Wilson,NYJ,WR15,35.5,WR1,48
Joe Burrow,CIN,QB4,38,QB1,39
Jalen Hurts,PHI,QB5,38.5,QB1,31
Alvin Kamara,NO,RB16,39,RB1,42
George Kittle,SF,TE3,39,TE1,40
Terry McLaurin,WAS,WR16,39.5,WR1,34
Marvin Harrison,ARI,WR17,40,WR1,47
