team,games,imp_ppg,imp_opp_ppg,imp_wins
Los Angeles Rams,17,26.647058823529413,21.647058823529413,11.039250714166675
Detroit Lions,17,26.147058823529413,22.61764705882353,10.415800478821698
Buffalo Bills,17,26.08823529411765,22.61764705882353,10.304400471597189
Cincinnati Bengals,17,26.022058823529413,23.095588235294116,10.052037292801414
Baltimore Ravens,17,25.845588235294116,21.977941176470587,10.682402296822062
Dallas Cowboys,17,25.698529411764707,24.566176470588236,9.089060920452113
San Francisco 49ers,17,25.022058823529413,22.477941176470587,9.85214261606325
Green Bay Packers,17,24.720588235294116,22.16176470588235,9.908339306154424
Seattle Seahawks,17,24.691176470588236,20.75,10.673124890187209
Chicago Bears,17,24.602941176470587,23.014705882352942,9.244999313257766
Kansas City Chiefs,17,24.102941176470587,21.16176470588235,10.021314949383276
Philadelphia Eagles,17,23.808823529411764,20.985294117647058,10.024328344806717
New England Patriots,17,23.764705882352942,21.352941176470587,9.848532127097188
Los Angeles Chargers,17,23.720588235294116,21.602941176470587,9.535619878556217
Washington Commanders,17,23.448529411764707,24.816176470588236,7.782992617183377
Jacksonville Jaguars,17,23.397058823529413,22.808823529411764,8.858940108863052
Indianapolis Colts,17,23.360294117647058,24.433823529411764,7.917620223512469
Tampa Bay Buccaneers,17,23.316176470588236,23.53676470588235,8.304523801972328
Houston Texans,17,22.514705882352942,20.691176470588236,9.511077940639987
Minnesota Vikings,17,22.477941176470587,22.433823529411764,8.441875280284012
Denver Broncos,17,22.279411764705884,20.691176470588236,9.464266657691468
New York Giants,17,22.102941176470587,24.014705882352942,7.528012211142359
New Orleans Saints,17,21.49264705882353,23.330882352941178,7.552202155211068
Pittsburgh Steelers,17,21.41176470588235,21.941176470588236,8.15267559799979
Atlanta Falcons,17,21.176470588235293,24.264705882352942,6.738055186765617
Carolina Panthers,17,20.691176470588236,23.25,7.100455876870215
Tennessee Titans,17,20.63235294117647,24.13235294117647,6.603920366422196
Las Vegas Raiders,17,19.169117647058822,23.74264705882353,5.964609514742193
Miami Dolphins,17,19.029411764705884,25.941176470588236,4.855021956274852
Cleveland Browns,17,18.691176470588236,22.691176470588236,6.337171672049559
New York Jets,17,18.5,23.323529411764707,5.879036817452308
Arizona Cardinals,17,18.455882352941178,26.955882352941178,4.316188414755952
