season,week,team,player,position,injury,day_1_date,day_1_status,day_2_date,day_2_status,day_3_date,day_3_status,game_status
2021,1,Arizona Cardinals,Darrell Daniels,TE,Toe,Wed 09/08,Limited,Thu 09/09,Limited,Fri 09/10,Full,--
2021,1,Arizona Cardinals,Dennis Gardeck,LB,"Knee,hand",Wed 09/08,Full,Thu 09/09,Limited,Fri 09/10,DNP,Out@ Ten
2021,1,Arizona Cardinals,Antoine Wesley,WR,Illness,Wed 09/08,--,Thu 09/09,--,Fri 09/10,DNP,Out@ Ten
2021,1,Atlanta Falcons,Brandon Copeland,LB,Hamstring,Wed 09/08,Limited,Thu 09/09,Full,Fri 09/10,Full,--
2021,1,Atlanta Falcons,Grady Jarrett,DT,Not Injury Related--personal M,Wed 09/08,--,Thu 09/09,DNP,Fri 09/10,--,--
2021,1,Baltimore Ravens,Nick Boyle,TE,Knee,Thu 09/09,DNP,Fri 09/10,--,Sat 09/11,--,--
2021,1,Baltimore Ravens,Calais Campbell,DT,Not Injury Related - Resting P,Thu 09/09,--,Fri 09/10,--,Sat 09/11,DNP,--
2021,1,Baltimore Ravens,Gus Edwards,RB,Knee,Thu 09/09,Limited,Fri 09/10,--,Sat 09/11,--,--
2021,1,Baltimore Ravens,Daelin Hayes,LB,Knee,Thu 09/09,Limited,Fri 09/10,Limited,Sat 09/11,Full,Questionable@ LV
2021,1,Baltimore Ravens,Marcus Peters,DB,Knee,Thu 09/09,Limited,Fri 09/10,--,Sat 09/11,--,--
2021,1,Baltimore Ravens,Jimmy Smith,DB,Ankle,Thu 09/09,--,Fri 09/10,Limited,Sat 09/11,Limited,Questionable@ LV
2021,1,Baltimore Ravens,Ronnie Stanley,OT,Not Injury Related - Resting P,Thu 09/09,--,Fri 09/10,--,Sat 09/11,DNP,--
2021,1,Baltimore Ravens,Brandon Williams,DT,Not Injury Related - Resting P,Thu 09/09,--,Fri 09/10,DNP,Sat 09/11,--,--
2021,1,Baltimore Ravens,Derek Wolfe,DE,"Back,hip",Thu 09/09,DNP,Fri 09/10,DNP,Sat 09/11,DNP,Out@ LV
2021,1,Buffalo Bills,Mario Addison,DE,Not Injury Related - Personal,Wed 09/08,--,Thu 09/09,--,Fri 09/10,DNP,--
2021,1,Buffalo Bills,Taron Johnson,DB,Hand,Wed 09/08,Limited,Thu 09/09,Full,Fri 09/10,Full,--
2021,1,Buffalo Bills,Star Lotulelei,DT,Calf,Wed 09/08,DNP,Thu 09/09,DNP,Fri 09/10,DNP,Outvs Pit
2021,1,Buffalo Bills,Isaiah McKenzie,WR,Shoulder,Wed 09/08,Full,Thu 09/09,Full,Fri 09/10,Full,--
2021,1,Buffalo Bills,Harrison Phillips,DT,Knee,Wed 09/08,Full,Thu 09/09,Full,Fri 09/10,Full,--
2021,1,Buffalo Bills,Emmanuel Sanders,WR,Foot,Wed 09/08,Limited,Thu 09/09,Limited,Fri 09/10,Limited,Questionablevs Pit
