name,position,opportunities,rush_att,tgt,receptions,rushing_yards,receiving_yards,air_yds,target_share_pct,tgt_rz_lt20,ftn_catchable_targets,ftn_drops,pfr_yards_before_contact
Jahmyr Gibbs,RB,34,29,5,5,156,,,,,,,112
Bijan Robinson,RB,31,21,10,8,83,,,,,,,33
Ashton Jeanty,RB,29,23,6,6,102,,,,,,,45
Kenneth Walker III,RB,29,23,6,3,173,,,,,,,0
Derrick Henry,RB,25,24,1,1,144,,,,,,,49
Breece Hall,RB,24,22,2,2,102,,,,,,,58
Amon-Ra St. Brown,WR,,,14,10,,67,70,36,4,11,1,
Chris Olave,WR,,,13,10,,182,234,25,0,12,2,
Matthew Golden,WR,,,12,6,,95,137,30,2,7,1,
Jaxon Smith-Njigba,WR,,,11,8,,122,75,46,3,8,0,
Nico Collins,WR,,,10,7,,75,120,27,2,7,0,
DK Metcalf,WR,,,10,4,,40,204,27,0,5,1,
Trey McBride,TE,,,13,9,,95,88,35,4,10,1,
Isaiah Likely,TE,,,8,8,,78,64,28,3,8,0,
Noah Fant,TE,,,8,4,,33,48,15,1,4,0,
Sam LaPorta,TE,,,8,5,,48,7,21,2,5,0,
Dalton Schultz,TE,,,8,4,,35,26,22,0,5,1,
Mike Gesicki,TE,,,7,5,,78,63,21,2,5,0,
